arm,elec,leader_before,leader_after,target_won,height_before,height_after
vanilla,1,2,6,0,209,1028
vanilla,2,6,7,0,1071,1572
vanilla,3,7,2,0,1591,1884
vanilla,4,2,4,0,1906,2241
vanilla,5,4,7,0,2257,2614
vanilla,6,7,6,0,2632,2816
vanilla,7,6,5,0,2833,3028
vanilla,8,5,6,0,3046,3498
vanilla,9,6,4,0,3515,3830
vanilla,10,4,1,0,3845,4031
guarded,1,1,2,0,4987,5263
guarded,2,2,6,0,5278,5571
guarded,3,6,5,0,5584,5920
guarded,4,5,2,0,5933,6106
guarded,5,2,1,0,6118,6442
guarded,6,1,6,0,6455,6885
guarded,7,6,2,0,6902,7191
guarded,8,2,7,0,7206,7588
guarded,9,7,5,0,7603,7783
guarded,10,5,6,0,7802,8204
