arm,elec,t_pause,t_resume,leader_before,leader_after,target_won
vanilla,1,1789320794.009019006,1789320818.340117047,3,4,0
vanilla,2,1789320840.975623069,1789320861.373900020,4,5,0
vanilla,3,1789320884.636698126,1789320904.814095684,5,1,0
vanilla,4,1789320928.687529055,1789320949.297177060,1,2,0
vanilla,5,1789320974.252524509,1789320994.808832439,2,4,0
vanilla,6,1789321018.959588275,1789321039.686549548,4,1,0
vanilla,7,1789321063.832100998,1789321084.644986785,1,2,0
vanilla,8,1789321110.259200777,1789321131.130068399,2,4,0
vanilla,9,1789321155.861271319,1789321177.500831162,4,5,0
vanilla,10,1789321202.412244895,1789321223.968658181,5,2,0
vanilla,11,1789321249.184240403,1789321270.571775853,2,4,0
vanilla,12,1789321295.909023589,1789321317.629281371,4,5,0
vanilla,13,1789321342.922376751,1789321364.977366357,5,1,0
vanilla,14,1789321390.736416833,1789321412.954831943,1,5,0
vanilla,15,1789321438.937419906,1789321461.206570294,5,1,0
vanilla,16,1789321487.034737886,1789321509.771486690,1,2,0
vanilla,17,1789321535.833318196,1789321558.706838621,2,4,0
vanilla,18,1789321584.859720117,1789321608.428040349,4,1,0
vanilla,19,1789321634.799953870,1789321657.275234208,1,5,0
vanilla,20,1789321684.945998033,1789321707.437360182,5,2,0
vanilla,21,1789321734.499286802,1789321757.585628650,2,1,0
vanilla,22,1789321783.980760408,1789321806.434042612,1,2,0
vanilla,23,1789321830.801693515,1789321853.155722954,2,3,1
vanilla,24,1789321877.342124590,1789321904.061173516,3,1,0
vanilla,25,1789321929.000245031,1789321951.356149314,1,3,1
vanilla,26,1789321975.264483271,1789322001.744161435,3,2,0
vanilla,27,1789322025.324769733,1789322047.299502409,2,5,0
vanilla,28,1789322070.802636758,1789322092.180737333,5,4,0
vanilla,29,1789322117.053833548,1789322138.215526175,4,5,0
vanilla,30,1789322161.602549489,1789322182.729616014,5,4,0
vanilla,31,1789322205.925671266,1789322226.936198319,4,1,0
vanilla,32,1789322249.837508218,1789322270.672278396,1,5,0
vanilla,33,1789322293.395886797,1789322314.417674112,5,4,0
vanilla,34,1789322336.979324232,1789322358.125301740,4,1,0
vanilla,35,1789322381.109508523,1789322401.758243025,1,3,1
vanilla,36,1789322424.212382883,1789322449.443001951,3,2,0
vanilla,37,1789322471.927452451,1789322492.496515698,2,3,1
vanilla,38,1789322515.078064810,1789322540.353038973,3,2,0
vanilla,39,1789322563.083301206,1789322583.521076851,2,1,0
vanilla,40,1789322606.093531889,1789322626.739459917,1,5,0
arm,elec,t_pause,t_resume,leader_before,leader_after,target_won
guarded,1,1789322811.997006839,1789322834.699036447,5,1,0
guarded,2,1789322859.874183336,1789322882.866663770,1,5,0
guarded,3,1789322906.830607877,1789322930.176924998,5,2,0
guarded,4,1789322955.635157584,1789322978.923998853,2,5,0
guarded,5,1789323005.966985432,1789323029.349399192,5,1,0
guarded,6,1789323055.463599706,1789323079.052526102,1,2,0
guarded,7,1789323104.968172716,1789323128.642529031,2,1,0
guarded,8,1789323153.655143735,1789323177.320407748,1,2,0
guarded,9,1789323203.427148749,1789323226.362974732,2,5,0
guarded,10,1789323253.392447656,1789323277.428227566,5,4,0
guarded,11,1789323304.288832524,1789323327.901005700,4,5,0
guarded,12,1789323353.874733406,1789323377.801697071,5,1,0
guarded,13,1789323404.048876450,1789323428.136235909,1,5,0
guarded,14,1789323454.911224561,1789323478.754379594,5,4,0
guarded,15,1789323506.685487652,1789323530.850794198,4,2,0
guarded,16,1789323558.244754002,1789323582.822959832,2,4,0
guarded,17,1789323609.577886254,1789323634.122096350,4,1,0
guarded,18,1789323661.283820616,1789323686.094674788,1,5,0
guarded,19,1789323712.703194381,1789323737.290389677,5,2,0
guarded,20,1789323763.987674936,1789323788.774392754,2,5,0
guarded,21,1789323814.344752147,1789323837.681168288,5,1,0
guarded,22,1789323862.973985098,1789323886.217732606,1,4,0
guarded,23,1789323911.423096550,1789323934.647781211,4,5,0
guarded,24,1789323959.614613860,1789323982.525646478,5,1,0
guarded,25,1789324008.874711913,1789324031.797215483,1,4,0
guarded,26,1789324056.698612745,1789324079.814101895,4,1,0
guarded,27,1789324105.132186764,1789324128.071467304,1,4,0
guarded,28,1789324152.836566352,1789324177.437512076,4,1,0
guarded,29,1789324202.056498986,1789324224.686904434,1,5,0
guarded,30,1789324249.864999703,1789324272.261794410,5,1,0
guarded,31,1789324296.680456059,1789324318.919137997,1,2,0
guarded,32,1789324343.382279730,1789324365.629198157,2,5,0
guarded,33,1789324389.944655130,1789324412.168200780,5,1,0
guarded,34,1789324437.532554392,1789324459.697728121,1,4,0
guarded,35,1789324484.032656027,1789324506.125003140,4,1,0
guarded,36,1789324530.420782065,1789324552.735710474,1,4,0
guarded,37,1789324577.361859134,1789324599.512545456,4,1,0
guarded,38,1789324624.121303823,1789324646.347990413,1,4,0
guarded,39,1789324670.597941868,1789324692.793582883,4,1,0
guarded,40,1789324717.014493089,1789324739.178440266,1,2,0
