arm,elec,t_pause,t_resume,leader_before,leader_after,target_won
vanilla,1,1789347808.540288830,1789347822.578731943,1,0,0
vanilla,2,1789347833.669191851,1789347847.681905497,1,0,0
vanilla,3,1789347855.848335614,1789347869.599389545,1,0,0
vanilla,4,1789347877.980503010,1789347893.931518398,1,0,0
vanilla,5,1789347902.127010176,1789347915.856770503,1,0,0
vanilla,6,1789347926.861959787,1789347943.524323895,1,0,0
vanilla,7,1789347951.963927727,1789347966.039706968,1,2,0
vanilla,8,1789347976.908766843,1789347993.559804218,2,1,0
vanilla,9,1789348001.943698818,1789348015.963724637,1,3,1
vanilla,10,1789348027.171314746,1789348041.245521667,3,4,0
vanilla,11,1789348052.540722160,1789348066.866845381,4,2,0
vanilla,12,1789348075.115487087,1789348089.434375565,2,1,0
vanilla,13,1789348097.688404557,1789348111.789503501,1,2,0
vanilla,14,1789348120.060044635,1789348134.077233688,2,5,0
vanilla,15,1789348142.522298769,1789348156.697826145,5,2,0
vanilla,16,1789348168.113338523,1789348182.315672165,2,4,0
vanilla,17,1789348193.403595695,1789348207.482183879,4,1,0
vanilla,18,1789348215.769255604,1789348229.893062522,1,2,0
vanilla,19,1789348238.203139716,1789348252.331220280,2,3,1
vanilla,20,1789348260.649505051,1789348274.693871600,3,1,0
vanilla,21,1789348282.993409776,1789348297.109659305,1,2,0
vanilla,22,1789348305.425764480,1789348321.023983467,2,1,0
vanilla,23,1789348330.687729023,1789348344.794906093,1,2,0
vanilla,24,1789348353.082101848,1789348367.168107505,2,1,0
vanilla,25,1789348375.749497460,1789348389.600542432,1,5,0
vanilla,26,1789348395.625192893,1789348456.698017157,1,0,0
vanilla,27,1789348487.742438181,1789348573.833860905,1,0,0
vanilla,28,1789348604.880836677,1789348690.979325278,1,0,0
vanilla,29,1789348722.027740870,1789348808.121698431,1,0,0
vanilla,30,1789348839.181142453,1789348925.274699554,1,0,0
vanilla,31,1789348956.325135298,1789349042.423043527,1,0,0
vanilla,32,1789349073.466083447,1789349159.541693808,1,0,0
vanilla,33,1789349190.600592477,1789349276.666986459,1,0,0
vanilla,34,1789349307.716004419,1789349393.801689221,1,0,0
vanilla,35,1789349424.860018861,1789349510.954217900,1,0,0
vanilla,36,1789349541.997817760,1789349628.091517399,1,0,0
vanilla,37,1789349659.144695149,1789349745.222534867,1,0,0
vanilla,38,1789349776.269504187,1789349862.342095916,1,0,0
vanilla,39,1789349893.392095665,1789349979.461631060,1,0,0
vanilla,40,1789350010.500023665,1789350096.590628508,1,0,0
