seed,arm,elec,t_pause,t_resume,leader_before,leader_after,target_won
1,s1_vanilla,1,1789358503.674364056,1789358521.369137998,1,2,0
1,s1_vanilla,2,1789358535.145162016,1789358552.758361850,2,1,0
1,s1_vanilla,3,1789358566.588425826,1789358584.335063470,1,2,0
1,s1_vanilla,4,1789358598.308649939,1789358615.927752394,2,1,0
1,s1_vanilla,5,1789358630.075899700,1789358647.807139596,1,5,0
1,s1_vanilla,6,1789358661.802717831,1789358679.417638554,5,4,0
1,s1_vanilla,7,1789358693.252812244,1789358710.723977903,4,5,0
1,s1_vanilla,8,1789358724.722228032,1789358742.256156067,5,2,0
1,s1_vanilla,9,1789358755.803490923,1789358773.376478215,2,4,0
1,s1_vanilla,10,1789358787.456677509,1789358805.007987603,4,5,0
1,s1_vanilla,11,1789358818.905971062,1789358836.443702743,5,4,0
1,s1_vanilla,12,1789358850.348891728,1789358868.097524641,4,5,0
1,s1_vanilla,13,1789358882.282856614,1789358899.859708984,5,1,0
1,s1_vanilla,14,1789358914.323207391,1789358931.964367640,1,4,0
1,s1_vanilla,15,1789358945.633645879,1789358963.189285921,4,1,0
1,s1_vanilla,16,1789358977.864184208,1789358995.534842703,1,4,0
1,s1_vanilla,17,1789359009.325042593,1789359026.930480175,4,1,0
1,s1_vanilla,18,1789359041.279537481,1789359058.942155173,1,2,0
1,s1_vanilla,19,1789359072.894578826,1789359090.392558907,2,5,0
1,s1_vanilla,20,1789359104.298670612,1789359122.008210095,5,3,1
1,s1_vanilla,21,1789359135.719776505,1789359157.999622977,3,2,0
1,s1_vanilla,22,1789359172.454826404,1789359190.032328948,2,4,0
1,s1_vanilla,23,1789359203.974497973,1789359221.536944386,4,1,0
1,s1_vanilla,24,1789359235.937091023,1789359253.556572342,1,5,0
1,s1_vanilla,25,1789359267.602570316,1789359285.217568232,5,4,0
1,s1_vanilla,26,1789359299.414548863,1789359316.926819761,4,3,1
1,s1_vanilla,27,1789359330.434263859,1789359352.623341359,3,5,0
1,s1_vanilla,28,1789359367.064668522,1789359384.669829568,5,2,0
1,s1_vanilla,29,1789359398.790352868,1789359416.364581621,2,1,0
1,s1_vanilla,30,1789359428.644848679,1789359446.373037356,1,5,0
1,s1_vanilla,31,1789359460.507582139,1789359478.021529313,5,1,0
1,s1_vanilla,32,1789359492.477377073,1789359510.068842449,1,4,0
1,s1_vanilla,33,1789359524.087308761,1789359541.752737451,4,5,0
1,s1_vanilla,34,1789359556.113550629,1789359573.744212746,5,4,0
1,s1_vanilla,35,1789359587.904775247,1789359605.426050146,4,1,0
1,s1_vanilla,36,1789359619.886429900,1789359637.621211495,1,5,0
1,s1_vanilla,37,1789359651.837193032,1789359669.435263779,5,4,0
