arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
A_vanilla,9,4,1,3,1,1,1786330545.521995517,1786330559.028823788,W1,1,1,3,0,2,1,1,3,0,2,2,0,9,0,1
A_vanilla,9,4,1,3,1,2,1786330559.035147205,1786330572.550935184,W1,1,1,3,0,2,1,1,3,0,2,9,0,7,0,1
A_vanilla,9,4,1,3,1,3,1786330572.555210556,1786330586.097328218,W1,1,1,3,0,2,1,1,3,0,2,7,0,6,0,1
A_vanilla,9,4,1,3,1,4,1786330586.119582467,1786330599.701818136,W1,1,1,3,0,2,1,1,3,0,2,6,0,5,0,1
A_vanilla,9,4,1,3,1,5,1786330599.715595969,1786330613.224340812,W1,1,1,3,0,2,1,1,3,0,2,5,0,7,0,1
A_vanilla,9,4,1,3,1,6,1786330613.240450865,1786330626.733111523,W1,1,1,3,0,2,1,1,3,0,2,7,0,3,1,1
A_vanilla,9,4,1,3,1,7,1786330626.748813048,1786330640.270885428,W1,1,1,3,0,2,1,1,3,0,2,3,1,8,0,1
A_vanilla,9,4,1,3,1,8,1786330640.284632774,1786330653.770599433,W1,1,1,3,0,2,1,1,3,0,2,8,0,1,0,1
A_vanilla,9,4,1,3,1,9,1786330653.785912636,1786330667.286121424,W1,1,1,3,0,2,1,1,3,0,2,1,0,8,0,1
A_vanilla,9,4,1,3,1,10,1786330667.302470591,1786330680.776998145,W1,1,1,3,0,2,1,1,3,0,2,8,0,2,0,1
B_oracle,9,4,1,3,1,1,1786330685.780156358,1786330699.294160097,W1,1,1,3,0,2,1,1,3,0,2,2,0,9,0,1
B_oracle,9,4,1,3,1,2,1786330699.305899421,1786330712.810199501,W1,1,1,3,0,2,1,1,3,0,2,9,0,7,0,1
B_oracle,9,4,1,3,1,3,1786330712.825357839,1786330726.299750644,W1,1,1,3,0,2,1,1,3,0,2,7,0,1,0,1
B_oracle,9,4,1,3,1,4,1786330726.318212920,1786330739.873257295,W1,1,1,3,0,2,1,1,3,0,2,1,0,2,0,1
B_oracle,9,4,1,3,1,5,1786330739.877968556,1786330753.382510190,W1,1,1,3,0,2,1,1,3,0,2,2,0,6,0,1
