thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1780835245303,1780835245505,202,FAIL
1,2,1780835245510,1780835245718,208,FAIL
1,3,1780835245724,1780835245923,199,FAIL
1,4,1780835245928,1780835246130,202,FAIL
1,5,1780835246136,1780835246337,201,FAIL
1,6,1780835246344,1780835246537,193,FAIL
1,7,1780835246541,1780835246775,234,FAIL
1,8,1780835246779,1780835246959,180,FAIL
1,9,1780835246963,1780835247156,193,FAIL
1,10,1780835247161,1780835247376,215,FAIL
1,11,1780835247381,1780835247601,220,FAIL
1,12,1780835247612,1780835247860,248,FAIL
1,13,1780835247864,1780835248034,170,FAIL
1,14,1780835248039,1780835248264,225,FAIL
1,15,1780835248272,1780835248515,243,FAIL
1,16,1780835248522,1780835248744,222,FAIL
1,17,1780835248754,1780835248935,181,FAIL
1,18,1780835248941,1780835249136,195,FAIL
1,19,1780835249145,1780835249328,183,FAIL
1,20,1780835249339,1780835249559,220,FAIL
2,1,1780835245305,1780835245509,204,OK
2,2,1780835245513,1780835245721,208,OK
2,3,1780835245726,1780835245927,201,OK
2,4,1780835245930,1780835246133,203,OK
2,5,1780835246137,1780835246342,205,OK
2,6,1780835246348,1780835246535,187,OK
2,7,1780835246539,1780835246772,233,OK
2,8,1780835246776,1780835246963,187,OK
2,9,1780835246966,1780835247162,196,OK
2,10,1780835247171,1780835247370,199,OK
2,11,1780835247376,1780835247604,228,OK
2,12,1780835247614,1780835247864,250,OK
2,13,1780835247868,1780835248045,177,OK
2,14,1780835248048,1780835248270,222,OK
2,15,1780835248278,1780835248520,242,OK
2,16,1780835248527,1780835248746,219,OK
2,17,1780835248756,1780835248939,183,OK
2,18,1780835248942,1780835249138,196,OK
2,19,1780835249145,1780835249332,187,OK
2,20,1780835249342,1780835249563,221,OK
