thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1780844760943,1780844761153,210,OK
1,2,1780844761158,1780844761373,215,FAIL
1,3,1780844761379,1780844761572,193,FAIL
1,4,1780844761577,1780844761806,229,FAIL
1,5,1780844761818,1780844762066,248,FAIL
1,6,1780844762074,1780844762334,260,FAIL
1,7,1780844762343,1780844762597,254,FAIL
1,8,1780844762605,1780844762866,261,FAIL
1,9,1780844762872,1780844763077,205,FAIL
1,10,1780844763081,1780844763252,171,FAIL
1,11,1780844763256,1780844763477,221,FAIL
1,12,1780844763486,1780844763736,250,FAIL
1,13,1780844763741,1780844763979,238,FAIL
1,14,1780844763985,1780844764165,180,FAIL
1,15,1780844764173,1780844764383,210,FAIL
2,1,1780844760946,1780844761151,205,OK
2,2,1780844761157,1780844761375,218,OK
2,3,1780844761381,1780844761576,195,OK
2,4,1780844761580,1780844761812,232,OK
2,5,1780844761822,1780844762071,249,OK
2,6,1780844762077,1780844762340,263,OK
2,7,1780844762349,1780844762601,252,OK
2,8,1780844762608,1780844762870,262,OK
2,9,1780844762875,1780844763080,205,OK
2,10,1780844763084,1780844763254,170,OK
2,11,1780844763258,1780844763483,225,OK
2,12,1780844763490,1780844763740,250,OK
2,13,1780844763746,1780844763983,237,OK
2,14,1780844763989,1780844764170,181,OK
2,15,1780844764179,1780844764386,207,OK
