thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1780844806952,1780844807139,187,FAIL
1,2,1780844807143,1780844807451,308,FAIL
1,3,1780844807457,1780844807596,139,FAIL
1,4,1780844807602,1780844807742,140,FAIL
1,5,1780844807748,1780844807856,108,FAIL
1,6,1780844807863,1780844808053,190,FAIL
1,7,1780844808060,1780844808281,221,FAIL
1,8,1780844808289,1780844808516,227,FAIL
1,9,1780844808529,1780844808663,134,FAIL
1,10,1780844808669,1780844808806,137,FAIL
1,11,1780844808819,1780844809013,194,FAIL
1,12,1780844809027,1780844809234,207,FAIL
1,13,1780844809242,1780844809493,251,FAIL
1,14,1780844809508,1780844809734,226,FAIL
1,15,1780844809738,1780844809962,224,FAIL
2,1,1780844806954,1780844807137,183,FAIL
2,2,1780844807141,1780844807439,298,FAIL
2,3,1780844807444,1780844807540,96,FAIL
2,4,1780844807543,1780844807653,110,FAIL
2,5,1780844807658,1780844807755,97,FAIL
2,6,1780844807761,1780844807856,95,FAIL
2,7,1780844807863,1780844808054,191,FAIL
2,8,1780844808059,1780844808286,227,FAIL
2,9,1780844808293,1780844808507,214,FAIL
2,10,1780844808514,1780844808608,94,FAIL
2,11,1780844808616,1780844808718,102,FAIL
2,12,1780844808722,1780844808819,97,FAIL
2,13,1780844808823,1780844809007,184,FAIL
2,14,1780844809014,1780844809234,220,FAIL
2,15,1780844809242,1780844809493,251,FAIL
3,1,1780844806957,1780844807137,180,OK
3,2,1780844807141,1780844807439,298,OK
3,3,1780844807447,1780844807540,93,OK
3,4,1780844807543,1780844807653,110,OK
3,5,1780844807660,1780844807756,96,OK
3,6,1780844807763,1780844807858,95,OK
3,7,1780844807863,1780844808054,191,OK
3,8,1780844808059,1780844808282,223,OK
3,9,1780844808289,1780844808509,220,OK
3,10,1780844808515,1780844808610,95,OK
3,11,1780844808616,1780844808718,102,OK
3,12,1780844808723,1780844808820,97,OK
3,13,1780844808824,1780844809010,186,OK
3,14,1780844809015,1780844809234,219,OK
3,15,1780844809243,1780844809493,250,OK
4,1,1780844806960,1780844807137,177,OK
4,2,1780844807141,1780844807438,297,OK
4,3,1780844807444,1780844807540,96,OK
4,4,1780844807554,1780844807653,99,OK
4,5,1780844807659,1780844807756,97,OK
4,6,1780844807762,1780844807861,99,OK
4,7,1780844807864,1780844808057,193,OK
4,8,1780844808060,1780844808282,222,OK
4,9,1780844808288,1780844808509,221,OK
4,10,1780844808516,1780844808610,94,OK
4,11,1780844808617,1780844808719,102,OK
4,12,1780844808722,1780844808820,98,OK
4,13,1780844808824,1780844809012,188,OK
4,14,1780844809014,1780844809237,223,OK
4,15,1780844809247,1780844809496,249,OK
