thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1780853231913,1780853232130,217,FAIL
1,2,1780853232137,1780853232249,112,FAIL
1,3,1780853232256,1780853232358,102,FAIL
1,4,1780853232364,1780853232459,95,FAIL
1,5,1780853232466,1780853232684,218,FAIL
1,6,1780853232691,1780853232978,287,FAIL
1,7,1780853232989,1780853233220,231,FAIL
1,8,1780853233231,1780853233341,110,FAIL
1,9,1780853233346,1780853233445,99,FAIL
1,10,1780853233450,1780853233556,106,FAIL
1,11,1780853233563,1780853233770,207,FAIL
1,12,1780853233776,1780853233978,202,FAIL
1,13,1780853233985,1780853234234,249,FAIL
1,14,1780853234243,1780853234479,236,FAIL
1,15,1780853234485,1780853234721,236,FAIL
2,1,1780853231915,1780853232159,244,FAIL
2,2,1780853232165,1780853232324,159,FAIL
2,3,1780853232330,1780853232459,129,FAIL
2,4,1780853232465,1780853232683,218,FAIL
2,5,1780853232691,1780853232978,287,FAIL
2,6,1780853232986,1780853233220,234,FAIL
2,7,1780853233228,1780853233344,116,FAIL
2,8,1780853233346,1780853233445,99,FAIL
2,9,1780853233451,1780853233557,106,FAIL
2,10,1780853233570,1780853233770,200,FAIL
2,11,1780853233776,1780853233978,202,FAIL
2,12,1780853233989,1780853234234,245,FAIL
2,13,1780853234245,1780853234479,234,FAIL
2,14,1780853234490,1780853234720,230,FAIL
2,15,1780853234726,1780853234918,192,FAIL
3,1,1780853231917,1780853232136,219,OK
3,2,1780853232143,1780853232250,107,OK
3,3,1780853232255,1780853232361,106,OK
3,4,1780853232364,1780853232463,99,OK
3,5,1780853232467,1780853232684,217,OK
3,6,1780853232691,1780853232984,293,OK
3,7,1780853232993,1780853233246,253,OK
3,8,1780853233251,1780853233416,165,OK
3,9,1780853233421,1780853233563,142,OK
3,10,1780853233574,1780853233773,199,OK
3,11,1780853233783,1780853233981,198,OK
3,12,1780853233991,1780853234237,246,OK
3,13,1780853234249,1780853234479,230,OK
3,14,1780853234485,1780853234721,236,OK
3,15,1780853234727,1780853234916,189,OK
4,1,1780853231922,1780853232130,208,OK
4,2,1780853232140,1780853232249,109,OK
4,3,1780853232255,1780853232361,106,OK
4,4,1780853232365,1780853232459,94,OK
4,5,1780853232467,1780853232688,221,OK
4,6,1780853232694,1780853232978,284,OK
4,7,1780853232986,1780853233220,234,OK
4,8,1780853233227,1780853233342,115,OK
4,9,1780853233348,1780853233445,97,OK
4,10,1780853233450,1780853233556,106,OK
4,11,1780853233563,1780853233770,207,OK
4,12,1780853233778,1780853233978,200,OK
4,13,1780853233985,1780853234234,249,OK
4,14,1780853234243,1780853234486,243,OK
4,15,1780853234495,1780853234725,230,OK
