thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1780853309821,1780853310046,225,FAIL
1,2,1780853310053,1780853310264,211,FAIL
1,3,1780853310268,1780853310371,103,FAIL
1,4,1780853310377,1780853310480,103,FAIL
1,5,1780853310486,1780853310582,96,FAIL
1,6,1780853310587,1780853310788,201,FAIL
1,7,1780853310796,1780853311019,223,FAIL
1,8,1780853311028,1780853311262,234,FAIL
1,9,1780853311268,1780853311502,234,FAIL
1,10,1780853311509,1780853311633,124,FAIL
1,11,1780853311640,1780853311752,112,FAIL
1,12,1780853311760,1780853311864,104,FAIL
1,13,1780853311870,1780853311969,99,FAIL
1,14,1780853311975,1780853312201,226,FAIL
1,15,1780853312206,1780853312420,214,FAIL
2,1,1780853309824,1780853310046,222,FAIL
2,2,1780853310053,1780853310264,211,FAIL
2,3,1780853310271,1780853310371,100,FAIL
2,4,1780853310380,1780853310480,100,FAIL
2,5,1780853310486,1780853310582,96,FAIL
2,6,1780853310588,1780853310783,195,FAIL
2,7,1780853310789,1780853311022,233,FAIL
2,8,1780853311036,1780853311260,224,FAIL
2,9,1780853311266,1780853311505,239,FAIL
2,10,1780853311510,1780853311633,123,FAIL
2,11,1780853311639,1780853311752,113,FAIL
2,12,1780853311759,1780853311864,105,FAIL
2,13,1780853311871,1780853311969,98,FAIL
2,14,1780853311975,1780853312201,226,FAIL
2,15,1780853312206,1780853312420,214,FAIL
3,1,1780853309826,1780853310046,220,OK
3,2,1780853310053,1780853310297,244,OK
3,3,1780853310301,1780853310454,153,OK
3,4,1780853310460,1780853310582,122,OK
3,5,1780853310587,1780853310785,198,OK
3,6,1780853310789,1780853311023,234,OK
3,7,1780853311028,1780853311266,238,OK
3,8,1780853311272,1780853311505,233,OK
3,9,1780853311516,1780853311635,119,OK
3,10,1780853311643,1780853311752,109,OK
3,11,1780853311759,1780853311867,108,OK
3,12,1780853311872,1780853311973,101,OK
3,13,1780853311977,1780853312203,226,OK
3,14,1780853312208,1780853312420,212,OK
3,15,1780853312424,1780853312628,204,OK
4,1,1780853309828,1780853310048,220,OK
4,2,1780853310056,1780853310264,208,OK
4,3,1780853310268,1780853310373,105,OK
4,4,1780853310377,1780853310484,107,OK
4,5,1780853310487,1780853310586,99,OK
4,6,1780853310590,1780853310785,195,OK
4,7,1780853310791,1780853311027,236,OK
4,8,1780853311037,1780853311261,224,OK
4,9,1780853311268,1780853311516,248,OK
4,10,1780853311522,1780853311693,171,OK
4,11,1780853311699,1780853311854,155,OK
4,12,1780853311861,1780853311970,109,OK
4,13,1780853311976,1780853312201,225,OK
4,14,1780853312206,1780853312424,218,OK
4,15,1780853312435,1780853312622,187,OK
