thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1780842018779,1780842019093,314,OK
1,2,1780842019099,1780842019410,311,OK
1,3,1780842019414,1780842019656,242,OK
1,4,1780842019662,1780842019896,234,OK
1,5,1780842019899,1780842020133,234,OK
1,6,1780842020139,1780842020449,310,OK
1,7,1780842020452,1780842020740,288,OK
1,8,1780842020746,1780842021074,328,OK
1,9,1780842021084,1780842021438,354,OK
1,10,1780842021445,1780842021753,308,OK
1,11,1780842021763,1780842022038,275,OK
1,12,1780842022041,1780842022374,333,OK
1,13,1780842022381,1780842022607,226,OK
1,14,1780842022614,1780842022886,272,OK
1,15,1780842022891,1780842023127,236,OK
2,1,1780842018783,1780842019091,308,OK
2,2,1780842019097,1780842019407,310,OK
2,3,1780842019413,1780842019661,248,OK
2,4,1780842019666,1780842019893,227,OK
2,5,1780842019898,1780842020137,239,OK
2,6,1780842020142,1780842020446,304,OK
2,7,1780842020452,1780842020743,291,OK
2,8,1780842020747,1780842021077,330,OK
2,9,1780842021085,1780842021441,356,OK
2,10,1780842021445,1780842021759,314,OK
2,11,1780842021769,1780842022036,267,OK
2,12,1780842022040,1780842022377,337,OK
2,13,1780842022382,1780842022611,229,OK
2,14,1780842022617,1780842022883,266,OK
2,15,1780842022889,1780842023132,243,OK
