thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1780841976411,1780841976879,468,OK
1,2,1780841976909,1780841977291,382,OK
1,3,1780841977304,1780841977714,410,OK
1,4,1780841977729,1780841978122,393,OK
1,5,1780841978143,1780841978380,237,OK
1,6,1780841978400,1780841978729,329,OK
1,7,1780841978780,1780841979099,319,OK
1,8,1780841979111,1780841979345,234,OK
1,9,1780841979354,1780841979718,364,OK
1,10,1780841979735,1780841979977,242,OK
1,11,1780841979991,1780841980243,252,OK
1,12,1780841980254,1780841980481,227,OK
1,13,1780841980490,1780841980720,230,OK
1,14,1780841980730,1780841980960,230,OK
1,15,1780841980975,1780841981195,220,OK
10,1,1780841976493,1780841976879,386,OK
10,2,1780841976895,1780841977291,396,OK
10,3,1780841977314,1780841977714,400,OK
10,4,1780841977723,1780841978121,398,OK
10,5,1780841978141,1780841978380,239,OK
10,6,1780841978419,1780841978730,311,OK
10,7,1780841978762,1780841979045,283,OK
10,8,1780841979066,1780841979325,259,OK
10,9,1780841979333,1780841979681,348,OK
10,10,1780841979727,1780841979977,250,OK
10,11,1780841980009,1780841980299,290,OK
10,12,1780841980312,1780841980559,247,OK
10,13,1780841980569,1780841980812,243,OK
10,14,1780841980824,1780841981048,224,OK
10,15,1780841981060,1780841981286,226,OK
11,1,1780841976498,1780841976880,382,OK
11,2,1780841976906,1780841977290,384,OK
11,3,1780841977297,1780841977714,417,OK
11,4,1780841977727,1780841978121,394,OK
11,5,1780841978129,1780841978380,251,OK
11,6,1780841978392,1780841978672,280,OK
11,7,1780841978697,1780841978961,264,OK
11,8,1780841978990,1780841979279,289,OK
11,9,1780841979294,1780841979554,260,OK
11,10,1780841979586,1780841979915,329,OK
11,11,1780841979927,1780841980197,270,OK
11,12,1780841980209,1780841980436,227,OK
11,13,1780841980452,1780841980668,216,OK
11,14,1780841980686,1780841980893,207,OK
11,15,1780841980913,1780841981144,231,OK
12,1,1780841976521,1780841976880,359,OK
12,2,1780841976891,1780841977290,399,OK
12,3,1780841977300,1780841977712,412,OK
12,4,1780841977737,1780841978121,384,OK
12,5,1780841978150,1780841978380,230,OK
12,6,1780841978399,1780841978672,273,OK
