thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1780841857029,1780841857492,463,OK
1,2,1780841857506,1780841857905,399,OK
1,3,1780841857917,1780841858178,261,OK
1,4,1780841858215,1780841858441,226,OK
1,5,1780841858468,1780841858700,232,OK
1,6,1780841858710,1780841858933,223,OK
1,7,1780841858941,1780841859157,216,OK
1,8,1780841859177,1780841859451,274,OK
1,9,1780841859473,1780841859747,274,OK
1,10,1780841859763,1780841859984,221,OK
1,11,1780841860002,1780841860232,230,OK
1,12,1780841860274,1780841860561,287,OK
1,13,1780841860579,1780841860907,328,OK
1,14,1780841860924,1780841861144,220,OK
1,15,1780841861155,1780841861339,184,OK
10,1,1780841857077,1780841857496,419,OK
10,2,1780841857556,1780841857906,350,OK
10,3,1780841857930,1780841858175,245,OK
10,4,1780841858204,1780841858488,284,OK
10,5,1780841858512,1780841858813,301,OK
10,6,1780841858824,1780841859098,274,OK
10,7,1780841859115,1780841859388,273,OK
10,8,1780841859397,1780841859747,350,OK
10,9,1780841859773,1780841859985,212,OK
10,10,1780841860015,1780841860232,217,OK
10,11,1780841860252,1780841860494,242,OK
10,12,1780841860529,1780841860777,248,OK
10,13,1780841860820,1780841861026,206,OK
10,14,1780841861056,1780841861292,236,OK
10,15,1780841861321,1780841861466,145,OK
11,1,1780841857084,1780841857491,407,OK
11,2,1780841857528,1780841857905,377,OK
11,3,1780841857938,1780841858174,236,OK
11,4,1780841858182,1780841858441,259,OK
11,5,1780841858484,1780841858700,216,OK
11,6,1780841858707,1780841858932,225,OK
11,7,1780841858962,1780841859221,259,OK
11,8,1780841859234,1780841859502,268,OK
11,9,1780841859530,1780841859813,283,OK
11,10,1780841859825,1780841860109,284,OK
11,11,1780841860120,1780841860431,311,OK
11,12,1780841860451,1780841860779,328,OK
11,13,1780841860789,1780841861024,235,OK
11,14,1780841861040,1780841861251,211,OK
11,15,1780841861262,1780841861427,165,OK
12,1,1780841857093,1780841857491,398,OK
12,2,1780841857541,1780841857905,364,OK
12,3,1780841857917,1780841858173,256,OK
12,4,1780841858199,1780841858441,242,OK
12,5,1780841858455,1780841858699,244,OK
12,6,1780841858732,1780841858932,200,OK
12,7,1780841858968,1780841859155,187,OK
12,8,1780841859183,1780841859445,262,OK
12,9,1780841859491,1780841859747,256,OK
12,10,1780841859754,1780841859985,231,OK
12,11,1780841859999,1780841860232,233,OK
12,12,1780841860263,1780841860494,231,OK
12,13,1780841860515,1780841860777,262,OK
12,14,1780841860785,1780841861024,239,OK
12,15,1780841861049,1780841861293,244,OK
