thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1780841651875,1780841652169,294,OK
1,2,1780841652177,1780841652462,285,OK
1,3,1780841652466,1780841652760,294,OK
1,4,1780841652765,1780841653083,318,OK
1,5,1780841653101,1780841653430,329,OK
1,6,1780841653436,1780841653692,256,OK
1,7,1780841653700,1780841654008,308,OK
1,8,1780841654018,1780841654390,372,OK
1,9,1780841654394,1780841654627,233,OK
1,10,1780841654632,1780841654882,250,OK
1,11,1780841654886,1780841655257,371,OK
1,12,1780841655260,1780841655573,313,OK
1,13,1780841655577,1780841655872,295,OK
1,14,1780841655878,1780841656201,323,OK
1,15,1780841656210,1780841656567,357,OK
2,1,1780841651880,1780841652172,292,OK
2,2,1780841652177,1780841652459,282,OK
2,3,1780841652465,1780841652763,298,OK
2,4,1780841652767,1780841653075,308,OK
2,5,1780841653099,1780841653434,335,OK
2,6,1780841653442,1780841653696,254,OK
2,7,1780841653701,1780841654006,305,OK
2,8,1780841654017,1780841654387,370,OK
2,9,1780841654392,1780841654623,231,OK
2,10,1780841654630,1780841654884,254,OK
2,11,1780841654891,1780841655256,365,OK
2,12,1780841655260,1780841655569,309,OK
2,13,1780841655576,1780841655874,298,OK
2,14,1780841655879,1780841656196,317,OK
2,15,1780841656204,1780841656564,360,OK
