thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1780845113450,1780845113806,356,FAIL
1,2,1780845113824,1780845114163,339,FAIL
1,3,1780845114173,1780845114508,335,FAIL
1,4,1780845114517,1780845114721,204,FAIL
1,5,1780845114740,1780845114940,200,FAIL
1,6,1780845114965,1780845115155,190,FAIL
1,7,1780845115180,1780845115427,247,FAIL
1,8,1780845115440,1780845115693,253,FAIL
1,9,1780845115706,1780845115987,281,FAIL
1,10,1780845116002,1780845116128,126,FAIL
10,1,1780845113495,1780845113811,316,OK
10,2,1780845113838,1780845114169,331,OK
10,3,1780845114195,1780845114504,309,OK
10,4,1780845114526,1780845114725,199,OK
10,5,1780845114755,1780845114941,186,OK
10,6,1780845114947,1780845115146,199,OK
10,7,1780845115161,1780845115372,211,OK
10,8,1780845115397,1780845115579,182,OK
10,9,1780845115587,1780845115798,211,OK
10,10,1780845115814,1780845116028,214,OK
11,1,1780845113500,1780845113811,311,OK
11,2,1780845113833,1780845114168,335,OK
11,3,1780845114192,1780845114510,318,OK
11,4,1780845114550,1780845114732,182,OK
11,5,1780845114762,1780845114941,179,OK
11,6,1780845114946,1780845115150,204,OK
11,7,1780845115177,1780845115364,187,OK
11,8,1780845115377,1780845115579,202,OK
11,9,1780845115585,1780845115800,215,OK
11,10,1780845115823,1780845116027,204,OK
12,1,1780845113505,1780845113811,306,OK
12,2,1780845113835,1780845114164,329,OK
12,3,1780845114173,1780845114502,329,OK
12,4,1780845114523,1780845114722,199,OK
12,5,1780845114747,1780845114941,194,OK
12,6,1780845114956,1780845115151,195,OK
12,7,1780845115169,1780845115370,201,OK
12,8,1780845115390,1780845115579,189,OK
12,9,1780845115587,1780845115801,214,OK
12,10,1780845115832,1780845116029,197,OK
13,1,1780845113512,1780845113811,299,OK
13,2,1780845113838,1780845114168,330,OK
13,3,1780845114193,1780845114508,315,OK
13,4,1780845114531,1780845114722,191,OK
13,5,1780845114745,1780845114956,211,OK
13,6,1780845114976,1780845115147,171,OK
13,7,1780845115154,1780845115372,218,OK
13,8,1780845115401,1780845115580,179,OK
13,9,1780845115598,1780845115798,200,OK
13,10,1780845115818,1780845116028,210,OK
14,1,1780845113518,1780845113806,288,OK
14,2,1780845113820,1780845114164,344,OK
14,3,1780845114182,1780845114510,328,OK
14,4,1780845114542,1780845114721,179,OK
14,5,1780845114730,1780845114941,211,OK
14,6,1780845114967,1780845115146,179,OK
14,7,1780845115166,1780845115370,204,OK
14,8,1780845115393,1780845115664,271,OK
14,9,1780845115676,1780845115951,275,OK
14,10,1780845115962,1780845116129,167,OK
15,1,1780845113525,1780845113811,286,OK
15,2,1780845113831,1780845114168,337,OK
15,3,1780845114189,1780845114510,321,OK
15,4,1780845114537,1780845114727,190,OK
15,5,1780845114762,1780845115026,264,OK
15,6,1780845115032,1780845115282,250,OK
15,7,1780845115292,1780845115527,235,OK
15,8,1780845115538,1780845115798,260,OK
15,9,1780845115805,1780845116027,222,OK
15,10,1780845116045,1780845116166,121,OK
16,1,1780845113533,1780845113812,279,OK
16,2,1780845113840,1780845114168,328,OK
16,3,1780845114192,1780845114561,369,OK
16,4,1780845114576,1780845114836,260,OK
16,5,1780845114845,1780845115108,263,OK
16,6,1780845115121,1780845115372,251,OK
16,7,1780845115395,1780845115579,184,OK
16,8,1780845115597,1780845115800,203,OK
16,9,1780845115828,1780845116032,204,OK
16,10,1780845116056,1780845116212,156,OK
2,1,1780845113454,1780845113811,357,FAIL
2,2,1780845113824,1780845114168,344,FAIL
2,3,1780845114191,1780845114506,315,FAIL
2,4,1780845114533,1780845114721,188,FAIL
2,5,1780845114740,1780845114940,200,FAIL
2,6,1780845114949,1780845115144,195,FAIL
2,7,1780845115160,1780845115363,203,FAIL
2,8,1780845115384,1780845115574,190,FAIL
2,9,1780845115584,1780845115798,214,FAIL
2,10,1780845115815,1780845116029,214,FAIL
3,1,1780845113458,1780845113805,347,FAIL
3,2,1780845113831,1780845114163,332,FAIL
3,3,1780845114182,1780845114505,323,FAIL
3,4,1780845114526,1780845114720,194,FAIL
3,5,1780845114736,1780845114935,199,FAIL
3,6,1780845114971,1780845115142,171,FAIL
3,7,1780845115151,1780845115362,211,FAIL
3,8,1780845115377,1780845115580,203,FAIL
3,9,1780845115606,1780845115791,185,FAIL
3,10,1780845115821,1780845116021,200,FAIL
4,1,1780845113463,1780845113807,344,FAIL
4,2,1780845113820,1780845114161,341,FAIL
4,3,1780845114179,1780845114508,329,FAIL
4,4,1780845114515,1780845114724,209,FAIL
4,5,1780845114754,1780845114940,186,FAIL
4,6,1780845114966,1780845115145,179,FAIL
4,7,1780845115160,1780845115364,204,FAIL
4,8,1780845115374,1780845115579,205,FAIL
4,9,1780845115606,1780845115798,192,FAIL
4,10,1780845115804,1780845116026,222,FAIL
5,1,1780845113468,1780845113811,343,OK
5,2,1780845113824,1780845114164,340,OK
5,3,1780845114177,1780845114510,333,OK
5,4,1780845114537,1780845114722,185,OK
5,5,1780845114750,1780845114940,190,OK
5,6,1780845114965,1780845115152,187,OK
5,7,1780845115170,1780845115374,204,OK
5,8,1780845115406,1780845115579,173,OK
5,9,1780845115591,1780845115798,207,OK
5,10,1780845115807,1780845116027,220,OK
6,1,1780845113473,1780845113816,343,OK
6,2,1780845113843,1780845114167,324,OK
6,3,1780845114173,1780845114509,336,OK
6,4,1780845114533,1780845114722,189,OK
6,5,1780845114737,1780845114939,202,OK
6,6,1780845114956,1780845115145,189,OK
6,7,1780845115152,1780845115370,218,OK
6,8,1780845115390,1780845115580,190,OK
6,9,1780845115598,1780845115801,203,OK
6,10,1780845115828,1780845116028,200,OK
7,1,1780845113478,1780845113811,333,OK
7,2,1780845113837,1780845114163,326,OK
7,3,1780845114177,1780845114508,331,OK
7,4,1780845114513,1780845114725,212,OK
7,5,1780845114750,1780845114940,190,OK
7,6,1780845114970,1780845115147,177,OK
7,7,1780845115166,1780845115370,204,OK
7,8,1780845115395,1780845115581,186,OK
7,9,1780845115608,1780845115798,190,OK
7,10,1780845115810,1780845116027,217,OK
8,1,1780845113485,1780845113811,326,OK
8,2,1780845113820,1780845114168,348,OK
8,3,1780845114184,1780845114510,326,OK
8,4,1780845114543,1780845114724,181,OK
8,5,1780845114732,1780845114943,211,OK
8,6,1780845114979,1780845115240,261,OK
8,7,1780845115251,1780845115494,243,OK
8,8,1780845115504,1780845115752,248,OK
8,9,1780845115763,1780845116027,264,OK
8,10,1780845116047,1780845116166,119,OK
9,1,1780845113490,1780845113811,321,OK
9,2,1780845113824,1780845114173,349,OK
9,3,1780845114196,1780845114509,313,OK
9,4,1780845114514,1780845114724,210,OK
9,5,1780845114728,1780845114941,213,OK
9,6,1780845114969,1780845115146,177,OK
9,7,1780845115163,1780845115370,207,OK
9,8,1780845115390,1780845115579,189,OK
9,9,1780845115586,1780845115798,212,OK
9,10,1780845115810,1780845116028,218,OK
