thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1780836741366,1780836741762,396,FAIL
1,2,1780836741774,1780836742115,341,FAIL
1,3,1780836742141,1780836742472,331,FAIL
1,4,1780836742484,1780836742820,336,FAIL
1,5,1780836742840,1780836743164,324,FAIL
1,6,1780836743174,1780836743514,340,FAIL
1,7,1780836743534,1780836743874,340,FAIL
1,8,1780836743886,1780836744235,349,FAIL
1,9,1780836744260,1780836744605,345,FAIL
1,10,1780836744624,1780836744941,317,FAIL
1,11,1780836744964,1780836745153,189,FAIL
1,12,1780836745181,1780836745390,209,FAIL
1,13,1780836745423,1780836745619,196,FAIL
1,14,1780836745645,1780836745842,197,FAIL
1,15,1780836745860,1780836746041,181,FAIL
1,16,1780836746058,1780836746243,185,FAIL
1,17,1780836746267,1780836746460,193,FAIL
1,18,1780836746473,1780836746697,224,FAIL
1,19,1780836746706,1780836746918,212,FAIL
1,20,1780836746928,1780836747146,218,FAIL
10,1,1780836741430,1780836741764,334,OK
10,2,1780836741770,1780836742117,347,OK
10,3,1780836742131,1780836742473,342,OK
10,4,1780836742477,1780836742820,343,OK
10,5,1780836742840,1780836743168,328,OK
10,6,1780836743188,1780836743521,333,OK
10,7,1780836743526,1780836743880,354,OK
10,8,1780836743900,1780836744239,339,OK
10,9,1780836744264,1780836744607,343,OK
10,10,1780836744635,1780836744946,311,OK
10,11,1780836744971,1780836745156,185,OK
10,12,1780836745185,1780836745374,189,OK
10,13,1780836745384,1780836745581,197,OK
10,14,1780836745597,1780836745787,190,OK
10,15,1780836745797,1780836745989,192,OK
10,16,1780836746004,1780836746232,228,OK
10,17,1780836746251,1780836746469,218,OK
10,18,1780836746486,1780836746696,210,OK
10,19,1780836746705,1780836746925,220,OK
10,20,1780836746947,1780836747146,199,OK
11,1,1780836741437,1780836741770,333,OK
11,2,1780836741800,1780836742116,316,OK
11,3,1780836742131,1780836742472,341,OK
11,4,1780836742477,1780836742820,343,OK
11,5,1780836742846,1780836743174,328,OK
