thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1781071850211,1781071850613,402,FAIL
1,2,1781071850641,1781071850893,252,FAIL
1,3,1781071850918,1781071851193,275,FAIL
1,4,1781071851202,1781071851440,238,FAIL
1,5,1781071851468,1781071851709,241,FAIL
1,6,1781071851746,1781071851983,237,FAIL
1,7,1781071852016,1781071852231,215,FAIL
1,8,1781071852258,1781071852681,423,FAIL
1,9,1781071852709,1781071853180,471,FAIL
1,10,1781071853203,1781071853441,238,FAIL
1,11,1781071853481,1781071853798,317,FAIL
1,12,1781071853815,1781071854115,300,FAIL
1,13,1781071854129,1781071854362,233,FAIL
1,14,1781071854380,1781071854629,249,FAIL
1,15,1781071854648,1781071854849,201,FAIL
10,1,1781071850279,1781071850615,336,OK
10,2,1781071850620,1781071850878,258,OK
10,3,1781071850897,1781071851162,265,OK
10,4,1781071851198,1781071851440,242,OK
10,5,1781071851476,1781071851743,267,OK
10,6,1781071851763,1781071851989,226,OK
10,7,1781071852035,1781071852232,197,OK
10,8,1781071852247,1781071852690,443,OK
10,9,1781071852739,1781071853185,446,OK
10,10,1781071853200,1781071853446,246,OK
10,11,1781071853457,1781071853713,256,OK
10,12,1781071853732,1781071853956,224,OK
10,13,1781071853990,1781071854205,215,OK
10,14,1781071854226,1781071854502,276,OK
10,15,1781071854513,1781071854761,248,OK
11,1,1781071850286,1781071850614,328,OK
11,2,1781071850633,1781071850878,245,OK
11,3,1781071850905,1781071851162,257,OK
11,4,1781071851178,1781071851440,262,OK
11,5,1781071851494,1781071851742,248,OK
11,6,1781071851759,1781071851989,230,OK
11,7,1781071852028,1781071852234,206,OK
11,8,1781071852247,1781071852690,443,OK
11,9,1781071852731,1781071853192,461,OK
11,10,1781071853230,1781071853446,216,OK
11,11,1781071853459,1781071853713,254,OK
11,12,1781071853737,1781071853955,218,OK
11,13,1781071853981,1781071854201,220,OK
11,14,1781071854218,1781071854447,229,OK
11,15,1781071854459,1781071854676,217,OK
12,1,1781071850295,1781071850613,318,OK
12,2,1781071850626,1781071850879,253,OK
12,3,1781071850909,1781071851160,251,OK
12,4,1781071851170,1781071851444,274,OK
12,5,1781071851460,1781071851714,254,OK
12,6,1781071851751,1781071851967,216,OK
12,7,1781071851986,1781071852231,245,OK
12,8,1781071852242,1781071852690,448,OK
12,9,1781071852728,1781071853188,460,OK
12,10,1781071853225,1781071853446,221,OK
12,11,1781071853474,1781071853713,239,OK
12,12,1781071853731,1781071853961,230,OK
12,13,1781071853967,1781071854201,234,OK
12,14,1781071854221,1781071854431,210,OK
12,15,1781071854459,1781071854671,212,OK
13,1,1781071850305,1781071850613,308,OK
13,2,1781071850644,1781071850878,234,OK
13,3,1781071850892,1781071851161,269,OK
13,4,1781071851193,1781071851442,249,OK
13,5,1781071851453,1781071851709,256,OK
13,6,1781071851742,1781071851987,245,OK
13,7,1781071852020,1781071852232,212,OK
13,8,1781071852267,1781071852690,423,OK
13,9,1781071852697,1781071853189,492,OK
13,10,1781071853226,1781071853446,220,OK
13,11,1781071853465,1781071853713,248,OK
13,12,1781071853731,1781071853956,225,OK
13,13,1781071853969,1781071854201,232,OK
13,14,1781071854222,1781071854431,209,OK
13,15,1781071854448,1781071854676,228,OK
14,1,1781071850313,1781071850611,298,OK
14,2,1781071850628,1781071850879,251,OK
14,3,1781071850912,1781071851162,250,OK
14,4,1781071851180,1781071851442,262,OK
14,5,1781071851458,1781071851709,251,OK
14,6,1781071851732,1781071851987,255,OK
14,7,1781071852020,1781071852240,220,OK
14,8,1781071852269,1781071852690,421,OK
14,9,1781071852732,1781071853187,455,OK
14,10,1781071853219,1781071853446,227,OK
14,11,1781071853474,1781071853713,239,OK
14,12,1781071853745,1781071853956,211,OK
14,13,1781071853978,1781071854201,223,OK
14,14,1781071854218,1781071854447,229,OK
14,15,1781071854465,1781071854673,208,OK
15,1,1781071850321,1781071850613,292,OK
15,2,1781071850653,1781071850881,228,OK
15,3,1781071850900,1781071851161,261,OK
15,4,1781071851198,1781071851443,245,OK
15,5,1781071851452,1781071851709,257,OK
15,6,1781071851742,1781071851987,245,OK
15,7,1781071852019,1781071852232,213,OK
15,8,1781071852266,1781071852690,424,OK
15,9,1781071852720,1781071853185,465,OK
