thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1781071925621,1781071925957,336,FAIL
1,2,1781071925976,1781071926296,320,FAIL
1,3,1781071926304,1781071926631,327,FAIL
1,4,1781071926648,1781071926983,335,FAIL
1,5,1781071926999,1781071927351,352,FAIL
1,6,1781071927372,1781071927691,319,FAIL
1,7,1781071927706,1781071928025,319,FAIL
1,8,1781071928042,1781071928373,331,FAIL
1,9,1781071928388,1781071928717,329,FAIL
1,10,1781071928729,1781071929070,341,FAIL
1,11,1781071929083,1781071929436,353,FAIL
1,12,1781071929454,1781071929799,345,FAIL
1,13,1781071929813,1781071930001,188,FAIL
1,14,1781071930024,1781071930189,165,FAIL
1,15,1781071930207,1781071930355,148,FAIL
2,1,1781071925626,1781071925957,331,FAIL
2,2,1781071925974,1781071926295,321,FAIL
2,3,1781071926309,1781071926631,322,FAIL
2,4,1781071926652,1781071926983,331,FAIL
2,5,1781071926999,1781071927351,352,FAIL
2,6,1781071927372,1781071927691,319,FAIL
2,7,1781071927701,1781071928024,323,FAIL
2,8,1781071928042,1781071928373,331,FAIL
2,9,1781071928389,1781071928717,328,FAIL
2,10,1781071928734,1781071929070,336,FAIL
2,11,1781071929089,1781071929433,344,FAIL
2,12,1781071929445,1781071929800,355,FAIL
2,13,1781071929807,1781071929984,177,FAIL
2,14,1781071930000,1781071930188,188,FAIL
2,15,1781071930197,1781071930356,159,FAIL
3,1,1781071925631,1781071925957,326,FAIL
3,2,1781071925971,1781071926294,323,FAIL
3,3,1781071926304,1781071926631,327,FAIL
3,4,1781071926648,1781071926989,341,FAIL
3,5,1781071927016,1781071927351,335,FAIL
3,6,1781071927362,1781071927691,329,FAIL
3,7,1781071927706,1781071928024,318,FAIL
3,8,1781071928040,1781071928373,333,FAIL
3,9,1781071928384,1781071928722,338,FAIL
3,10,1781071928741,1781071929070,329,FAIL
3,11,1781071929082,1781071929436,354,FAIL
3,12,1781071929445,1781071929800,355,FAIL
3,13,1781071929819,1781071929984,165,FAIL
3,14,1781071930006,1781071930188,182,FAIL
3,15,1781071930213,1781071930355,142,FAIL
4,1,1781071925638,1781071925957,319,FAIL
4,2,1781071925979,1781071926295,316,FAIL
4,3,1781071926309,1781071926631,322,FAIL
4,4,1781071926648,1781071926980,332,FAIL
4,5,1781071927002,1781071927351,349,FAIL
4,6,1781071927360,1781071927692,332,FAIL
4,7,1781071927706,1781071928023,317,FAIL
4,8,1781071928040,1781071928373,333,FAIL
4,9,1781071928384,1781071928711,327,FAIL
4,10,1781071928734,1781071929070,336,FAIL
4,11,1781071929082,1781071929437,355,FAIL
4,12,1781071929454,1781071929800,346,FAIL
4,13,1781071929814,1781071929984,170,FAIL
4,14,1781071930010,1781071930188,178,FAIL
4,15,1781071930197,1781071930355,158,FAIL
5,1,1781071925645,1781071925957,312,OK
5,2,1781071925976,1781071926297,321,OK
5,3,1781071926314,1781071926633,319,OK
5,4,1781071926648,1781071926983,335,OK
5,5,1781071927005,1781071927355,350,OK
5,6,1781071927376,1781071927692,316,OK
5,7,1781071927701,1781071928025,324,OK
5,8,1781071928039,1781071928373,334,OK
5,9,1781071928389,1781071928718,329,OK
5,10,1781071928731,1781071929070,339,OK
5,11,1781071929089,1781071929441,352,OK
5,12,1781071929459,1781071929800,341,OK
5,13,1781071929822,1781071929985,163,OK
5,14,1781071930012,1781071930190,178,OK
5,15,1781071930201,1781071930356,155,OK
6,1,1781071925652,1781071925957,305,OK
6,2,1781071925974,1781071926297,323,OK
6,3,1781071926313,1781071926633,320,OK
6,4,1781071926650,1781071926984,334,OK
6,5,1781071927005,1781071927351,346,OK
6,6,1781071927360,1781071927697,337,OK
6,7,1781071927710,1781071928028,318,OK
6,8,1781071928048,1781071928373,325,OK
6,9,1781071928384,1781071928717,333,OK
6,10,1781071928729,1781071929070,341,OK
6,11,1781071929089,1781071929437,348,OK
6,12,1781071929454,1781071929799,345,OK
6,13,1781071929817,1781071930001,184,OK
6,14,1781071930021,1781071930188,167,OK
6,15,1781071930202,1781071930356,154,OK
7,1,1781071925661,1781071925962,301,OK
7,2,1781071925983,1781071926303,320,OK
7,3,1781071926318,1781071926637,319,OK
7,4,1781071926648,1781071926999,351,OK
7,5,1781071927013,1781071927351,338,OK
7,6,1781071927373,1781071927692,319,OK
7,7,1781071927702,1781071928025,323,OK
7,8,1781071928032,1781071928373,341,OK
7,9,1781071928394,1781071928718,324,OK
7,10,1781071928729,1781071929070,341,OK
7,11,1781071929089,1781071929437,348,OK
7,12,1781071929455,1781071929820,365,OK
7,13,1781071929828,1781071930092,264,OK
7,14,1781071930103,1781071930335,232,OK
7,15,1781071930346,1781071930554,208,OK
8,1,1781071925669,1781071925957,288,OK
8,2,1781071925971,1781071926298,327,OK
8,3,1781071926309,1781071926632,323,OK
8,4,1781071926648,1781071926986,338,OK
8,5,1781071927007,1781071927351,344,OK
8,6,1781071927360,1781071927693,333,OK
8,7,1781071927707,1781071928025,318,OK
8,8,1781071928032,1781071928377,345,OK
8,9,1781071928392,1781071928718,326,OK
8,10,1781071928734,1781071929075,341,OK
8,11,1781071929094,1781071929436,342,OK
8,12,1781071929445,1781071929800,355,OK
8,13,1781071929813,1781071929990,177,OK
8,14,1781071930001,1781071930188,187,OK
8,15,1781071930207,1781071930356,149,OK
