thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1781077123692,1781077124018,326,OK
1,2,1781077124026,1781077124363,337,OK
1,3,1781077124374,1781077124682,308,OK
1,4,1781077124692,1781077125007,315,OK
1,5,1781077125015,1781077125363,348,OK
1,6,1781077125381,1781077125789,408,OK
1,7,1781077125799,1781077126134,335,OK
1,8,1781077126142,1781077126343,201,OK
1,9,1781077126351,1781077126616,265,OK
1,10,1781077126625,1781077126846,221,OK
1,11,1781077126858,1781077127028,170,OK
1,12,1781077127035,1781077127181,146,OK
1,13,1781077127196,1781077127347,151,OK
1,14,1781077127359,1781077127501,142,OK
1,15,1781077127511,1781077127859,348,OK
2,1,1781077123696,1781077124022,326,OK
2,2,1781077124029,1781077124359,330,OK
2,3,1781077124366,1781077124687,321,OK
2,4,1781077124697,1781077125007,310,OK
2,5,1781077125015,1781077125362,347,OK
2,6,1781077125382,1781077125794,412,OK
2,7,1781077125802,1781077126118,316,OK
2,8,1781077126126,1781077126285,159,OK
2,9,1781077126296,1781077126437,141,OK
2,10,1781077126444,1781077126629,185,OK
2,11,1781077126638,1781077126846,208,OK
2,12,1781077126857,1781077127029,172,OK
2,13,1781077127038,1781077127181,143,OK
2,14,1781077127189,1781077127347,158,OK
2,15,1781077127354,1781077127496,142,OK
3,1,1781077123703,1781077124018,315,OK
3,2,1781077124026,1781077124358,332,OK
3,3,1781077124366,1781077124682,316,OK
3,4,1781077124691,1781077125012,321,OK
3,5,1781077125020,1781077125363,343,OK
3,6,1781077125381,1781077125789,408,OK
3,7,1781077125799,1781077126118,319,OK
3,8,1781077126128,1781077126285,157,OK
3,9,1781077126294,1781077126437,143,OK
3,10,1781077126444,1781077126684,240,OK
3,11,1781077126693,1781077126957,264,OK
3,12,1781077126964,1781077127199,235,OK
3,13,1781077127208,1781077127496,288,OK
3,14,1781077127506,1781077127868,362,OK
3,15,1781077127877,1781077128322,445,OK
4,1,1781077123709,1781077124018,309,OK
4,2,1781077124027,1781077124358,331,OK
4,3,1781077124366,1781077124682,316,OK
4,4,1781077124691,1781077125007,316,OK
4,5,1781077125015,1781077125367,352,OK
4,6,1781077125384,1781077125788,404,OK
4,7,1781077125799,1781077126118,319,OK
4,8,1781077126126,1781077126285,159,OK
4,9,1781077126294,1781077126439,145,OK
4,10,1781077126446,1781077126631,185,OK
4,11,1781077126641,1781077126848,207,OK
4,12,1781077126861,1781077127029,168,OK
4,13,1781077127036,1781077127181,145,OK
4,14,1781077127189,1781077127347,158,OK
4,15,1781077127354,1781077127496,142,OK
