thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1781077211940,1781077212324,384,OK
1,2,1781077212338,1781077212782,444,OK
1,3,1781077212791,1781077213178,387,OK
1,4,1781077213196,1781077213589,393,OK
1,5,1781077213604,1781077214035,431,OK
1,6,1781077214048,1781077214421,373,OK
1,7,1781077214431,1781077214812,381,OK
1,8,1781077214829,1781077215150,321,OK
1,9,1781077215159,1781077215510,351,OK
1,10,1781077215529,1781077215891,362,OK
1,11,1781077215904,1781077216315,411,OK
1,12,1781077216326,1781077216690,364,OK
1,13,1781077216700,1781077217056,356,OK
1,14,1781077217065,1781077217430,365,OK
1,15,1781077217439,1781077217785,346,OK
2,1,1781077211946,1781077212324,378,OK
2,2,1781077212338,1781077212781,443,OK
2,3,1781077212792,1781077213178,386,OK
2,4,1781077213188,1781077213589,401,OK
2,5,1781077213604,1781077214035,431,OK
2,6,1781077214046,1781077214421,375,OK
2,7,1781077214431,1781077214812,381,OK
2,8,1781077214829,1781077215149,320,OK
2,9,1781077215159,1781077215510,351,OK
2,10,1781077215525,1781077215897,372,OK
2,11,1781077215912,1781077216315,403,OK
2,12,1781077216326,1781077216689,363,OK
2,13,1781077216700,1781077217057,357,OK
2,14,1781077217065,1781077217430,365,OK
2,15,1781077217440,1781077217792,352,OK
3,1,1781077211954,1781077212324,370,OK
3,2,1781077212338,1781077212782,444,OK
3,3,1781077212791,1781077213178,387,OK
3,4,1781077213188,1781077213598,410,OK
3,5,1781077213614,1781077214035,421,OK
3,6,1781077214044,1781077214421,377,OK
3,7,1781077214431,1781077214812,381,OK
3,8,1781077214829,1781077215154,325,OK
3,9,1781077215166,1781077215510,344,OK
3,10,1781077215527,1781077215891,364,OK
3,11,1781077215904,1781077216315,411,OK
3,12,1781077216326,1781077216689,363,OK
3,13,1781077216700,1781077217057,357,OK
3,14,1781077217072,1781077217437,365,OK
3,15,1781077217444,1781077217785,341,OK
4,1,1781077211962,1781077212329,367,OK
4,2,1781077212341,1781077212788,447,OK
4,3,1781077212795,1781077213183,388,OK
4,4,1781077213196,1781077213577,381,OK
4,5,1781077213593,1781077214025,432,OK
4,6,1781077214035,1781077214427,392,OK
4,7,1781077214435,1781077214818,383,OK
4,8,1781077214831,1781077215149,318,OK
4,9,1781077215159,1781077215516,357,OK
4,10,1781077215530,1781077215892,362,OK
4,11,1781077215904,1781077216321,417,OK
4,12,1781077216330,1781077216695,365,OK
4,13,1781077216707,1781077217060,353,OK
4,14,1781077217068,1781077217429,361,OK
4,15,1781077217439,1781077217785,346,OK
