thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1781077310694,1781077311090,396,OK
1,2,1781077311119,1781077311511,392,OK
1,3,1781077311536,1781077311930,394,OK
1,4,1781077311956,1781077312367,411,OK
1,5,1781077312383,1781077312804,421,OK
1,6,1781077312822,1781077313028,206,OK
1,7,1781077313054,1781077313247,193,OK
1,8,1781077313258,1781077313443,185,OK
1,9,1781077313452,1781077313658,206,OK
1,10,1781077313685,1781077313880,195,OK
1,11,1781077313903,1781077314095,192,OK
1,12,1781077314104,1781077314289,185,OK
1,13,1781077314303,1781077314494,191,OK
1,14,1781077314508,1781077314697,189,OK
1,15,1781077314707,1781077314936,229,OK
2,1,1781077310700,1781077311088,388,OK
2,2,1781077311102,1781077311506,404,OK
2,3,1781077311526,1781077311930,404,OK
2,4,1781077311949,1781077312368,419,OK
2,5,1781077312389,1781077312804,415,OK
2,6,1781077312819,1781077313028,209,OK
2,7,1781077313054,1781077313235,181,OK
2,8,1781077313247,1781077313443,196,OK
2,9,1781077313459,1781077313814,355,OK
2,10,1781077313829,1781077314068,239,OK
2,11,1781077314081,1781077314294,213,OK
2,12,1781077314306,1781077314571,265,OK
2,13,1781077314582,1781077314901,319,OK
2,14,1781077314920,1781077315093,173,OK
2,15,1781077315107,1781077315306,199,OK
3,1,1781077310705,1781077311088,383,OK
3,2,1781077311119,1781077311506,387,OK
3,3,1781077311515,1781077311932,417,OK
3,4,1781077311947,1781077312367,420,OK
3,5,1781077312376,1781077312808,432,OK
3,6,1781077312828,1781077313028,200,OK
3,7,1781077313038,1781077313235,197,OK
3,8,1781077313246,1781077313443,197,OK
3,9,1781077313459,1781077313718,259,OK
3,10,1781077313738,1781077313999,261,OK
3,11,1781077314009,1781077314246,237,OK
3,12,1781077314253,1781077314474,221,OK
3,13,1781077314481,1781077314673,192,OK
3,14,1781077314687,1781077314913,226,OK
3,15,1781077314923,1781077315093,170,OK
4,1,1781077310715,1781077311088,373,OK
4,2,1781077311102,1781077311506,404,OK
4,3,1781077311530,1781077311939,409,OK
4,4,1781077311956,1781077312367,411,OK
4,5,1781077312388,1781077312804,416,OK
4,6,1781077312813,1781077313028,215,OK
4,7,1781077313057,1781077313235,178,OK
4,8,1781077313252,1781077313443,191,OK
4,9,1781077313452,1781077313658,206,OK
4,10,1781077313672,1781077313880,208,OK
4,11,1781077313896,1781077314150,254,OK
4,12,1781077314162,1781077314474,312,OK
4,13,1781077314481,1781077314673,192,OK
4,14,1781077314701,1781077314936,235,OK
4,15,1781077314949,1781077315114,165,OK
5,1,1781077310722,1781077311102,380,OK
5,2,1781077311124,1781077311506,382,OK
5,3,1781077311515,1781077311930,415,OK
5,4,1781077311943,1781077312376,433,OK
5,5,1781077312395,1781077312802,407,OK
5,6,1781077312822,1781077313029,207,OK
5,7,1781077313037,1781077313235,198,OK
5,8,1781077313243,1781077313443,200,OK
5,9,1781077313459,1781077313658,199,OK
5,10,1781077313672,1781077313880,208,OK
5,11,1781077313896,1781077314094,198,OK
5,12,1781077314103,1781077314289,186,OK
5,13,1781077314303,1781077314494,191,OK
5,14,1781077314503,1781077314833,330,OK
5,15,1781077314843,1781077315093,250,OK
6,1,1781077310731,1781077311088,357,OK
6,2,1781077311119,1781077311506,387,OK
6,3,1781077311522,1781077311930,408,OK
6,4,1781077311939,1781077312368,429,OK
6,5,1781077312388,1781077312806,418,OK
6,6,1781077312825,1781077313028,203,OK
6,7,1781077313041,1781077313235,194,OK
6,8,1781077313243,1781077313443,200,OK
6,9,1781077313454,1781077313658,204,OK
6,10,1781077313687,1781077313880,193,OK
6,11,1781077313892,1781077314067,175,OK
6,12,1781077314078,1781077314271,193,OK
6,13,1781077314280,1781077314494,214,OK
6,14,1781077314504,1781077314699,195,OK
6,15,1781077314716,1781077314936,220,OK
7,1,1781077310740,1781077311090,350,OK
7,2,1781077311103,1781077311506,403,OK
7,3,1781077311515,1781077311930,415,OK
7,4,1781077311939,1781077312367,428,OK
7,5,1781077312388,1781077312852,464,OK
7,6,1781077312861,1781077313091,230,OK
7,7,1781077313102,1781077313378,276,OK
7,8,1781077313390,1781077313659,269,OK
7,9,1781077313672,1781077313882,210,OK
7,10,1781077313892,1781077314067,175,OK
7,11,1781077314076,1781077314270,194,OK
7,12,1781077314278,1781077314494,216,OK
7,13,1781077314504,1781077314701,197,OK
7,14,1781077314717,1781077314901,184,OK
7,15,1781077314918,1781077315127,209,OK
8,1,1781077310750,1781077311088,338,OK
8,2,1781077311120,1781077311511,391,OK
8,3,1781077311530,1781077311930,400,OK
8,4,1781077311958,1781077312368,410,OK
8,5,1781077312388,1781077312804,416,OK
8,6,1781077312814,1781077313028,214,OK
8,7,1781077313037,1781077313235,198,OK
8,8,1781077313250,1781077313443,193,OK
8,9,1781077313466,1781077313718,252,OK
8,10,1781077313727,1781077314021,294,OK
8,11,1781077314033,1781077314251,218,OK
8,12,1781077314256,1781077314474,218,OK
8,13,1781077314487,1781077314673,186,OK
8,14,1781077314697,1781077314901,204,OK
8,15,1781077314919,1781077315093,174,OK
