thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1781070505963,1781070506242,279,FAIL
1,2,1781070506252,1781070506556,304,FAIL
1,3,1781070506565,1781070506852,287,FAIL
1,4,1781070506861,1781070507148,287,FAIL
1,5,1781070507157,1781070507522,365,FAIL
1,6,1781070507533,1781070507858,325,FAIL
1,7,1781070507866,1781070508173,307,FAIL
1,8,1781070508182,1781070508507,325,FAIL
1,9,1781070508519,1781070508891,372,FAIL
1,10,1781070508901,1781070509229,328,FAIL
1,11,1781070509244,1781070509530,286,FAIL
1,12,1781070509541,1781070509885,344,FAIL
1,13,1781070509897,1781070510250,353,FAIL
1,14,1781070510261,1781070510568,307,FAIL
1,15,1781070510577,1781070510880,303,FAIL
2,1,1781070505967,1781070506249,282,OK
2,2,1781070506257,1781070506562,305,OK
2,3,1781070506567,1781070506857,290,OK
2,4,1781070506863,1781070507155,292,OK
2,5,1781070507163,1781070507529,366,OK
2,6,1781070507534,1781070507862,328,OK
2,7,1781070507867,1781070508179,312,OK
2,8,1781070508187,1781070508515,328,OK
2,9,1781070508521,1781070508897,376,OK
2,10,1781070508903,1781070509235,332,OK
2,11,1781070509246,1781070509537,291,OK
2,12,1781070509546,1781070509892,346,OK
2,13,1781070509901,1781070510255,354,OK
2,14,1781070510264,1781070510572,308,OK
2,15,1781070510577,1781070510886,309,OK
