thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1781070566411,1781070566729,318,FAIL
1,2,1781070566738,1781070567032,294,FAIL
1,3,1781070567042,1781070567350,308,FAIL
1,4,1781070567362,1781070567671,309,FAIL
1,5,1781070567680,1781070567972,292,FAIL
1,6,1781070567983,1781070568315,332,FAIL
1,7,1781070568326,1781070568635,309,FAIL
1,8,1781070568645,1781070568958,313,FAIL
1,9,1781070568967,1781070569266,299,FAIL
1,10,1781070569277,1781070569588,311,FAIL
1,11,1781070569599,1781070569913,314,FAIL
1,12,1781070569923,1781070570234,311,FAIL
1,13,1781070570246,1781070570549,303,FAIL
1,14,1781070570558,1781070570864,306,FAIL
1,15,1781070570875,1781070571186,311,FAIL
2,1,1781070566416,1781070566735,319,OK
2,2,1781070566741,1781070567038,297,OK
2,3,1781070567047,1781070567358,311,OK
2,4,1781070567365,1781070567677,312,OK
2,5,1781070567683,1781070567980,297,OK
2,6,1781070567989,1781070568319,330,OK
2,7,1781070568326,1781070568641,315,OK
2,8,1781070568647,1781070568962,315,OK
2,9,1781070568968,1781070569274,306,OK
2,10,1781070569282,1781070569596,314,OK
2,11,1781070569605,1781070569918,313,OK
2,12,1781070569925,1781070570242,317,OK
2,13,1781070570251,1781070570555,304,OK
2,14,1781070570562,1781070570870,308,OK
2,15,1781070570880,1781070571193,313,OK
