arm,rate,seed,dur,leader_changes,target_led_s,fp_events,fp_on_leader,demotions,demote_TP,demote_FP,safety_viol,final_leader
A,0,1,300,0,0.0,0,0,0,0,0,0,2
C,0,1,300,0,0.0,0,0,0,0,0,0,2
D,0,1,300,0,0.0,0,0,0,0,0,0,2
A,0,2,300,0,0.0,0,0,0,0,0,0,2
C,0,2,300,0,0.0,0,0,0,0,0,0,2
D,0,2,300,0,0.0,0,0,0,0,0,0,2
A,0,3,300,0,0.0,0,0,0,0,0,0,2
C,0,3,300,0,0.0,0,0,0,0,0,0,2
D,0,3,300,0,0.0,0,0,0,0,0,0,2
A,5,1,300,0,0.0,18,1,0,0,0,0,2
C,5,1,300,0,0.0,18,1,0,0,0,0,2
D,5,1,300,8,0.0,18,2,2,0,2,0,2
A,5,2,300,0,0.0,9,4,0,0,0,0,2
C,5,2,300,0,0.0,9,4,0,0,0,0,2
D,5,2,300,8,0.0,9,1,2,0,2,0,1
A,5,3,300,0,0.0,13,2,0,0,0,0,1
C,5,3,300,0,0.0,13,2,0,0,0,0,1
D,5,3,300,5,0.0,13,1,1,0,1,0,5
A,10,1,300,0,0.0,38,7,0,0,0,0,5
C,10,1,300,0,0.0,38,7,0,0,0,0,5
D,10,1,300,16,0.0,38,1,4,0,4,0,5
A,10,2,300,0,0.0,32,3,0,0,0,0,5
C,10,2,300,0,0.0,32,3,0,0,0,0,5
D,10,2,300,12,0.0,32,5,3,0,3,0,4
A,10,3,300,0,0.0,32,7,0,0,0,0,4
C,10,3,300,0,0.0,32,7,0,0,0,0,4
D,10,3,300,20,14.8,32,0,5,1,4,0,4
A,20,1,300,0,0.0,51,11,0,0,0,0,4
C,20,1,300,0,0.0,51,11,0,0,0,0,4
D,20,1,300,20,0.0,51,2,5,0,5,0,1
A,20,2,300,0,0.0,72,10,0,0,0,0,1
C,20,2,300,0,0.0,72,10,0,0,0,0,1
D,20,2,300,47,13.9,72,7,13,1,12,0,4
A,20,3,300,0,0.0,68,15,0,0,0,0,4
C,20,3,300,0,0.0,68,15,0,0,0,0,4
D,20,3,300,31,13.9,68,3,8,1,7,0,4
