# start rate=20 seed=1 dur=420 n=7 target=3 events=76
3.1 fp=[5] true=[3] merged=[3, 5]
3.4 fp=[5] true=[3] merged=[3, 5]
3.8 fp=[5] true=[3] merged=[3, 5]
4.1 fp=[5] true=[3] merged=[3, 5]
4.4 fp=[5] true=[3] merged=[3, 5]
4.7 fp=[5] true=[3] merged=[3, 5]
5.0 fp=[5] true=[3] merged=[3, 5]
5.3 fp=[5] true=[3] merged=[3, 5]
5.6 fp=[5] true=[3] merged=[3, 5]
5.9 fp=[5] true=[3] merged=[3, 5]
6.3 fp=[5] true=[3] merged=[3, 5]
6.6 fp=[5] true=[3] merged=[3, 5]
6.9 fp=[5] true=[3] merged=[3, 5]
7.2 fp=[5] true=[3] merged=[3, 5]
7.5 fp=[5] true=[3] merged=[3, 5]
7.8 fp=[5] true=[3] merged=[3, 5]
8.1 fp=[5] true=[3] merged=[3, 5]
8.4 fp=[5] true=[3] merged=[3, 5]
8.7 fp=[5] true=[3] merged=[3, 5]
9.1 fp=[5] true=[3] merged=[3, 5]
9.4 fp=[5] true=[3] merged=[3, 5]
9.7 fp=[5] true=[3] merged=[3, 5]
10.0 fp=[5] true=[3] merged=[3, 5]
10.3 fp=[5] true=[3] merged=[3, 5]
10.6 fp=[5] true=[3] merged=[3, 5]
10.9 fp=[5] true=[3] merged=[3, 5]
11.2 fp=[2] true=[3] merged=[2, 3]
11.6 fp=[2] true=[3] merged=[2, 3]
11.9 fp=[2] true=[3] merged=[2, 3]
12.2 fp=[2] true=[3] merged=[2, 3]
12.5 fp=[2] true=[3] merged=[2, 3]
12.8 fp=[2] true=[3] merged=[2, 3]
13.1 fp=[2] true=[3] merged=[2, 3]
13.4 fp=[2] true=[3] merged=[2, 3]
13.8 fp=[2] true=[3] merged=[2, 3]
14.1 fp=[2] true=[3] merged=[2, 3]
14.4 fp=[2] true=[3] merged=[2, 3]
14.7 fp=[2] true=[3] merged=[2, 3]
15.0 fp=[2] true=[3] merged=[2, 3]
15.3 fp=[2] true=[3] merged=[2, 3]
15.6 fp=[2] true=[3] merged=[2, 3]
15.9 fp=[2] true=[3] merged=[2, 3]
16.3 fp=[2] true=[3] merged=[2, 3]
16.6 fp=[2] true=[3] merged=[2, 3]
16.9 fp=[2] true=[3] merged=[2, 3]
17.2 fp=[2] true=[3] merged=[2, 3]
17.5 fp=[2] true=[3] merged=[2, 3]
17.8 fp=[2] true=[3] merged=[2, 3]
18.1 fp=[2] true=[3] merged=[2, 3]
18.4 fp=[2] true=[3] merged=[2, 3]
18.8 fp=[2] true=[3] merged=[2, 3]
19.1 fp=[2] true=[3] merged=[2, 3]
19.4 fp=[2] true=[3] merged=[2, 3]
19.7 fp=[2] true=[3] merged=[2, 3]
20.0 fp=[2] true=[3] merged=[2, 3]
20.3 fp=[2] true=[3] merged=[2, 3]
20.6 fp=[2] true=[3] merged=[2, 3]
21.0 fp=[2] true=[3] merged=[2, 3]
21.3 fp=[2] true=[3] merged=[2, 3]
21.6 fp=[2] true=[3] merged=[2, 3]
21.9 fp=[2] true=[3] merged=[2, 3]
22.2 fp=[2] true=[3] merged=[2, 3]
22.5 fp=[2] true=[3] merged=[2, 3]
22.8 fp=[2] true=[3] merged=[2, 3]
23.2 fp=[2] true=[3] merged=[2, 3]
23.5 fp=[2] true=[3] merged=[2, 3]
23.8 fp=[2] true=[3] merged=[2, 3]
24.1 fp=[2] true=[3] merged=[2, 3]
24.4 fp=[2] true=[3] merged=[2, 3]
24.7 fp=[2] true=[3] merged=[2, 3]
25.1 fp=[2] true=[3] merged=[2, 3]
25.4 fp=[2] true=[3] merged=[2, 3]
25.7 fp=[2] true=[3] merged=[2, 3]
26.0 fp=[2] true=[3] merged=[2, 3]
26.3 fp=[2] true=[3] merged=[2, 3]
26.6 fp=[2] true=[3] merged=[2, 3]
26.9 fp=[2] true=[3] merged=[2, 3]
27.3 fp=[2] true=[3] merged=[2, 3]
27.6 fp=[2] true=[3] merged=[2, 3]
27.9 fp=[2] true=[3] merged=[2, 3]
28.2 fp=[2] true=[3] merged=[2, 3]
28.5 fp=[2] true=[3] merged=[2, 3]
28.8 fp=[2] true=[3] merged=[2, 3]
29.2 fp=[2] true=[3] merged=[2, 3]
29.5 fp=[2] true=[3] merged=[2, 3]
29.8 fp=[2] true=[3] merged=[2, 3]
30.1 fp=[1] true=[3] merged=[1, 3]
30.4 fp=[1] true=[3] merged=[1, 3]
30.7 fp=[1] true=[3] merged=[1, 3]
31.1 fp=[1] true=[3] merged=[1, 3]
31.4 fp=[1] true=[3] merged=[1, 3]
31.7 fp=[1] true=[3] merged=[1, 3]
32.0 fp=[1] true=[3] merged=[1, 3]
32.3 fp=[1] true=[3] merged=[1, 3]
32.7 fp=[1] true=[3] merged=[1, 3]
33.0 fp=[1] true=[3] merged=[1, 3]
33.3 fp=[1] true=[3] merged=[1, 3]
33.6 fp=[1] true=[3] merged=[1, 3]
33.9 fp=[1] true=[3] merged=[1, 3]
34.2 fp=[1] true=[3] merged=[1, 3]
34.5 fp=[1] true=[3] merged=[1, 3]
34.8 fp=[1] true=[3] merged=[1, 3]
35.2 fp=[1] true=[3] merged=[1, 3]
35.5 fp=[1] true=[3] merged=[1, 3]
35.8 fp=[1] true=[3] merged=[1, 3]
36.1 fp=[1] true=[3] merged=[1, 3]
36.4 fp=[1] true=[3] merged=[1, 3]
36.7 fp=[1] true=[3] merged=[1, 3]
37.0 fp=[1] true=[3] merged=[1, 3]
37.3 fp=[1] true=[3] merged=[1, 3]
37.6 fp=[1] true=[3] merged=[1, 3]
38.0 fp=[1] true=[3] merged=[1, 3]
38.3 fp=[1] true=[3] merged=[1, 3]
38.6 fp=[1] true=[3] merged=[1, 3]
38.9 fp=[1] true=[3] merged=[1, 3]
39.2 fp=[1] true=[3] merged=[1, 3]
39.5 fp=[1] true=[3] merged=[1, 3]
39.8 fp=[1] true=[3] merged=[1, 3]
40.1 fp=[1] true=[3] merged=[1, 3]
40.5 fp=[1] true=[3] merged=[1, 3]
40.8 fp=[1] true=[3] merged=[1, 3]
41.1 fp=[1] true=[3] merged=[1, 3]
41.4 fp=[1] true=[3] merged=[1, 3]
41.7 fp=[1] true=[3] merged=[1, 3]
42.0 fp=[1] true=[3] merged=[1, 3]
42.3 fp=[1] true=[3] merged=[1, 3]
42.6 fp=[1] true=[3] merged=[1, 3]
43.0 fp=[1] true=[3] merged=[1, 3]
43.3 fp=[1] true=[3] merged=[1, 3]
43.6 fp=[1] true=[3] merged=[1, 3]
43.9 fp=[1] true=[3] merged=[1, 3]
44.2 fp=[1] true=[3] merged=[1, 3]
44.5 fp=[1] true=[3] merged=[1, 3]
44.8 fp=[1] true=[3] merged=[1, 3]
45.1 fp=[1] true=[3] merged=[1, 3]
45.5 fp=[1] true=[3] merged=[1, 3]
45.8 fp=[1] true=[3] merged=[1, 3]
46.1 fp=[1] true=[3] merged=[1, 3]
46.4 fp=[1] true=[3] merged=[1, 3]
46.7 fp=[1] true=[3] merged=[1, 3]
47.0 fp=[1] true=[3] merged=[1, 3]
47.3 fp=[1] true=[3] merged=[1, 3]
47.7 fp=[1] true=[3] merged=[1, 3]
48.0 fp=[1] true=[3] merged=[1, 3]
48.3 fp=[1] true=[3] merged=[1, 3]
48.6 fp=[1] true=[3] merged=[1, 3]
48.9 fp=[1] true=[3] merged=[1, 3]
49.2 fp=[1] true=[3] merged=[1, 3]
49.5 fp=[1] true=[3] merged=[1, 3]
49.8 fp=[1] true=[3] merged=[1, 3]
50.1 fp=[4] true=[3] merged=[3, 4]
50.5 fp=[4] true=[3] merged=[3, 4]
50.8 fp=[4] true=[3] merged=[3, 4]
51.1 fp=[4] true=[3] merged=[3, 4]
51.4 fp=[4] true=[3] merged=[3, 4]
51.7 fp=[4] true=[3] merged=[3, 4]
52.0 fp=[4] true=[3] merged=[3, 4]
52.3 fp=[4] true=[3] merged=[3, 4]
52.6 fp=[4] true=[3] merged=[3, 4]
53.0 fp=[4] true=[3] merged=[3, 4]
53.3 fp=[4] true=[3] merged=[3, 4]
53.6 fp=[4] true=[3] merged=[3, 4]
53.9 fp=[4] true=[3] merged=[3, 4]
54.2 fp=[4] true=[3] merged=[3, 4]
54.5 fp=[4] true=[3] merged=[3, 4]
54.8 fp=[4] true=[3] merged=[3, 4]
55.1 fp=[4] true=[3] merged=[3, 4]
55.4 fp=[4] true=[3] merged=[3, 4]
55.8 fp=[4] true=[3] merged=[3, 4]
56.1 fp=[4] true=[3] merged=[3, 4]
56.4 fp=[4] true=[3] merged=[3, 4]
56.7 fp=[4] true=[3] merged=[3, 4]
57.0 fp=[4] true=[3] merged=[3, 4]
57.3 fp=[4] true=[3] merged=[3, 4]
57.7 fp=[4] true=[3] merged=[3, 4]
58.0 fp=[4] true=[3] merged=[3, 4]
58.3 fp=[4] true=[3] merged=[3, 4]
58.6 fp=[4] true=[3] merged=[3, 4]
58.9 fp=[4] true=[3] merged=[3, 4]
59.2 fp=[4] true=[3] merged=[3, 4]
59.6 fp=[4] true=[3] merged=[3, 4]
59.9 fp=[4] true=[3] merged=[3, 4]
60.2 fp=[4] true=[3] merged=[3, 4]
60.5 fp=[4] true=[3] merged=[3, 4]
60.8 fp=[4] true=[3] merged=[3, 4]
61.1 fp=[4] true=[3] merged=[3, 4]
61.4 fp=[4] true=[3] merged=[3, 4]
61.7 fp=[4] true=[3] merged=[3, 4]
62.1 fp=[4] true=[3] merged=[3, 4]
62.4 fp=[4] true=[3] merged=[3, 4]
62.7 fp=[4] true=[3] merged=[3, 4]
63.0 fp=[4] true=[3] merged=[3, 4]
63.3 fp=[4] true=[3] merged=[3, 4]
63.6 fp=[4] true=[3] merged=[3, 4]
64.0 fp=[4] true=[3] merged=[3, 4]
64.3 fp=[4] true=[3] merged=[3, 4]
64.6 fp=[4] true=[3] merged=[3, 4]
64.9 fp=[4] true=[3] merged=[3, 4]
65.2 fp=[4] true=[3] merged=[3, 4]
65.5 fp=[4] true=[3] merged=[3, 4]
65.8 fp=[4] true=[3] merged=[3, 4]
66.1 fp=[4] true=[3] merged=[3, 4]
66.5 fp=[4] true=[3] merged=[3, 4]
66.8 fp=[4] true=[3] merged=[3, 4]
67.1 fp=[4] true=[3] merged=[3, 4]
67.4 fp=[4] true=[3] merged=[3, 4]
67.7 fp=[4] true=[3] merged=[3, 4]
68.1 fp=[4] true=[3] merged=[3, 4]
68.4 fp=[4] true=[3] merged=[3, 4]
68.7 fp=[4] true=[3] merged=[3, 4]
69.0 fp=[4] true=[3] merged=[3, 4]
69.3 fp=[4] true=[3] merged=[3, 4]
69.6 fp=[4] true=[3] merged=[3, 4]
69.9 fp=[4] true=[3] merged=[3, 4]
70.2 fp=[4] true=[3] merged=[3, 4]
70.5 fp=[4] true=[3] merged=[3, 4]
70.8 fp=[4] true=[3] merged=[3, 4]
71.2 fp=[4] true=[3] merged=[3, 4]
71.5 fp=[4] true=[3] merged=[3, 4]
71.8 fp=[4] true=[3] merged=[3, 4]
72.1 fp=[4] true=[3] merged=[3, 4]
72.4 fp=[4] true=[3] merged=[3, 4]
72.7 fp=[4] true=[3] merged=[3, 4]
73.0 fp=[4] true=[3] merged=[3, 4]
73.3 fp=[4] true=[3] merged=[3, 4]
73.7 fp=[4] true=[3] merged=[3, 4]
74.0 fp=[4] true=[3] merged=[3, 4]
74.3 fp=[4] true=[3] merged=[3, 4]
74.6 fp=[4] true=[3] merged=[3, 4]
74.9 fp=[4] true=[3] merged=[3, 4]
75.2 fp=[4] true=[3] merged=[3, 4]
75.5 fp=[4] true=[3] merged=[3, 4]
75.8 fp=[4] true=[3] merged=[3, 4]
76.1 fp=[4] true=[3] merged=[3, 4]
76.5 fp=[4] true=[3] merged=[3, 4]
76.8 fp=[4] true=[3] merged=[3, 4]
77.1 fp=[4] true=[3] merged=[3, 4]
77.4 fp=[4] true=[3] merged=[3, 4]
