arm,rate,seed,dwell_s,demotions,demote_TP,demote_FP,target_tenure_s,leaderless_s,target_leader_at_end,seat_attempts,repaired,safety_viol
A,10,1,300,0,0,0,226,0,3,8,0,0
D,10,1,300,6,1,5,6,14,4,0,0,0
P,10,1,300,1,1,0,12,2,7,21,0,0
A,20,1,300,0,0,0,224,0,3,8,0,0
D,20,1,300,1,1,0,6,2,6,0,0,0
P,20,1,300,4,1,3,12,12,1,1,0,0
A,10,2,300,0,0,0,226,0,3,2,0,0
D,10,2,300,4,1,3,6,8,7,0,0,0
P,10,2,300,1,1,0,14,2,6,1,0,0
A,20,2,300,0,0,0,226,0,3,2,0,0
D,20,2,300,2,1,1,6,4,6,0,0,0
P,20,2,300,2,1,1,12,6,6,25,0,0
