1789637486,{"blacklist":[];"seq":1;"fail_open":false}
1789637487,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637488,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637489,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637490,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637491,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637492,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637493,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637494,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637495,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637496,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637497,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637498,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637500,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637501,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637502,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637503,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637504,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637505,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637506,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637507,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637508,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637509,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637510,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637511,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637512,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637513,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637515,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637516,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637517,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637518,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637519,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637520,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637521,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637522,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637523,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637524,{"blacklist":[1;3];"seq":1;"fail_open":false}
