# start rate=10 seed=6 dur=420 n=7 target=3 events=41
6.3 fp=[2] true=[3] merged=[2, 3]
6.6 fp=[2] true=[3] merged=[2, 3]
6.9 fp=[2] true=[3] merged=[2, 3]
7.2 fp=[2] true=[3] merged=[2, 3]
7.6 fp=[2] true=[3] merged=[2, 3]
7.9 fp=[2] true=[3] merged=[2, 3]
8.2 fp=[2] true=[3] merged=[2, 3]
8.5 fp=[2] true=[3] merged=[2, 3]
8.9 fp=[2] true=[3] merged=[2, 3]
9.2 fp=[2] true=[3] merged=[2, 3]
9.5 fp=[2] true=[3] merged=[2, 3]
9.8 fp=[2] true=[3] merged=[2, 3]
10.1 fp=[2] true=[3] merged=[2, 3]
10.4 fp=[2] true=[3] merged=[2, 3]
10.7 fp=[2] true=[3] merged=[2, 3]
11.0 fp=[2] true=[3] merged=[2, 3]
11.4 fp=[2] true=[3] merged=[2, 3]
11.7 fp=[2] true=[3] merged=[2, 3]
12.0 fp=[2] true=[3] merged=[2, 3]
12.3 fp=[2] true=[3] merged=[2, 3]
12.6 fp=[2] true=[3] merged=[2, 3]
12.9 fp=[2] true=[3] merged=[2, 3]
13.2 fp=[2] true=[3] merged=[2, 3]
13.5 fp=[2] true=[3] merged=[2, 3]
13.9 fp=[2] true=[3] merged=[2, 3]
14.2 fp=[2] true=[3] merged=[2, 3]
14.5 fp=[2] true=[3] merged=[2, 3]
14.8 fp=[2] true=[3] merged=[2, 3]
15.1 fp=[2] true=[3] merged=[2, 3]
15.5 fp=[2] true=[3] merged=[2, 3]
15.8 fp=[2] true=[3] merged=[2, 3]
16.1 fp=[2] true=[3] merged=[2, 3]
16.4 fp=[2] true=[3] merged=[2, 3]
16.7 fp=[2] true=[3] merged=[2, 3]
17.0 fp=[2] true=[3] merged=[2, 3]
17.3 fp=[2] true=[3] merged=[2, 3]
17.6 fp=[2] true=[3] merged=[2, 3]
17.9 fp=[2] true=[3] merged=[2, 3]
18.3 fp=[2] true=[3] merged=[2, 3]
18.6 fp=[2] true=[3] merged=[2, 3]
18.9 fp=[2] true=[3] merged=[2, 3]
19.2 fp=[2] true=[3] merged=[2, 3]
19.5 fp=[2] true=[3] merged=[2, 3]
19.8 fp=[2] true=[3] merged=[2, 3]
20.2 fp=[2] true=[3] merged=[2, 3]
20.5 fp=[2] true=[3] merged=[2, 3]
20.8 fp=[2] true=[3] merged=[2, 3]
21.1 fp=[2] true=[3] merged=[2, 3]
21.4 fp=[2] true=[3] merged=[2, 3]
21.7 fp=[2] true=[3] merged=[2, 3]
22.0 fp=[2] true=[3] merged=[2, 3]
22.3 fp=[2] true=[3] merged=[2, 3]
22.6 fp=[2] true=[3] merged=[2, 3]
22.9 fp=[2] true=[3] merged=[2, 3]
23.3 fp=[2] true=[3] merged=[2, 3]
23.6 fp=[2] true=[3] merged=[2, 3]
23.9 fp=[2] true=[3] merged=[2, 3]
24.2 fp=[2] true=[3] merged=[2, 3]
24.5 fp=[2] true=[3] merged=[2, 3]
24.8 fp=[2] true=[3] merged=[2, 3]
25.1 fp=[2] true=[3] merged=[2, 3]
25.4 fp=[2] true=[3] merged=[2, 3]
25.7 fp=[2] true=[3] merged=[2, 3]
26.0 fp=[2] true=[3] merged=[2, 3]
26.4 fp=[2] true=[3] merged=[2, 3]
