# start rate=20 seed=5 dur=420 n=7 target=3 events=74
0.0 fp=[7] true=[3] merged=[3, 7]
0.3 fp=[7] true=[3] merged=[3, 7]
0.6 fp=[7] true=[3] merged=[3, 7]
0.9 fp=[7] true=[3] merged=[3, 7]
1.2 fp=[7] true=[3] merged=[3, 7]
1.6 fp=[7] true=[3] merged=[3, 7]
1.9 fp=[7] true=[3] merged=[3, 7]
2.2 fp=[7] true=[3] merged=[3, 7]
2.5 fp=[7] true=[3] merged=[3, 7]
2.8 fp=[7] true=[3] merged=[3, 7]
3.1 fp=[7] true=[3] merged=[3, 7]
3.4 fp=[7] true=[3] merged=[3, 7]
3.7 fp=[7] true=[3] merged=[3, 7]
4.1 fp=[7] true=[3] merged=[3, 7]
4.4 fp=[7] true=[3] merged=[3, 7]
4.7 fp=[7] true=[3] merged=[3, 7]
5.0 fp=[7] true=[3] merged=[3, 7]
5.3 fp=[7] true=[3] merged=[3, 7]
5.6 fp=[7] true=[3] merged=[3, 7]
5.9 fp=[7] true=[3] merged=[3, 7]
6.2 fp=[7] true=[3] merged=[3, 7]
6.5 fp=[7] true=[3] merged=[3, 7]
6.9 fp=[7] true=[3] merged=[3, 7]
7.2 fp=[7] true=[3] merged=[3, 7]
7.5 fp=[7] true=[3] merged=[3, 7]
7.8 fp=[7] true=[3] merged=[3, 7]
8.1 fp=[5] true=[3] merged=[3, 5]
8.4 fp=[5] true=[3] merged=[3, 5]
8.8 fp=[5] true=[3] merged=[3, 5]
9.1 fp=[5] true=[3] merged=[3, 5]
9.4 fp=[5] true=[3] merged=[3, 5]
9.7 fp=[5] true=[3] merged=[3, 5]
10.0 fp=[5] true=[3] merged=[3, 5]
10.3 fp=[5] true=[3] merged=[3, 5]
10.6 fp=[5] true=[3] merged=[3, 5]
10.9 fp=[5] true=[3] merged=[3, 5]
11.2 fp=[5] true=[3] merged=[3, 5]
11.6 fp=[5] true=[3] merged=[3, 5]
11.9 fp=[5] true=[3] merged=[3, 5]
12.2 fp=[5] true=[3] merged=[3, 5]
12.5 fp=[5] true=[3] merged=[3, 5]
12.8 fp=[5] true=[3] merged=[3, 5]
13.2 fp=[5] true=[3] merged=[3, 5]
13.5 fp=[5] true=[3] merged=[3, 5]
13.8 fp=[5] true=[3] merged=[3, 5]
14.1 fp=[5] true=[3] merged=[3, 5]
14.4 fp=[5] true=[3] merged=[3, 5]
14.7 fp=[5] true=[3] merged=[3, 5]
15.0 fp=[5] true=[3] merged=[3, 5]
15.3 fp=[5] true=[3] merged=[3, 5]
15.6 fp=[5] true=[3] merged=[3, 5]
16.0 fp=[5] true=[3] merged=[3, 5]
16.3 fp=[5] true=[3] merged=[3, 5]
16.6 fp=[5] true=[3] merged=[3, 5]
16.9 fp=[5] true=[3] merged=[3, 5]
17.2 fp=[5] true=[3] merged=[3, 5]
17.5 fp=[5] true=[3] merged=[3, 5]
17.9 fp=[5] true=[3] merged=[3, 5]
18.2 fp=[5] true=[3] merged=[3, 5]
18.5 fp=[5] true=[3] merged=[3, 5]
18.9 fp=[5] true=[3] merged=[3, 5]
19.2 fp=[4] true=[3] merged=[3, 4]
19.5 fp=[4] true=[3] merged=[3, 4]
19.8 fp=[4] true=[3] merged=[3, 4]
20.1 fp=[2] true=[3] merged=[2, 3]
20.5 fp=[2] true=[3] merged=[2, 3]
20.8 fp=[2] true=[3] merged=[2, 3]
21.1 fp=[2] true=[3] merged=[2, 3]
21.4 fp=[2] true=[3] merged=[2, 3]
21.7 fp=[2] true=[3] merged=[2, 3]
22.0 fp=[2] true=[3] merged=[2, 3]
22.3 fp=[2] true=[3] merged=[2, 3]
22.6 fp=[2] true=[3] merged=[2, 3]
22.9 fp=[2] true=[3] merged=[2, 3]
23.2 fp=[2] true=[3] merged=[2, 3]
23.5 fp=[2] true=[3] merged=[2, 3]
23.9 fp=[2] true=[3] merged=[2, 3]
24.2 fp=[2] true=[3] merged=[2, 3]
24.5 fp=[2] true=[3] merged=[2, 3]
24.8 fp=[2] true=[3] merged=[2, 3]
25.1 fp=[2] true=[3] merged=[2, 3]
25.4 fp=[2] true=[3] merged=[2, 3]
25.7 fp=[2] true=[3] merged=[2, 3]
26.0 fp=[2] true=[3] merged=[2, 3]
26.4 fp=[2] true=[3] merged=[2, 3]
26.7 fp=[2] true=[3] merged=[2, 3]
27.0 fp=[2] true=[3] merged=[2, 3]
27.3 fp=[2] true=[3] merged=[2, 3]
27.6 fp=[2] true=[3] merged=[2, 3]
27.9 fp=[2] true=[3] merged=[2, 3]
28.3 fp=[2] true=[3] merged=[2, 3]
28.6 fp=[2] true=[3] merged=[2, 3]
28.9 fp=[2] true=[3] merged=[2, 3]
29.2 fp=[2] true=[3] merged=[2, 3]
29.5 fp=[2] true=[3] merged=[2, 3]
29.8 fp=[2] true=[3] merged=[2, 3]
30.1 fp=[2] true=[3] merged=[2, 3]
30.4 fp=[2] true=[3] merged=[2, 3]
30.8 fp=[2] true=[3] merged=[2, 3]
31.1 fp=[2] true=[3] merged=[2, 3]
31.4 fp=[2] true=[3] merged=[2, 3]
31.7 fp=[2] true=[3] merged=[2, 3]
32.0 fp=[2] true=[3] merged=[2, 3]
32.3 fp=[2] true=[3] merged=[2, 3]
32.7 fp=[2] true=[3] merged=[2, 3]
33.0 fp=[2] true=[3] merged=[2, 3]
33.3 fp=[2] true=[3] merged=[2, 3]
33.6 fp=[2] true=[3] merged=[2, 3]
33.9 fp=[2] true=[3] merged=[2, 3]
34.2 fp=[2] true=[3] merged=[2, 3]
34.5 fp=[2] true=[3] merged=[2, 3]
34.8 fp=[2] true=[3] merged=[2, 3]
35.1 fp=[1] true=[3] merged=[1, 3]
35.4 fp=[1] true=[3] merged=[1, 3]
35.7 fp=[1] true=[3] merged=[1, 3]
36.1 fp=[1] true=[3] merged=[1, 3]
36.4 fp=[1] true=[3] merged=[1, 3]
