arm,rate,seed,dwell_s,demotions,demote_TP,demote_FP,target_tenure_s,leaderless_s,target_leader_at_end,seat_attempts,settle_s,repaired,safety_viol
A,10,5,300,0,0,0,220,0,3,0,60,0,0
D,10,5,300,1,1,0,4,0,7,0,60,0,0
P,10,5,300,4,1,3,6,2,7,9,60,0,0
A,20,5,300,0,0,0,224,0,3,2,60,0,0
D,20,5,300,1,1,0,6,0,7,0,60,0,0
P,20,5,300,2,1,1,4,0,7,2,60,0,0
A,10,6,300,0,0,0,220,0,3,3,60,0,0
D,10,6,300,4,1,3,4,0,5,0,60,0,0
P,10,6,300,1,1,0,6,0,5,2,60,0,0
A,20,6,300,0,0,0,198,0,3,3,60,0,0
D,20,6,300,4,1,3,6,0,4,0,60,0,0
P,20,6,300,2,1,1,6,0,7,2,60,0,0
