arm,rate,seed,dur,elections,elec_with_fp,fp_node_wins,leader_changes,demotions,demote_TP,demote_FP,liveness_fail,mean_ttl_s,advice_seen,safety_viol
A,0,1,300,10,0,0,36,0,0,0,0,3.0,0,0
C,0,1,300,10,0,0,43,0,0,0,0,2.8,0,0
D,0,1,300,10,0,0,38,0,0,0,0,3.2,0,0
A,0,2,300,10,0,0,40,0,0,0,0,2.8,0,0
C,0,2,300,10,0,0,50,0,0,0,0,3.2,0,0
D,0,2,300,10,0,0,42,0,0,0,0,3.0,0,0
A,0,3,300,10,0,0,36,0,0,0,0,3.2,0,0
C,0,3,300,10,0,0,47,0,0,0,0,3.2,0,0
D,0,3,300,10,0,0,41,2,2,0,0,3.2,0,0
A,5,1,300,10,9,0,33,0,0,0,0,2.8,0,0
C,5,1,300,10,9,0,40,0,0,0,3,3.1,9,0
D,5,1,300,10,7,1,88,13,2,11,0,3.2,0,0
A,5,2,300,10,1,0,37,0,0,0,0,3.2,0,0
C,5,2,300,10,2,0,49,0,0,0,0,3.2,2,0
D,5,2,300,10,0,0,70,9,1,8,0,3.4,0,0
A,5,3,300,10,9,0,37,0,0,0,0,3.2,0,0
C,5,3,300,10,9,0,43,0,0,0,3,3.7,9,0
D,5,3,300,10,1,0,68,10,2,8,0,3.5,0,0
A,10,1,300,10,8,1,37,0,0,0,0,2.8,0,0
C,10,1,300,10,9,0,41,0,0,0,3,2.9,9,0
D,10,1,300,10,7,2,87,14,1,13,0,2.8,0,0
A,10,2,300,10,9,0,38,0,0,0,0,3.2,0,0
C,10,2,300,10,10,0,39,0,0,0,3,3.1,9,0
D,10,2,300,10,6,0,88,15,0,15,0,3.4,0,0
A,10,3,300,10,8,0,37,0,0,0,0,3.0,0,0
C,10,3,300,10,8,0,44,0,0,0,3,3.4,8,0
D,10,3,300,10,5,2,92,16,3,13,0,3.2,0,0
A,20,1,300,10,10,1,35,0,0,0,0,2.8,0,0
C,20,1,300,10,10,0,42,0,0,0,3,2.9,10,0
D,20,1,300,10,8,1,96,16,4,12,0,3.2,0,0
A,20,2,300,10,9,0,35,0,0,0,0,2.8,0,0
C,20,2,300,10,10,0,40,0,0,0,3,3.4,10,0
D,20,2,300,10,5,0,89,15,4,11,0,2.8,0,0
A,20,3,300,10,9,1,36,0,0,0,0,3.0,0,0
