phase,arm,rate,seed,dur,elections,elec_with_fp,leader_changes,demotions,demote_TP,demote_FP,leaderless_s,target_tenure_s,liveness_fail,mean_ttl_s,advice_seen,repaired,safety_viol
P1,C,0,1,30,1,0,3,0,0,0,2,0,0,2.0,0,0,0
P1,D,0,1,30,1,0,5,0,0,0,2,0,0,4.0,0,0,0
P1,A,0,1,30,1,0,3,0,0,0,2,0,0,4.0,0,0,0
P1,D,0,2,30,1,0,5,0,0,0,2,0,0,4.0,0,0,0
P1,A,0,2,30,1,0,4,0,0,0,2,0,0,4.0,0,0,0
P1,C,0,2,30,1,0,5,0,0,0,2,0,0,4.0,0,0,0
P2,C,0,1,180,0,0,0,0,0,0,0,138,0,-,0,0,0
P2,D,0,1,180,0,0,3,1,1,0,2,6,0,-,0,0,0
P2,C,0,2,180,0,0,0,0,0,0,0,138,0,-,0,0,0
P2,D,0,2,180,0,0,3,1,1,0,2,6,0,-,0,0,0
