idx,leader_before,leader_after,fp_node,live,time_to_leader_s,fp_delivered,advice_seen_on
1,2,6,2,1,4,1,n1:{"blacklist":[2;3];"seq":1;"fail_open":false}
2,6,1,6,1,4,1,n1:{"blacklist":[3;6];"seq":1;"fail_open":false}
3,1,6,1,1,4,1,n2:{"blacklist":[1;3];"seq":1;"fail_open":false}
4,6,1,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
5,1,2,-,1,4,0,n2:{"blacklist":[3];"seq":1;"fail_open":false}
6,2,5,2,1,2,1,n1:{"blacklist":[2;3];"seq":1;"fail_open":false}
7,5,1,5,1,4,1,n1:{"blacklist":[3;5];"seq":1;"fail_open":false}
8,1,2,1,1,4,1,n2:{"blacklist":[1;3];"seq":1;"fail_open":false}
9,2,5,1,1,4,1,n1:{"blacklist":[1;3];"seq":1;"fail_open":false}
10,5,4,1,1,4,1,n1:{"blacklist":[1;3];"seq":1;"fail_open":false}
