thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1780836529905,1780836530302,397,FAIL
1,2,1780836530332,1780836530669,337,FAIL
1,3,1780836530678,1780836531035,357,FAIL
1,4,1780836531068,1780836531270,202,FAIL
1,5,1780836531308,1780836531508,200,FAIL
1,6,1780836531528,1780836531727,199,FAIL
1,7,1780836531745,1780836531948,203,FAIL
1,8,1780836531959,1780836532154,195,FAIL
1,9,1780836532182,1780836532374,192,FAIL
1,10,1780836532404,1780836532619,215,FAIL
1,11,1780836532639,1780836532838,199,FAIL
1,12,1780836532849,1780836533058,209,FAIL
1,13,1780836533064,1780836533281,217,FAIL
1,14,1780836533303,1780836533494,191,FAIL
1,15,1780836533519,1780836533709,190,FAIL
1,16,1780836533721,1780836533938,217,FAIL
1,17,1780836533947,1780836534179,232,FAIL
1,18,1780836534191,1780836534419,228,FAIL
1,19,1780836534424,1780836534658,234,FAIL
1,20,1780836534677,1780836535138,461,FAIL
1,21,1780836535160,1780836535399,239,FAIL
1,22,1780836535411,1780836535662,251,FAIL
1,23,1780836535674,1780836535912,238,FAIL
1,24,1780836535922,1780836536134,212,FAIL
1,25,1780836536145,1780836536372,227,FAIL
1,26,1780836536391,1780836536587,196,FAIL
1,27,1780836536597,1780836536820,223,FAIL
1,28,1780836536831,1780836537021,190,FAIL
1,29,1780836537033,1780836537240,207,FAIL
1,30,1780836537253,1780836537450,197,FAIL
10,1,1780836529965,1780836530307,342,OK
10,2,1780836530340,1780836530670,330,OK
10,3,1780836530695,1780836531036,341,OK
10,4,1780836531043,1780836531270,227,OK
10,5,1780836531294,1780836531509,215,OK
10,6,1780836531537,1780836531746,209,OK
10,7,1780836531761,1780836531949,188,OK
10,8,1780836531953,1780836532156,203,OK
10,9,1780836532167,1780836532380,213,OK
10,10,1780836532409,1780836532621,212,OK
10,11,1780836532652,1780836532838,186,OK
10,12,1780836532859,1780836533058,199,OK
10,13,1780836533081,1780836533281,200,OK
10,14,1780836533316,1780836533500,184,OK
10,15,1780836533517,1780836533710,193,OK
10,16,1780836533728,1780836533937,209,OK
10,17,1780836533955,1780836534160,205,OK
10,18,1780836534184,1780836534420,236,OK
10,19,1780836534445,1780836534784,339,OK
10,20,1780836534796,1780836535270,474,OK
