thread,tx_idx,start_ms,end_ms,latency_ms,status
1,1,1780835282881,1780835283259,378,FAIL
1,2,1780835283282,1780835283622,340,FAIL
1,3,1780835283639,1780835283978,339,FAIL
1,4,1780835283986,1780835284342,356,FAIL
1,5,1780835284362,1780835284698,336,FAIL
1,6,1780835284711,1780835285045,334,FAIL
1,7,1780835285055,1780835285418,363,FAIL
1,8,1780835285443,1780835285840,397,FAIL
1,9,1780835285854,1780835286144,290,FAIL
1,10,1780835286154,1780835286378,224,FAIL
1,11,1780835286389,1780835286599,210,FAIL
1,12,1780835286607,1780835286809,202,FAIL
1,13,1780835286819,1780835287008,189,FAIL
1,14,1780835287018,1780835287208,190,FAIL
1,15,1780835287220,1780835287421,201,FAIL
1,16,1780835287430,1780835287685,255,FAIL
1,17,1780835287696,1780835287917,221,FAIL
1,18,1780835287938,1780835288125,187,FAIL
1,19,1780835288137,1780835288340,203,FAIL
1,20,1780835288354,1780835288479,125,FAIL
10,1,1780835282909,1780835283261,352,OK
10,2,1780835283269,1780835283624,355,OK
10,3,1780835283650,1780835283979,329,OK
10,4,1780835283988,1780835284344,356,OK
10,5,1780835284374,1780835284698,324,OK
10,6,1780835284725,1780835285047,322,OK
10,7,1780835285068,1780835285419,351,OK
10,8,1780835285427,1780835285776,349,OK
10,9,1780835285794,1780835286017,223,OK
10,10,1780835286031,1780835286240,209,OK
10,11,1780835286271,1780835286457,186,OK
10,12,1780835286473,1780835286670,197,OK
10,13,1780835286676,1780835286873,197,OK
10,14,1780835286895,1780835287157,262,OK
10,15,1780835287167,1780835287397,230,OK
10,16,1780835287404,1780835287616,212,OK
10,17,1780835287625,1780835287834,209,OK
10,18,1780835287844,1780835288076,232,OK
10,19,1780835288086,1780835288297,211,OK
10,20,1780835288315,1780835288446,131,OK
11,1,1780835282913,1780835283258,345,OK
11,2,1780835283289,1780835283624,335,OK
11,3,1780835283652,1780835283978,326,OK
11,4,1780835283994,1780835284347,353,OK
11,5,1780835284375,1780835284704,329,OK
11,6,1780835284729,1780835285059,330,OK
11,7,1780835285084,1780835285418,334,OK
11,8,1780835285450,1780835285781,331,OK
11,9,1780835285790,1780835286017,227,OK
11,10,1780835286046,1780835286240,194,OK
11,11,1780835286250,1780835286457,207,OK
11,12,1780835286482,1780835286670,188,OK
11,13,1780835286683,1780835286870,187,OK
11,14,1780835286889,1780835287074,185,OK
11,15,1780835287084,1780835287279,195,OK
11,16,1780835287286,1780835287482,196,OK
11,17,1780835287496,1780835287685,189,OK
11,18,1780835287707,1780835287917,210,OK
11,19,1780835287927,1780835288140,213,OK
11,20,1780835288155,1780835288344,189,OK
12,1,1780835282917,1780835283251,334,OK
12,2,1780835283286,1780835283623,337,OK
12,3,1780835283633,1780835283978,345,OK
12,4,1780835284004,1780835284343,339,OK
12,5,1780835284353,1780835284697,344,OK
12,6,1780835284718,1780835285054,336,OK
12,7,1780835285081,1780835285420,339,OK
12,8,1780835285433,1780835285775,342,OK
12,9,1780835285791,1780835286017,226,OK
12,10,1780835286041,1780835286239,198,OK
12,11,1780835286262,1780835286457,195,OK
12,12,1780835286465,1780835286649,184,OK
12,13,1780835286667,1780835286868,201,OK
12,14,1780835286876,1780835287079,203,OK
12,15,1780835287097,1780835287279,182,OK
12,16,1780835287293,1780835287482,189,OK
12,17,1780835287501,1780835287729,228,OK
12,18,1780835287746,1780835287985,239,OK
12,19,1780835287995,1780835288223,228,OK
12,20,1780835288234,1780835288402,168,OK
13,1,1780835282923,1780835283259,336,OK
13,2,1780835283269,1780835283633,364,OK
13,3,1780835283656,1780835283978,322,OK
13,4,1780835283993,1780835284343,350,OK
13,5,1780835284366,1780835284697,331,OK
13,6,1780835284711,1780835285052,341,OK
13,7,1780835285076,1780835285418,342,OK
13,8,1780835285436,1780835285780,344,OK
13,9,1780835285785,1780835286017,232,OK
13,10,1780835286047,1780835286239,192,OK
13,11,1780835286264,1780835286458,194,OK
13,12,1780835286463,1780835286650,187,OK
13,13,1780835286672,1780835286871,199,OK
13,14,1780835286877,1780835287075,198,OK
13,15,1780835287095,1780835287279,184,OK
13,16,1780835287295,1780835287482,187,OK
13,17,1780835287499,1780835287697,198,OK
13,18,1780835287718,1780835287932,214,OK
13,19,1780835287949,1780835288203,254,OK
13,20,1780835288214,1780835288402,188,OK
14,1,1780835282928,1780835283257,329,OK
14,2,1780835283278,1780835283624,346,OK
14,3,1780835283649,1780835283977,328,OK
14,4,1780835283986,1780835284343,357,OK
14,5,1780835284352,1780835284697,345,OK
14,6,1780835284704,1780835285048,344,OK
14,7,1780835285070,1780835285419,349,OK
14,8,1780835285451,1780835285776,325,OK
14,9,1780835285788,1780835286017,229,OK
14,10,1780835286041,1780835286240,199,OK
14,11,1780835286264,1780835286457,193,OK
14,12,1780835286479,1780835286649,170,OK
14,13,1780835286667,1780835286868,201,OK
14,14,1780835286875,1780835287075,200,OK
14,15,1780835287089,1780835287280,191,OK
14,16,1780835287285,1780835287480,195,OK
14,17,1780835287494,1780835287687,193,OK
14,18,1780835287709,1780835287917,208,OK
14,19,1780835287936,1780835288131,195,OK
14,20,1780835288145,1780835288341,196,OK
15,1,1780835282933,1780835283260,327,OK
15,2,1780835283289,1780835283624,335,OK
15,3,1780835283649,1780835283978,329,OK
15,4,1780835284003,1780835284343,340,OK
15,5,1780835284352,1780835284694,342,OK
15,6,1780835284721,1780835285054,333,OK
15,7,1780835285079,1780835285419,340,OK
15,8,1780835285426,1780835285781,355,OK
15,9,1780835285812,1780835286017,205,OK
15,10,1780835286024,1780835286239,215,OK
15,11,1780835286256,1780835286457,201,OK
15,12,1780835286475,1780835286670,195,OK
15,13,1780835286686,1780835286870,184,OK
15,14,1780835286891,1780835287075,184,OK
15,15,1780835287088,1780835287279,191,OK
15,16,1780835287299,1780835287481,182,OK
15,17,1780835287494,1780835287695,201,OK
15,18,1780835287717,1780835287932,215,OK
15,19,1780835287946,1780835288129,183,OK
15,20,1780835288148,1780835288341,193,OK
16,1,1780835282938,1780835283261,323,OK
16,2,1780835283269,1780835283624,355,OK
16,3,1780835283647,1780835283983,336,OK
16,4,1780835284013,1780835284342,329,OK
16,5,1780835284372,1780835284698,326,OK
