arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
A_vanilla,11,5,2,3;9,1,1,1786283635.856061114,1786283649.430796390,W0,0,0,,0,4,2,2,9;3,0,4,8,0,7,0,1
A_vanilla,11,5,2,3;9,1,2,1786283649.445905168,1786283663.076943175,W1,2,2,9;3,0,4,2,2,9;3,0,4,7,0,1,0,1
A_vanilla,11,5,2,3;9,1,3,1786283663.085300510,1786283676.685985737,W1,2,2,9;3,0,4,2,2,9;3,0,4,1,0,4,0,1
A_vanilla,11,5,2,3;9,1,4,1786283676.697652555,1786283690.269865035,W1,2,2,9;3,0,4,2,2,3;9,0,4,4,0,10,0,1
A_vanilla,11,5,2,3;9,1,5,1786283690.278888666,1786283703.875131598,W1,2,2,9;3,0,4,2,2,3;9,0,4,10,0,1,0,1
A_vanilla,11,5,2,3;9,1,6,1786283703.889214397,1786283717.458756505,W1,2,2,3;9,0,4,2,2,3;9,0,4,1,0,5,0,1
A_vanilla,11,5,2,3;9,1,7,1786283717.467289088,1786283731.081639086,W1,2,2,3;9,0,4,2,2,3;9,0,4,5,0,4,0,1
A_vanilla,11,5,2,3;9,1,8,1786283731.093007401,1786283744.678709599,W1,2,2,3;9,0,4,2,2,3;9,0,4,4,0,6,0,1
A_vanilla,11,5,2,3;9,1,9,1786283744.694823335,1786283758.271118819,W1,2,2,9;3,0,4,2,2,3;9,0,4,6,0,10,0,1
A_vanilla,11,5,2,3;9,1,10,1786283758.280624511,1786283771.890121873,W1,2,2,3;9,0,4,2,2,3;9,0,4,10,0,6,0,1
B_oracle,11,5,2,3;9,1,1,1786283778.172242205,1786283791.778164183,W1,2,2,3;9,0,4,2,2,3;9,0,4,6,0,10,0,1
B_oracle,11,5,2,3;9,1,2,1786283791.785999760,1786283805.413653126,W1,2,2,3;9,0,4,2,2,3;9,0,4,10,0,8,0,1
B_oracle,11,5,2,3;9,1,3,1786283805.424543352,1786283819.042012164,W1,2,2,3;9,0,4,2,2,3;9,0,4,8,0,2,0,1
B_oracle,11,5,2,3;9,1,4,1786283819.046772862,1786283832.628751169,W1,2,2,3;9,0,4,2,2,3;9,0,4,2,0,5,0,1
B_oracle,11,5,2,3;9,1,5,1786283832.641117600,1786283846.204902776,W1,2,2,3;9,0,4,2,2,3;9,0,4,5,0,10,0,1
B_oracle,11,5,2,3;9,1,6,1786283846.210054904,1786283859.849587641,W1,2,2,3;9,0,4,2,2,3;9,0,4,10,0,2,0,1
B_oracle,11,5,2,3;9,1,7,1786283859.860080187,1786283873.501690022,W1,2,2,3;9,0,4,2,2,3;9,0,4,2,0,10,0,1
B_oracle,11,5,2,3;9,1,8,1786283873.512754985,1786283887.097994219,W1,2,2,3;9,0,4,2,2,3;9,0,4,10,0,8,0,1
B_oracle,11,5,2,3;9,1,9,1786283887.106098748,1786283900.731238529,W1,2,2,9;3,0,4,2,2,3;9,0,4,8,0,1,0,1
B_oracle,11,5,2,3;9,1,10,1786283900.743241967,1786283914.305366462,W1,2,2,3;9,0,4,2,2,3;9,0,4,1,0,5,0,1
C_predictor,11,5,2,3;9,1,1,1786283920.736816271,1786283934.372730820,W1,2,2,9;3,0,4,2,2,3;9,0,4,5,0,11,0,1
C_predictor,11,5,2,3;9,1,2,1786283934.376424050,1786283948.079260047,W1,2,2,9;3,0,4,2,2,3;9,0,4,11,0,5,0,1
C_predictor,11,5,2,3;9,1,3,1786283948.084654556,1786283961.699912347,W1,2,2,3;9,0,4,2,2,3;9,0,4,5,0,2,0,1
C_predictor,11,5,2,3;9,1,4,1786283961.705798217,1786283975.436438223,W1,2,2,3;9,0,4,2,2,9;3,0,4,2,0,7,0,1
C_predictor,11,5,2,3;9,1,5,1786283975.444460458,1786283989.065846904,W1,2,2,9;3,0,4,2,2,9;3,0,4,7,0,6,0,1
C_predictor,11,5,2,3;9,1,6,1786283989.076256485,1786284002.772028852,W1,2,2,9;3,0,4,2,2,9;3,0,4,6,0,10,0,1
C_predictor,11,5,2,3;9,1,7,1786284002.786157612,1786284016.371176221,W1,2,2,9;3,0,4,2,2,9;3,0,4,10,0,7,0,1
C_predictor,11,5,2,3;9,1,8,1786284016.376475328,1786284030.035475731,W1,2,2,9;3,0,4,2,2,3;9,0,4,7,0,1,0,1
C_predictor,11,5,2,3;9,1,9,1786284030.055942191,1786284043.732134696,W1,2,2,3;9,0,4,2,2,3;9,0,4,1,0,4,0,1
C_predictor,11,5,2,3;9,1,10,1786284043.743836385,1786284057.378306560,W1,2,2,9;3,0,4,2,2,9;3,0,4,4,0,1,0,1
A_vanilla,11,5,2,3;9,2,1,1786284065.229502872,1786284078.842966676,W1,2,2,9;3,0,4,2,2,9;3,0,4,1,0,4,0,1
A_vanilla,11,5,2,3;9,2,2,1786284078.855730425,1786284092.452179270,W1,2,2,9;3,0,4,2,2,3;9,0,4,4,0,5,0,1
