arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
A_vanilla,15,7,2,3;11,1,1,1786335155.187196709,1786335169.111550941,Wp,1,1,11,0,6,2,2,11;3,0,6,12,0,5,0,1
A_vanilla,15,7,2,3;11,1,2,1786335169.116671246,1786335183.053270313,W1,2,2,3;11,0,6,2,2,11;3,0,6,5,0,4,0,1
A_vanilla,15,7,2,3;11,1,3,1786335183.073135599,1786335196.960192019,W1,2,2,11;3,0,6,2,2,11;3,0,6,4,0,12,0,1
A_vanilla,15,7,2,3;11,1,4,1786335196.981970875,1786335210.840362562,W1,2,2,11;3,0,6,2,2,11;3,0,6,12,0,13,0,1
A_vanilla,15,7,2,3;11,1,5,1786335210.850875187,1786335224.687403161,W1,2,2,11;3,0,6,2,2,3;11,0,6,13,0,3,1,1
A_vanilla,15,7,2,3;11,1,6,1786335224.692306692,1786335238.566711341,W1,2,2,11;3,0,6,2,2,3;11,0,6,3,1,5,0,1
A_vanilla,15,7,2,3;11,1,7,1786335238.577891389,1786335252.493688079,W1,2,2,3;11,0,6,2,2,3;11,0,6,5,0,8,0,1
A_vanilla,15,7,2,3;11,1,8,1786335252.503707204,1786335266.464187616,W1,2,2,3;11,0,6,2,2,3;11,0,6,8,0,2,0,1
A_vanilla,15,7,2,3;11,1,9,1786335266.475032294,1786335280.418826734,W1,2,2,3;11,0,6,2,2,3;11,0,6,2,0,7,0,1
A_vanilla,15,7,2,3;11,1,10,1786335280.432255725,1786335294.321600912,W1,2,2,3;11,0,6,2,2,3;11,0,6,7,0,14,0,1
B_oracle,15,7,2,3;11,1,1,1786335305.203470786,1786335319.192920431,W1,2,2,3;11,0,6,2,2,3;11,0,6,14,0,13,0,1
B_oracle,15,7,2,3;11,1,2,1786335319.204821246,1786335333.159454153,W1,2,2,3;11,0,6,2,2,3;11,0,6,13,0,6,0,1
B_oracle,15,7,2,3;11,1,3,1786335333.164790856,1786335346.980896937,W1,2,2,3;11,0,6,2,2,3;11,0,6,6,0,15,0,1
B_oracle,15,7,2,3;11,1,4,1786335346.985005059,1786335360.904362142,W1,2,2,3;11,0,6,2,2,3;11,0,6,15,0,2,0,1
B_oracle,15,7,2,3;11,1,5,1786335360.909736233,1786335374.781401799,W1,2,2,3;11,0,6,2,2,11;3,0,6,2,0,14,0,1
B_oracle,15,7,2,3;11,1,6,1786335374.797640057,1786335388.781744085,W1,2,2,3;11,0,6,2,2,3;11,0,6,14,0,5,0,1
B_oracle,15,7,2,3;11,1,7,1786335388.787144224,1786335402.701829561,W1,2,2,3;11,0,6,2,2,11;3,0,6,5,0,4,0,1
B_oracle,15,7,2,3;11,1,8,1786335402.712562562,1786335416.539698219,W1,2,2,11;3,0,6,2,2,11;3,0,6,4,0,14,0,1
B_oracle,15,7,2,3;11,1,9,1786335416.557392303,1786335430.432257498,W1,2,2,3;11,0,6,2,2,11;3,0,6,14,0,12,0,1
B_oracle,15,7,2,3;11,1,10,1786335430.446636904,1786335444.317736313,W1,2,2,11;3,0,6,2,2,3;11,0,6,12,0,2,0,1
C_predictor,15,7,2,3;11,1,1,1786335454.979658610,1786335468.868697324,W1,2,2,3;11,0,6,2,2,11;3,0,6,2,0,7,0,1
C_predictor,15,7,2,3;11,1,2,1786335468.880486638,1786335482.965520034,W1,2,2,3;11,0,6,2,2,3;11,0,6,7,0,9,0,1
C_predictor,15,7,2,3;11,1,3,1786335482.971926482,1786335496.927506635,W1,2,2,3;11,0,6,2,2,3;11,0,6,9,0,2,0,1
C_predictor,15,7,2,3;11,1,4,1786335496.949443508,1786335510.964610478,W1,2,2,3;11,0,6,2,2,3;11,0,6,2,0,12,0,1
C_predictor,15,7,2,3;11,1,5,1786335510.984621031,1786335524.952408978,W1,2,2,3;11,0,6,2,2,11;3,0,6,12,0,8,0,1
C_predictor,15,7,2,3;11,1,6,1786335524.966736578,1786335539.037012466,W1,2,2,3;11,0,6,2,2,11;3,0,6,8,0,7,0,1
C_predictor,15,7,2,3;11,1,7,1786335539.047921300,1786335552.987100230,W1,2,2,11;3,0,6,2,2,11;3,0,6,7,0,1,0,1
C_predictor,15,7,2,3;11,1,8,1786335553.000998192,1786335566.917467991,W1,2,2,3;11,0,6,2,2,11;3,0,6,1,0,13,0,1
