arm,N,m,chance_pct,seed,target_wins,elec,live,w0,wp,w1,w1_wins
A_vanilla,21,3,15.0,1,0,10,10,0,0,10,0
B_oracle,21,3,15.0,1,0,10,10,0,0,10,0
C_predictor,21,3,15.0,1,0,10,10,0,0,10,0
A_vanilla,21,3,15.0,2,1,10,10,0,0,10,1
B_oracle,21,3,15.0,2,0,10,10,0,0,10,0
C_predictor,21,3,15.0,2,0,10,10,0,0,10,0
A_vanilla,21,3,15.0,3,0,10,10,0,0,10,0
B_oracle,21,3,15.0,3,0,10,10,0,0,10,0
C_predictor,21,3,15.0,3,0,10,10,0,0,10,0
A_vanilla,21,3,15.0,4,1,10,10,0,0,10,1
B_oracle,21,3,15.0,4,0,10,10,0,0,10,0
C_predictor,21,3,15.0,4,0,10,10,0,0,10,0
