arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
A_vanilla,21,10,3,3;10;17,1,1,1786340764.471015452,1786340778.749500529,W1,3,3,10;17;3,0,9,3,3,3;10;17,0,9,3,1,20,0,1
A_vanilla,21,10,3,3;10;17,1,2,1786340778.760945372,1786340792.973230823,W1,3,3,3;10;17,0,9,3,3,3;10;17,0,9,20,0,19,0,1
A_vanilla,21,10,3,3;10;17,1,3,1786340792.982844323,1786340807.312760863,W1,3,3,3;10;17,0,9,3,3,3;10;17,0,9,19,0,8,0,1
A_vanilla,21,10,3,3;10;17,1,4,1786340807.318950817,1786340821.685039729,W1,3,3,3;10;17,0,9,3,3,3;17;10,0,9,8,0,3,1,1
A_vanilla,21,10,3,3;10;17,1,5,1786340821.691224544,1786340835.971836024,W1,3,3,17;10;3,0,9,3,3,17;10;3,0,9,3,1,8,0,1
A_vanilla,21,10,3,3;10;17,1,6,1786340835.992294402,1786340850.172008077,W1,3,3,17;10;3,0,9,3,3,17;10;3,0,9,8,0,7,0,1
A_vanilla,21,10,3,3;10;17,1,7,1786340850.177008508,1786340864.370488569,W1,3,3,17;10;3,0,9,3,3,17;3;10,0,9,7,0,1,0,1
A_vanilla,21,10,3,3;10;17,1,8,1786340864.383295019,1786340878.515998652,W1,3,3,17;10;3,0,9,3,3,17;3;10,0,9,1,0,8,0,1
A_vanilla,21,10,3,3;10;17,1,9,1786340878.529843829,1786340892.731677559,W1,3,3,17;10;3,0,9,3,3,17;3;10,0,9,8,0,7,0,1
A_vanilla,21,10,3,3;10;17,1,10,1786340892.754951834,1786340906.970352685,W1,3,3,3;17;10,0,9,3,3,3;10;17,0,9,7,0,6,0,1
B_oracle,21,10,3,3;10;17,1,1,1786340926.285146082,1786340940.605878721,W1,3,3,3;17;10,0,9,3,3,3;10;17,0,9,6,0,19,0,1
B_oracle,21,10,3,3;10;17,1,2,1786340940.612581506,1786340954.840990412,W1,3,3,3;10;17,0,9,3,3,3;10;17,0,9,19,0,11,0,1
B_oracle,21,10,3,3;10;17,1,3,1786340954.852341593,1786340968.995414973,W1,3,3,3;10;17,0,9,3,3,3;17;10,0,9,11,0,14,0,1
B_oracle,21,10,3,3;10;17,1,4,1786340969.002180576,1786340983.195436620,W1,3,3,3;17;10,0,9,3,3,3;10;17,0,9,14,0,20,0,1
B_oracle,21,10,3,3;10;17,1,5,1786340983.207795804,1786340997.403170566,W1,3,3,3;17;10,0,9,3,3,10;17;3,0,9,20,0,0,0,0
B_oracle,21,10,3,3;10;17,1,6,1786340997.410013171,1786341011.581218417,W1,3,3,10;3;17,0,9,3,3,17;10;3,0,9,4,0,8,0,1
B_oracle,21,10,3,3;10;17,1,7,1786341011.589616080,1786341025.846681501,W1,3,3,3;10;17,0,9,3,3,3;10;17,0,9,8,0,12,0,1
B_oracle,21,10,3,3;10;17,1,8,1786341025.856106992,1786341040.190296940,W1,3,3,17;3;10,0,9,3,3,3;10;17,0,9,12,0,21,0,1
B_oracle,21,10,3,3;10;17,1,9,1786341040.199372262,1786341054.533947291,W1,3,3,3;10;17,0,9,3,3,3;10;17,0,9,21,0,18,0,1
B_oracle,21,10,3,3;10;17,1,10,1786341054.539196500,1786341068.693180524,W1,3,3,17;10;3,0,9,3,3,17;3;10,0,9,18,0,5,0,1
C_predictor,21,10,3,3;10;17,1,1,1786341086.435069958,1786341100.670499665,W1,3,3,3;17;10,0,9,3,3,17;10;3,0,9,5,0,9,0,1
C_predictor,21,10,3,3;10;17,1,2,1786341100.680037425,1786341115.003878107,W1,3,3,17;3;10,0,9,3,3,10;17;3,0,9,9,0,15,0,1
C_predictor,21,10,3,3;10;17,1,3,1786341115.011861647,1786341129.212540356,W1,3,3,17;3;10,0,9,3,3,17;3;10,0,9,15,0,16,0,1
C_predictor,21,10,3,3;10;17,1,4,1786341129.219846466,1786341143.625256158,W1,3,3,17;3;10,0,9,3,3,10;17;3,0,9,16,0,7,0,1
C_predictor,21,10,3,3;10;17,1,5,1786341143.630157986,1786341157.992657095,W1,3,3,17;3;10,0,9,3,3,10;3;17,0,9,7,0,15,0,1
C_predictor,21,10,3,3;10;17,1,6,1786341158.002504990,1786341172.311830186,W1,3,3,17;3;10,0,9,3,3,17;10;3,0,9,15,0,11,0,1
C_predictor,21,10,3,3;10;17,1,7,1786341172.321467548,1786341186.754689208,W1,3,3,10;17;3,0,9,3,3,3;10;17,0,9,11,0,4,0,1
C_predictor,21,10,3,3;10;17,1,8,1786341186.765134958,1786341201.087988467,W1,3,3,10;3;17,0,9,3,3,17;3;10,0,9,4,0,8,0,1
C_predictor,21,10,3,3;10;17,1,9,1786341201.100057919,1786341215.334021231,W1,3,3,10;17;3,0,9,3,3,10;17;3,0,9,8,0,19,0,1
C_predictor,21,10,3,3;10;17,1,10,1786341215.342838300,1786341229.591283731,W1,3,3,17;10;3,0,9,3,3,10;17;3,0,9,19,0,6,0,1
A_vanilla,21,10,3,3;10;17,2,1,1786341254.922637694,1786341269.097767386,W1,3,3,17;10;3,0,9,3,3,10;3;17,0,9,6,0,20,0,1
A_vanilla,21,10,3,3;10;17,2,2,1786341269.105529942,1786341283.259325339,W1,3,3,17;3;10,0,9,3,3,10;3;17,0,9,20,0,16,0,1
A_vanilla,21,10,3,3;10;17,2,3,1786341283.264935709,1786341297.509778727,W1,3,3,3;17;10,0,9,3,3,3;17;10,0,9,16,0,6,0,1
