arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
A_vanilla,7,3,1,3,1,1,1786328692.746204726,1786328706.199241302,W0,0,0,,0,2,1,1,3,0,2,5,0,1,0,1
A_vanilla,7,3,1,3,1,2,1786328706.211978217,1786328719.644657122,W1,1,1,3,0,2,1,1,3,0,2,1,0,2,0,1
A_vanilla,7,3,1,3,1,3,1786328719.662309463,1786328733.073760869,W1,1,1,3,0,2,1,1,3,0,2,2,0,4,0,1
A_vanilla,7,3,1,3,1,4,1786328733.079060532,1786328746.557440206,W1,1,1,3,0,2,1,1,3,0,2,4,0,2,0,1
A_vanilla,7,3,1,3,1,5,1786328746.570509389,1786328760.055317579,W1,1,1,3,0,2,1,1,3,0,2,2,0,7,0,1
A_vanilla,7,3,1,3,1,6,1786328760.066973311,1786328773.550105198,W1,1,1,3,0,2,1,1,3,0,2,7,0,5,0,1
A_vanilla,7,3,1,3,1,7,1786328773.561007814,1786328787.000595776,W1,1,1,3,0,2,1,1,3,0,2,5,0,3,1,1
A_vanilla,7,3,1,3,1,8,1786328787.018549871,1786328800.432866310,W1,1,1,3,0,2,1,1,3,0,2,3,1,6,0,1
A_vanilla,7,3,1,3,1,9,1786328800.442827364,1786328813.869392384,W1,1,1,3,0,2,1,1,3,0,2,6,0,7,0,1
A_vanilla,7,3,1,3,1,10,1786328813.884283587,1786328827.333515568,W1,1,1,3,0,2,1,1,3,0,2,7,0,6,0,1
B_oracle,7,3,1,3,1,1,1786328831.499760513,1786328844.909239979,W1,1,1,3,0,2,1,1,3,0,2,6,0,4,0,1
B_oracle,7,3,1,3,1,2,1786328844.922041800,1786328858.380621561,W1,1,1,3,0,2,1,1,3,0,2,4,0,6,0,1
B_oracle,7,3,1,3,1,3,1786328858.399986282,1786328871.829959180,W1,1,1,3,0,2,1,1,3,0,2,6,0,5,0,1
B_oracle,7,3,1,3,1,4,1786328871.854482538,1786328885.284291199,W1,1,1,3,0,2,1,1,3,0,2,5,0,1,0,1
B_oracle,7,3,1,3,1,5,1786328885.299316504,1786328898.714085180,W1,1,1,3,0,2,1,1,3,0,2,1,0,2,0,1
B_oracle,7,3,1,3,1,6,1786328898.725156657,1786328912.168002794,W1,1,1,3,0,2,1,1,3,0,2,2,0,1,0,1
B_oracle,7,3,1,3,1,7,1786328912.178954291,1786328925.613373702,W1,1,1,3,0,2,1,1,3,0,2,1,0,6,0,1
