k,sample_idx,r,cap,bt_size,bt
0,1,0,4,4,11;5;3;8
0,2,0,4,4,11;5;3;8
0,3,0,4,4,5;11;3;8
0,4,0,4,4,5;11;3;8
0,5,0,4,4,5;11;3;8
0,6,0,4,4,5;11;3;8
0,7,0,4,4,5;11;3;8
0,8,0,4,4,5;11;3;8
0,9,0,4,4,5;11;3;8
0,10,0,4,4,5;11;3;8
0,11,0,4,4,5;11;3;8
0,12,0,4,4,5;11;3;8
0,13,0,4,4,5;11;3;8
0,14,0,4,4,5;11;3;8
0,15,0,4,4,5;11;3;8
0,16,0,4,4,5;11;3;8
0,17,0,4,4,5;11;3;8
0,18,0,4,4,5;11;3;8
0,19,0,4,4,5;11;3;8
0,20,0,4,4,5;11;3;8
0,21,0,4,4,3;5;11;8
0,22,0,4,4,3;5;11;8
0,23,0,4,4,3;5;11;8
0,24,0,4,4,3;5;11;8
0,25,0,4,4,3;5;11;8
0,26,0,4,4,3;5;11;8
0,27,0,4,4,3;5;11;8
0,28,0,4,4,11;3;5;8
0,29,0,4,4,11;3;5;8
0,30,0,4,4,11;3;5;8
0,31,0,4,4,11;3;5;8
0,32,0,4,4,11;3;5;8
0,33,0,4,4,11;3;5;8
0,34,0,4,4,11;3;5;8
0,35,0,4,4,11;3;5;8
0,36,0,4,4,11;3;5;8
0,37,0,4,4,11;3;5;8
0,38,0,4,4,11;3;5;8
0,39,0,4,4,11;3;5;8
0,40,0,4,4,11;3;5;8
0,41,0,4,4,11;3;5;8
0,42,0,4,4,11;3;5;8
0,43,0,4,4,11;5;3;8
0,44,0,4,4,11;5;3;8
0,45,0,4,4,5;11;8;3
0,46,0,4,4,5;11;8;3
0,47,0,4,4,5;11;8;3
0,48,0,4,4,5;11;8;3
0,49,0,4,4,11;5;8;3
0,50,0,4,4,11;5;8;3
0,51,0,4,4,11;5;8;3
0,52,0,4,4,11;5;8;3
0,53,0,4,4,3;8;11;5
0,54,0,4,4,3;8;11;5
0,55,0,4,4,8;5;3;11
0,56,0,4,4,8;5;3;11
0,57,0,4,4,8;5;11;3
0,58,0,4,4,8;5;11;3
0,59,0,4,4,8;5;11;3
0,60,0,4,4,8;5;11;3
1,1,1,3,3,8;11;3
1,2,1,3,3,8;11;3
1,3,1,3,3,8;11;3
1,4,1,3,3,8;5;11
1,5,1,3,3,8;5;11
1,6,1,3,3,8;5;11
1,7,1,3,3,5;8;11
1,8,1,3,3,5;8;11
1,9,1,3,3,5;11;3
1,10,1,3,3,5;11;3
1,11,1,3,3,11;8;5
1,12,1,3,3,11;8;5
1,13,1,3,3,5;11;3
1,14,1,3,3,5;11;3
1,15,1,3,3,5;11;8
1,16,1,3,3,5;11;8
1,17,1,3,3,5;11;8
1,18,1,3,3,5;11;8
1,19,1,3,3,11;5;8
1,20,1,3,3,11;5;8
1,21,1,3,3,5;8;11
1,22,1,3,3,5;8;11
1,23,1,3,3,5;11;8
1,24,1,3,3,5;11;8
1,25,1,3,3,5;8;11
1,26,1,3,3,5;8;11
1,27,1,3,3,5;11;8
1,28,1,3,3,5;11;8
1,29,1,3,3,8;11;5
1,30,1,3,3,8;11;5
1,31,1,3,3,11;5;3
1,32,1,3,3,11;5;3
1,33,1,3,3,5;3;11
1,34,1,3,3,5;3;11
1,35,1,3,3,5;11;3
1,36,1,3,3,5;11;3
1,37,1,3,3,5;11;8
1,38,1,3,3,5;11;8
1,39,1,3,3,5;8;11
1,40,1,3,3,5;8;11
1,41,1,3,3,5;3;8
1,42,1,3,3,5;3;8
1,43,1,3,3,5;3;8
1,44,1,3,3,5;3;8
1,45,1,3,3,3;5;11
1,46,1,3,3,3;5;11
1,47,1,3,3,3;5;11
1,48,1,3,3,5;3;8
1,49,1,3,3,5;3;8
1,50,1,3,3,5;11;8
1,51,1,3,3,5;11;8
1,52,1,3,3,11;5;3
1,53,1,3,3,11;5;3
1,54,1,3,3,5;11;8
1,55,1,3,3,5;11;8
1,56,1,3,3,5;11;8
1,57,1,3,3,5;11;8
1,58,1,3,3,11;5;8
1,59,1,3,3,11;5;8
1,60,1,3,3,11;5;8
2,1,2,2,2,5;11
2,2,2,2,2,5;11
2,3,2,2,2,5;11
2,4,2,2,2,5;11
2,5,2,2,2,11;8
2,6,2,2,2,11;8
2,7,2,2,2,11;3
2,8,2,2,2,11;3
2,9,2,2,2,11;3
2,10,2,2,2,5;11
2,11,2,2,2,5;11
2,12,2,2,2,5;11
2,13,2,2,2,5;11
2,14,2,2,2,5;11
2,15,2,2,2,11;3
2,16,2,2,2,11;3
2,17,2,2,2,3;11
2,18,2,2,2,3;11
2,19,2,2,2,11;3
2,20,2,2,2,11;3
2,21,2,2,2,11;3
2,22,2,2,2,11;3
2,23,2,2,2,11;5
2,24,2,2,2,11;5
2,25,2,2,2,11;5
2,26,2,2,2,11;5
2,27,2,2,2,11;5
2,28,2,2,2,11;5
2,29,2,2,2,5;3
2,30,2,2,2,5;3
2,31,2,2,2,5;11
2,32,2,2,2,5;11
2,33,2,2,2,11;8
2,34,2,2,2,11;8
2,35,2,2,2,3;11
2,36,2,2,2,3;11
2,37,2,2,2,11;3
2,38,2,2,2,11;3
2,39,2,2,2,8;11
2,40,2,2,2,8;11
2,41,2,2,2,3;11
2,42,2,2,2,3;11
2,43,2,2,2,11;5
2,44,2,2,2,11;5
2,45,2,2,2,11;5
2,46,2,2,2,5;3
2,47,2,2,2,5;3
2,48,2,2,2,5;3
2,49,2,2,2,5;3
2,50,2,2,2,5;3
2,51,2,2,2,5;3
2,52,2,2,2,11;3
2,53,2,2,2,11;3
2,54,2,2,2,11;3
2,55,2,2,2,11;3
2,56,2,2,2,11;3
2,57,2,2,2,11;3
2,58,2,2,2,11;5
2,59,2,2,2,11;5
2,60,2,2,2,5;11
3,1,3,1,1,3
3,2,3,1,1,3
3,3,3,1,1,11
3,4,3,1,1,11
3,5,3,1,1,3
3,6,3,1,1,3
3,7,3,1,1,11
3,8,3,1,1,11
3,9,3,1,1,5
3,10,3,1,1,5
3,11,3,1,1,3
3,12,3,1,1,3
3,13,3,1,1,3
3,14,3,1,1,3
3,15,3,1,1,3
3,16,3,1,1,3
3,17,3,1,1,3
3,18,3,1,1,5
3,19,3,1,1,5
3,20,3,1,1,5
3,21,3,1,1,5
3,22,3,1,1,5
3,23,3,1,1,3
3,24,3,1,1,3
3,25,3,1,1,3
3,26,3,1,1,3
3,27,3,1,1,3
3,28,3,1,1,3
3,29,3,1,1,3
3,30,3,1,1,3
3,31,3,1,1,3
3,32,3,1,1,3
3,33,3,1,1,3
3,34,3,1,1,3
3,35,3,1,1,3
3,36,3,1,1,3
3,37,3,1,1,3
3,38,3,1,1,3
3,39,3,1,1,5
3,40,3,1,1,5
3,41,3,1,1,5
3,42,3,1,1,5
3,43,3,1,1,5
3,44,3,1,1,5
3,45,3,1,1,3
3,46,3,1,1,3
3,47,3,1,1,5
3,48,3,1,1,5
3,49,3,1,1,3
3,50,3,1,1,3
3,51,3,1,1,3
3,52,3,1,1,3
3,53,3,1,1,5
3,54,3,1,1,5
3,55,3,1,1,5
3,56,3,1,1,5
3,57,3,1,1,5
3,58,3,1,1,5
3,59,3,1,1,5
3,60,3,1,1,5
4,1,4,0,0,
4,2,4,0,0,
4,3,4,0,0,
4,4,4,0,0,
4,5,4,0,0,
4,6,4,0,0,
4,7,4,0,0,
4,8,4,0,0,
4,9,4,0,0,
4,10,4,0,0,
4,11,4,0,0,
4,12,4,0,0,
4,13,4,0,0,
4,14,4,0,0,
4,15,4,0,0,
4,16,4,0,0,
4,17,4,0,0,
4,18,4,0,0,
4,19,4,0,0,
4,20,4,0,0,
4,21,4,0,0,
4,22,4,0,0,
4,23,4,0,0,
4,24,4,0,0,
4,25,4,0,0,
4,26,4,0,0,
4,27,4,0,0,
4,28,4,0,0,
4,29,4,0,0,
4,30,4,0,0,
4,31,4,0,0,
4,32,4,0,0,
4,33,4,0,0,
4,34,4,0,0,
4,35,4,0,0,
4,36,4,0,0,
4,37,4,0,0,
4,38,4,0,0,
4,39,4,0,0,
4,40,4,0,0,
4,41,4,0,0,
4,42,4,0,0,
4,43,4,0,0,
4,44,4,0,0,
4,45,4,0,0,
