[s1 e1] 1->5  (o3 wins 0/1)
[s1 e2] 5->2  (o3 wins 0/2)
[s1 e3] 2->1  (o3 wins 0/3)
[s1 e4] 1->4  (o3 wins 0/4)
[s1 e5] 4->2  (o3 wins 0/5)
[s1 e6] 2->5  (o3 wins 0/6)
[s1 e7] 5->1  (o3 wins 0/7)
[s1 e8] 1->5  (o3 wins 0/8)
[s1 e9] 5->1  (o3 wins 0/9)
[s1 e10] 1->2  (o3 wins 0/10)
[s1 e11] 2->4  (o3 wins 0/11)
[s1 e12] 4->5  (o3 wins 0/12)
[s2 e1] 5->4  (o3 wins 0/13)
[s2 e2] 4->2  (o3 wins 0/14)
[s2 e3] 2->5  (o3 wins 0/15)
[s2 e4] 5->2  (o3 wins 0/16)
[s2 e5] 2->1  (o3 wins 0/17)
[s2 e6] 1->2  (o3 wins 0/18)
[s2 e7] 2->5  (o3 wins 0/19)
[s2 e8] 5->2  (o3 wins 0/20)
[s2 e9] 2->5  (o3 wins 0/21)
[s2 e10] 5->2  (o3 wins 0/22)
[s2 e11] 2->1  (o3 wins 0/23)
[s2 e12] 1->5  (o3 wins 0/24)
[s3 e1] 5->2  (o3 wins 0/25)
[s3 e2] 2->4  (o3 wins 0/26)
[s3 e3] 4->2  (o3 wins 0/27)
[s3 e4] 2->1  (o3 wins 0/28)
[s3 e5] 1->2  (o3 wins 0/29)
[s3 e6] 2->5  (o3 wins 0/30)
[s3 e7] 5->1  (o3 wins 0/31)
[s3 e8] 1->2  (o3 wins 0/32)
[s3 e9] 2->5  (o3 wins 0/33)
[s3 e10] 5->1  (o3 wins 0/34)
[s3 e11] 1->4  (o3 wins 0/35)
[s3 e12] 4->2  (o3 wins 0/36)
[s4 e1] 2->5  (o3 wins 0/37)
[s4 e2] 5->2  (o3 wins 0/38)
[s4 e3] 2->1  (o3 wins 0/39)
[s4 e4] 1->2  (o3 wins 0/40)
[s4 e5] 2->4  (o3 wins 0/41)
[s4 e6] 4->1  (o3 wins 0/42)
[s4 e7] 1->4  (o3 wins 0/43)
[s4 e8] 4->1  (o3 wins 0/44)
[s4 e9] 1->2  (o3 wins 0/45)
[s4 e10] 2->5  (o3 wins 0/46)
[s4 e11] 5->1  (o3 wins 0/47)
[s4 e12] 1->5  (o3 wins 0/48)
[s5 e1] 5->2  (o3 wins 0/49)
[s5 e2] 2->4  (o3 wins 0/50)
[s5 e3] 4->1  (o3 wins 0/51)
[s5 e4] 1->2  (o3 wins 0/52)
[s5 e5] 2->1  (o3 wins 0/53)
[s5 e6] 1->2  (o3 wins 0/54)
[s5 e7] 2->4  (o3 wins 0/55)
[s5 e8] 4->2  (o3 wins 0/56)
[s5 e9] 2->5  (o3 wins 0/57)
