day,retrained,drift_factor,hc_mean_cost,hc_p99_cost,lc_mean_cost,n_hc,n_lc
0,False,0,0.507938615315416,2.030355484464519,0.4866517148963052,106,894
1,False,1,0.49480775270429295,2.4519909254624332,0.47429327809228455,85,915
2,False,2,0.45442439613172686,2.2963210757097934,0.4736218666795422,108,892
3,False,3,0.4499803621676388,2.336497453122185,0.5058406627792839,108,892
4,False,4,0.4744154397977331,1.9824638252700852,0.5233517310423121,100,900
5,False,5,0.5710937789540761,2.2423975514289243,0.5294758319294535,92,908
6,False,6,0.5170040531165204,2.419416380491857,0.47364087207667566,106,894
7,True,7,0.4560496247270795,2.530664333889015,0.4966024981466282,108,892
8,False,8,0.4978191844626972,2.6067977302416723,0.5201521195443878,88,912
9,False,9,0.5835896680184784,2.8304364450625927,0.4886955756055245,97,903
10,False,10,0.48088115515885466,2.3011528621867194,0.4866044765332287,104,896
11,False,11,0.6609252564708822,3.8164399245933516,0.4984526000397825,87,913
12,False,12,0.4647472023072163,2.2792829505853973,0.516143907483289,103,897
13,False,13,0.5736994157039115,3.446151995850676,0.5291278952173318,115,885
14,True,14,0.5493941692368804,2.832323481272189,0.560246167940962,125,875
15,False,15,0.3928454084753814,1.5340961961724693,0.5234963916874099,100,900
16,False,16,0.5132015641433868,2.6878039878602635,0.5395615708911914,91,909
17,False,17,0.5252283952902195,2.6146811159286045,0.5191231001645614,106,894
18,False,18,0.49917839159786276,2.151216029400576,0.5652744001389717,97,903
19,False,19,0.6905529901241714,2.839793677054618,0.5187065760808875,99,901
20,False,20,0.49861066085224837,2.6669458862619075,0.5208375834581099,118,882
21,True,21,0.5687194608551357,2.310663666968908,0.5539099374526283,100,900
22,False,22,0.4817999660227519,1.982240898462386,0.5244485870449306,100,900
23,False,23,0.5470745664595501,3.318444480901634,0.5329380265994095,125,875
24,False,24,0.5004102503514509,1.9402460188986166,0.496776136942035,101,899
25,False,25,0.5943943365486681,2.529422562497278,0.5330741118961916,119,881
26,False,26,0.49992017282136136,2.2937352961625006,0.5284326904244767,86,914
27,False,27,0.5699014047942546,2.9487528828856946,0.530071142198618,93,907
28,True,28,0.5447388604525658,2.7460348402345325,0.577576381966184,94,906
29,False,29,0.568755786914152,2.5052996803298746,0.5433113641546453,119,881
