seed,protocol,mean_cost_ms,ci_lo,ci_hi,p50_ms,p95_ms,p99_ms
0,baseline,1.9515072580311732,1.9006504541807592,2.043131064294643,1.9007663161589314,2.1754448582206876,2.3069665874322753
0,is_raft,1.911047667325206,1.8989417447720296,1.9246793956083907,1.9007663161589314,2.1744717892031593,2.3011244880452852
1,baseline,1.9539442051821165,1.904386750408373,2.0485629692710887,1.9025336781227664,2.1848312234778153,2.3697573477942138
1,is_raft,1.9131917506002787,1.9016649602375018,1.9261053882803996,1.9025336781227664,2.1844109273508834,2.369015957443025
2,baseline,1.9491589246453973,1.8976320140732748,2.0463903402179886,1.8995689299507816,2.172063731996384,2.322922411340273
2,is_raft,1.9055299863131,1.8950254683772059,1.916936801600568,1.899540354418932,2.1716589350111497,2.3187081883706857
3,baseline,1.9455153322742749,1.898977668760127,2.033816609986889,1.8998591677985512,2.1827356902192983,2.321347721105142
3,is_raft,1.9080703629395852,1.8962327232852234,1.922107088770982,1.8993890126235846,2.1826391450441953,2.313633624446991
4,baseline,1.9425141149617757,1.9002821116459425,2.018109969476573,1.9013695877791457,2.1881447545762347,2.3145315543617873
4,is_raft,1.9100622324108818,1.8979922683284816,1.9236828945693225,1.9013695877791457,2.1880248361845815,2.3138076502037994
5,baseline,1.9538767952751097,1.9060170584832759,2.045362809555156,1.9060365626681022,2.1948761805109003,2.358805662010835
5,is_raft,1.9143055337782597,1.9020115038404946,1.926909439335102,1.9059734238207828,2.1925912764104223,2.3581330358110932
6,baseline,1.951762337079616,1.8994800524728963,2.0499691184367923,1.8994359245165902,2.189960412332643,2.3316749258979756
6,is_raft,1.9084521302595572,1.8969828582939476,1.9224724381896743,1.8992990979770306,2.189213257078921,2.3237768386452813
7,baseline,1.9290945875190773,1.8869979030696675,2.008092775721936,1.8915291360397886,2.1709493462164535,2.289495941648726
7,is_raft,1.8940337599535269,1.8848836655237657,1.9045640021807801,1.8915291360397886,2.170685534472561,2.2893950153622953
8,baseline,1.94266025044144,1.9022412028377786,2.0126835869518227,1.9041548143337286,2.176869853322756,2.3397115871553864
8,is_raft,1.9127744660893702,1.8993895121115907,1.9261301964629378,1.9040432553161941,2.1757327551815777,2.332302403205482
9,baseline,1.9448768745536131,1.9002283024932278,2.027777391186411,1.9024534559346011,2.1910875957808003,2.3158735172828666
9,is_raft,1.9075216840229405,1.898139975162136,1.9179972590138192,1.901863404830879,2.1902124012765456,2.311923422079937
10,baseline,1.9401306464977657,1.8940349401977887,2.0252994652559813,1.9003239255921092,2.1837818888397886,2.3312930915734946
10,is_raft,1.9020467888897892,1.891489367048446,1.9134996180670485,1.8997587638378386,2.182870595565934,2.327045164282411
11,baseline,1.9498974460224454,1.903930987758813,2.0341655346247824,1.905378382195158,2.198927576204306,2.3510795005748393
11,is_raft,1.9131294549024376,1.9025545802818777,1.924880873077879,1.905378382195158,2.198927576204306,2.343156984029579
