trial,protocol,phase,mean_cost,max_cost,recovery_rounds
0,baseline,pre,0.8679354936767019,1.7884843537624073,0
0,baseline,during,3334.1841493029847,1000000.0,0
0,baseline,post,0.8774894056061426,1.8750326547987697,0
0,is_raft,pre,0.869747185503493,1.7884843537624073,0
0,is_raft,during,3334.1841493029847,1000000.0,0
0,is_raft,post,0.8774894056061426,1.8750326547987697,0
1,baseline,pre,0.8687623898512368,1.7235965875933588,0
1,baseline,during,0.8681289438866149,1.8144346801904707,0
1,baseline,post,0.8646941046359878,1.817819400482262,0
1,is_raft,pre,0.869615206867539,1.7235965875933588,0
1,is_raft,during,0.8681289438866149,1.8144346801904707,0
1,is_raft,post,0.8646941046359878,1.817819400482262,0
2,baseline,pre,0.8595537979416833,1.8705429589708076,0
2,baseline,during,0.840371271137432,1.719713798711842,0
2,baseline,post,0.8624074989996828,1.9127404185983468,0
2,is_raft,pre,0.8596673143718672,1.8705429589708076,0
2,is_raft,during,0.840371271137432,1.719713798711842,0
2,is_raft,post,0.8624074989996828,1.9127404185983468,0
3,baseline,pre,0.8508323795647743,1.7946678584244868,0
3,baseline,during,0.8800278349507304,1.757762695962302,0
3,baseline,post,0.8796151192762155,1.9173735021592668,0
3,is_raft,pre,0.8507737494317315,1.7946678584244868,0
3,is_raft,during,0.8800278349507304,1.757762695962302,0
3,is_raft,post,0.8796151192762155,1.9173735021592668,0
4,baseline,pre,0.8642723617771774,1.8573726877264913,0
4,baseline,during,0.8925032379634547,1.7621990703256298,0
4,baseline,post,0.8834100692102739,1.8722407673343597,0
4,is_raft,pre,0.8639703609587915,1.8573726877264913,0
4,is_raft,during,0.8925032379634547,1.7621990703256298,0
4,is_raft,post,0.8834100692102739,1.8722407673343597,0
5,baseline,pre,0.8571776587503673,1.891904216141511,0
5,baseline,during,0.8822417496897973,1.8300362800949004,0
5,baseline,post,0.8707466244728815,1.9014713102096272,0
5,is_raft,pre,0.8566359202525027,1.891904216141511,0
5,is_raft,during,0.8822417496897973,1.8300362800949004,0
5,is_raft,post,0.8707466244728815,1.9014713102096272,0
6,baseline,pre,0.8694293041579406,1.8112038888831876,0
6,baseline,during,0.8810688729734583,1.8618566890758836,0
6,baseline,post,0.8705523818480617,1.8455755590862337,0
6,is_raft,pre,0.8711723852798107,1.8112038888831876,0
6,is_raft,during,0.8810688729734583,1.8618566890758836,0
6,is_raft,post,0.8705523818480617,1.8455755590862337,0
7,baseline,pre,0.8638398186226376,1.9196320516726284,0
7,baseline,during,0.8906752393076807,1.6664176796175987,0
7,baseline,post,0.8811931237903076,1.8648398981985614,0
7,is_raft,pre,0.8630203377000321,1.9196320516726284,0
7,is_raft,during,0.8906752393076807,1.6664176796175987,0
7,is_raft,post,0.8811931237903076,1.8648398981985614,0
