regime,alpha,protocol,N,mean_cost,p50_cost,p95_cost,n_rounds
stationary,0.8,baseline,11,1.7254031442312152,1.3206296339206802,3.5707148160231217,500
stationary,0.8,is_raft_perfect,11,1.7140509572559433,1.3472721269690053,3.523509880186467,500
stationary,0.8,is_raft_mock,11,1.721090498267666,1.31914413960739,3.5707148160231217,500
stationary,1.0,baseline,11,1.4492255307488842,1.236311448351361,2.645245855752361,500
stationary,1.0,is_raft_perfect,11,1.4906826650358838,1.228168326391986,2.790522818549394,500
stationary,1.0,is_raft_mock,11,1.449480275162572,1.236311448351361,2.645245855752361,500
stationary,1.2,baseline,11,1.418253727726021,1.2301690575955118,2.4264641516469285,500
stationary,1.2,is_raft_perfect,11,1.3691648136137264,1.2091012633378508,2.261757175041047,500
stationary,1.2,is_raft_mock,11,1.418231309586871,1.2301690575955118,2.4264641516469285,500
stationary,1.5,baseline,11,1.2724014927080503,1.167387768127591,1.8722742323132122,500
stationary,1.5,is_raft_perfect,11,1.2939831169103517,1.1755669787245062,1.9572269153763755,500
stationary,1.5,is_raft_mock,11,1.2749399944588757,1.167387768127591,1.8840016263402477,500
stationary,2.0,baseline,11,1.2013759664418857,1.1215806524881016,1.6829110442884347,500
stationary,2.0,is_raft_perfect,11,1.1810679626144103,1.1231640247009596,1.5476032864768425,500
stationary,2.0,is_raft_mock,11,1.2015768253024597,1.124902288594184,1.6829110442884347,500
stationary,3.0,baseline,11,1.1188057580174924,1.0811959009736145,1.3408860231939137,500
stationary,3.0,is_raft_perfect,11,1.1158140328773478,1.0745874730873255,1.3429015648340212,500
stationary,3.0,is_raft_mock,11,1.1188127972084279,1.0811959009736145,1.3408860231939137,500
nonstationary,0.8,baseline,11,1.9122779549028284,1.3363340445102414,4.722350974119836,500
nonstationary,0.8,is_raft_perfect,11,1.7195940460528616,1.3241662099523919,3.3784260334699496,500
nonstationary,0.8,is_raft_mock,11,1.917156836479453,1.3363340445102414,4.722350974119836,500
nonstationary,1.0,baseline,11,1.7475667232490242,1.3013991022626263,3.812132151192386,500
nonstationary,1.0,is_raft_perfect,11,1.5826797693818848,1.2740438528747404,2.8562365225453528,500
nonstationary,1.0,is_raft_mock,11,1.7460262307255694,1.3013991022626263,3.812132151192386,500
nonstationary,1.2,baseline,11,1.4623246384724373,1.2308214710689125,2.7707368950556757,500
nonstationary,1.2,is_raft_perfect,11,1.3425014933063815,1.1995964852008774,2.086699237342774,500
nonstationary,1.2,is_raft_mock,11,1.4704693788707237,1.2308214710689125,2.801926430537107,500
nonstationary,1.5,baseline,11,1.3934296508563364,1.1956296464376046,2.3050652239338767,500
nonstationary,1.5,is_raft_perfect,11,1.2830970316409687,1.1659939322296653,1.8646129727001115,500
nonstationary,1.5,is_raft_mock,11,1.3967953687400272,1.1963419952405296,2.361585479810145,500
nonstationary,2.0,baseline,11,1.2498191514289916,1.13279108786233,1.8209033423589676,500
nonstationary,2.0,is_raft_perfect,11,1.1963029558522162,1.1155901306477234,1.6580145323722162,500
nonstationary,2.0,is_raft_mock,11,1.2488179217363504,1.1327500187779016,1.8209033423589676,500
nonstationary,3.0,baseline,11,1.2414700601477817,1.078714163659327,1.6106211625580753,500
nonstationary,3.0,is_raft_perfect,11,1.1211215780853714,1.0767102392829342,1.3587665595339955,500
nonstationary,3.0,is_raft_mock,11,1.2407067320425635,1.078714163659327,1.6106211625580753,500
