f,epsilon,variant,alpha,beta,N
0,0.0,no_robust,1.2037478029418924,1.00018282470417,11
0,0.0,brao_median,1.2037478029418924,1.00018282470417,11
0,0.5,no_robust,1.2037478029418924,1.00018282470417,11
0,0.5,brao_median,1.2037478029418924,1.00018282470417,11
0,1.0,no_robust,1.2037478029418924,1.00018282470417,11
0,1.0,brao_median,1.2037478029418924,1.00018282470417,11
0,2.0,no_robust,1.2037478029418924,1.00018282470417,11
0,2.0,brao_median,1.2037478029418924,1.00018282470417,11
1,0.0,no_robust,1.2037478029418924,1.00018282470417,11
1,0.0,brao_median,1.2037478029418924,1.00018282470417,11
1,0.5,no_robust,1.2047073971118698,1.0009801425519382,11
1,0.5,brao_median,1.2051947854246599,1.0013851089562158,11
1,1.0,no_robust,1.2082282874544696,1.003905617505852,11
1,1.0,brao_median,1.212836936784454,1.007734901259201,11
1,2.0,no_robust,1.2301974249354564,1.0221595689800282,11
1,2.0,brao_median,1.2245316830948787,1.0174519569168499,11
2,0.0,no_robust,1.2037478029418924,1.00018282470417,11
2,0.0,brao_median,1.2037478029418924,1.00018282470417,11
2,0.5,no_robust,1.2095722758084977,1.0050223248967325,11
2,0.5,brao_median,1.2023866010642952,0.9990518147570693,11
2,1.0,no_robust,1.2056456028315505,1.0017596889357994,11
2,1.0,brao_median,1.2018842074266944,0.9986343805683291,11
2,2.0,no_robust,1.2129876800123112,1.0078601524015702,11
2,2.0,brao_median,1.215725176841333,1.0101347129900742,11
3,0.0,no_robust,1.2037478029418924,1.00018282470417,11
3,0.0,brao_median,1.2037478029418924,1.00018282470417,11
3,0.5,no_robust,1.2086040724850018,1.0042178537835846,11
3,0.5,brao_median,1.2110363049358241,1.006238773046785,11
3,1.0,no_robust,1.2230235537178622,1.0161988662805579,11
3,1.0,brao_median,1.2212493320009639,1.0147246820003273,11
3,2.0,no_robust,1.2109259412315134,1.0061470728739974,11
3,2.0,brao_median,1.2423836420220011,1.0322849831226673,11
