T,protocol,zeta,kappa,N
50,baseline,5.203838031899762,4.670802842557229,11
50,is_raft,0.38635829739350824,1.1740173434821195,11
100,baseline,4.765645244829037,4.669796903467819,11
100,is_raft,0.06522849724265085,0.9971713822005928,11
250,baseline,4.5378929607634895,4.1366013077814205,11
250,is_raft,0.11489874189648142,0.9327143835687128,11
500,baseline,4.788237374530017,4.374851713391632,11
500,is_raft,0.07752457908665017,0.960309436248643,11
1000,baseline,4.579427271725209,3.7831285328781314,11
1000,is_raft,0.2911828983465787,0.8892275838375443,11
