shift_mean,window,protocol,n_rounds,cost_mean,cost_CI_lo,cost_CI_hi,vs_IS_Raft_ratio,wilcoxon_p,cohen_d,sig_holm
5,50,RandomBaseline,2000,0.9206544665340296,0.8562821870632716,0.9886420836196399,2.938295853073599,1.4662636639858692e-119,0.4042249518081507,True
5,50,RoundRobinBaseline,2000,0.9562551591290885,0.8907037239690146,1.024531213123843,3.051916512312255,7.529760190847072e-131,0.42507716968773623,True
5,50,FixedSubset,2000,1.0540645084231866,0.9773909348538699,1.1366885330414707,3.364077932116818,1.3787390218548565e-152,0.4103859739475205,True
5,50,SRaftBaseline(window=50),2000,0.7473031004503068,0.6927036730235195,0.8088359729017344,2.3850398611638273,1.522020568147007e-90,0.33247861766275594,True
5,50,IS-Raft (MockOracle),2000,0.7480794728194756,0.6937209446422143,0.8098230977363059,2.3875176764525077,1.3187441718028506e-90,0.33296022403273723,True
5,50,OPT (offline min),2000,0.17132657400224083,0.16348704904657918,0.17958029334849773,0.5467938083299182,,,False
10,50,RandomBaseline,2000,0.9891119796371065,0.9167902541703455,1.0697209474930103,3.0386969024946766,1.4190741891968785e-133,0.381614880687634,True
10,50,RoundRobinBaseline,2000,1.0218059300211093,0.9447153276997599,1.0987662127221023,3.1391375076106245,6.643586139800697e-126,0.3986795063540096,True
10,50,FixedSubset,2000,1.0006339507022444,0.9327503471143859,1.0773010546937276,3.074094085530629,3.7429950032706184e-152,0.40467685773457923,True
10,50,SRaftBaseline(window=50),2000,0.6911707986778866,0.6407811488999572,0.7465093493418908,2.123377947366309,4.8901646303410925e-67,0.2993521786231692,True
10,50,IS-Raft (MockOracle),2000,0.6915337383052058,0.6408562069520034,0.7468481284038997,2.1244929510706743,3.2063778431956995e-67,0.2996495112852166,True
10,50,OPT (offline min),2000,0.18080277463067257,0.17266416481050015,0.18866281971175972,0.5554526105671452,,,False
25,50,RandomBaseline,2000,0.9900779046172365,0.9251112985797557,1.061386385412814,3.0157843166550724,4.105140539533528e-123,0.4178582535867058,True
25,50,RoundRobinBaseline,2000,0.9848613355151347,0.9170948184818533,1.0556405619794322,2.999894610187026,4.779818788633357e-127,0.4078315192240364,True
25,50,FixedSubset,2000,0.9719789628166658,0.9061099863676034,1.0428375074763174,2.960654811617471,2.2523951969799654e-148,0.4115608753665847,True
25,50,SRaftBaseline(window=50),2000,0.596168319989458,0.5463940305860447,0.6476106413853416,1.8159329292434647,8.782661567892069e-39,0.23650173522844425,True
25,50,IS-Raft (MockOracle),2000,0.5960608744268086,0.5463266423402405,0.6474944395040625,1.8156056492978956,1.0781980363307784e-38,0.23640383876769555,True
25,50,OPT (offline min),2000,0.17260138587335094,0.16538365195310234,0.18047429073467056,0.525745045033621,,,False
