workload,trial,n_tasks,test_decision,hc_miss_rate,lc_miss_rate,critical_fraction,hc_count,lc_count
Caliper-asset_transfer,0,500,NO,0.0,1.0,0.0,56,444
Caliper-asset_transfer,1,500,NO,0.0,1.0,0.0,52,448
Caliper-asset_transfer,2,500,NO,0.0,1.0,0.0,38,462
Caliper-asset_transfer,3,500,NO,0.0,1.0,0.0,64,436
Caliper-asset_transfer,4,500,NO,0.0,1.0,0.0,51,449
Caliper-asset_transfer,5,500,NO,0.0,1.0,0.0,52,448
Caliper-asset_transfer,6,500,NO,0.0,1.0,0.0,47,453
Caliper-asset_transfer,7,500,NO,0.0,1.0,0.0,45,455
Caliper-asset_transfer,8,500,NO,0.0,1.0,0.0,47,453
Caliper-asset_transfer,9,500,NO,0.0,1.0,0.0,41,459
Caliper-smallbank,0,500,NO,0.0,1.0,0.0,56,444
Caliper-smallbank,1,500,NO,0.0,1.0,0.0,52,448
Caliper-smallbank,2,500,NO,0.0,1.0,0.0,38,462
Caliper-smallbank,3,500,NO,0.0,1.0,0.0,64,436
Caliper-smallbank,4,500,NO,0.0,1.0,0.0,51,449
Caliper-smallbank,5,500,NO,0.0,1.0,0.0,52,448
Caliper-smallbank,6,500,NO,0.0,1.0,0.0,47,453
Caliper-smallbank,7,500,NO,0.0,1.0,0.0,45,455
Caliper-smallbank,8,500,NO,0.0,1.0,0.0,47,453
Caliper-smallbank,9,500,NO,0.0,1.0,0.0,41,459
Caliper-marbles02,0,500,NO,0.0,1.0,0.0,56,444
Caliper-marbles02,1,500,NO,0.0,1.0,0.0,52,448
Caliper-marbles02,2,500,NO,0.0,1.0,0.0,38,462
Caliper-marbles02,3,500,NO,0.0,1.0,0.0,64,436
Caliper-marbles02,4,500,NO,0.0,1.0,0.0,51,449
Caliper-marbles02,5,500,NO,0.0,1.0,0.0,52,448
Caliper-marbles02,6,500,NO,0.0,1.0,0.0,47,453
Caliper-marbles02,7,500,NO,0.0,1.0,0.0,45,455
Caliper-marbles02,8,500,NO,0.0,1.0,0.0,47,453
Caliper-marbles02,9,500,NO,0.0,1.0,0.0,41,459
TradeLens,0,100,YES,0.0,0.9852941176470589,0.0,32,68
TradeLens,1,100,YES,0.0,0.9787234042553191,0.0,53,47
TradeLens,2,100,YES,0.0,0.9666666666666667,0.0,40,60
TradeLens,3,100,NO,0.0,0.9710144927536232,0.0,31,69
TradeLens,4,100,YES,0.0,0.9692307692307692,0.0,35,65
TradeLens,5,100,YES,0.0,0.9166666666666666,0.0,40,60
TradeLens,6,100,YES,0.0,0.9795918367346939,0.0,51,49
TradeLens,7,100,YES,0.0,1.0,0.0,37,63
TradeLens,8,100,YES,0.0,1.0,0.0,46,54
TradeLens,9,100,YES,0.0,0.967741935483871,0.0,38,62
MarcoPolo,0,187648,NO,0.0,1.0,0.0,93881,93767
MarcoPolo,1,187648,NO,0.0,1.0,0.0,93854,93794
MarcoPolo,2,187648,NO,0.0,1.0,0.0,93692,93956
MarcoPolo,3,187648,NO,0.0,1.0,0.0,93581,94067
MarcoPolo,4,187648,NO,0.0,1.0,0.0,93828,93820
MarcoPolo,5,187648,NO,0.0,1.0,0.0,93719,93929
MarcoPolo,6,187648,NO,0.0,1.0,0.0,94086,93562
MarcoPolo,7,187648,NO,0.0,1.0,0.0,93606,94042
MarcoPolo,8,187648,NO,0.0,1.0,0.0,93020,94628
MarcoPolo,9,187648,NO,0.0,1.0,0.0,94041,93607
B3i,0,500,YES,0.0,0.9812834224598931,0.0,126,374
B3i,1,500,YES,0.0,0.9815303430079155,0.0,121,379
B3i,2,500,YES,0.0,0.9948453608247423,0.0,112,388
B3i,3,500,YES,0.0,0.9895561357702349,0.0,117,383
B3i,4,500,NO,0.0,0.9792207792207792,0.0,115,385
B3i,5,500,YES,0.0,0.9679144385026738,0.0,126,374
B3i,6,500,YES,0.0,0.9782608695652174,0.0,132,368
B3i,7,500,YES,0.0,0.9804469273743017,0.0,142,358
B3i,8,500,YES,0.0,0.995,0.0,100,400
B3i,9,500,YES,0.0,0.9922879177377892,0.0,111,389
CBDC,0,200,YES,0.0,0.0,0.0,200,0
CBDC,1,200,YES,0.0,0.0,0.0,200,0
CBDC,2,200,YES,0.0,0.0,0.0,200,0
CBDC,3,200,YES,0.0,0.0,0.0,200,0
CBDC,4,200,YES,0.0,0.0,0.0,200,0
CBDC,5,200,YES,0.0,0.0,0.0,200,0
CBDC,6,200,YES,0.0,0.0,0.0,200,0
CBDC,7,200,YES,0.0,0.0,0.0,200,0
CBDC,8,200,YES,0.0,0.0,0.0,200,0
CBDC,9,200,YES,0.0,0.0,0.0,200,0
Bursty,0,250,NO,0.7008928571428571,0.0,0.98,224,26
Bursty,1,250,NO,0.7085201793721974,0.0,0.976,223,27
Bursty,2,250,NO,0.7085201793721974,0.0,0.972,223,27
Bursty,3,250,NO,0.6769911504424779,0.0,0.976,226,24
Bursty,4,250,NO,0.7083333333333334,0.0,0.984,216,34
Bursty,5,250,NO,0.7105263157894737,0.0,0.98,228,22
Bursty,6,250,NO,0.706140350877193,0.0,0.98,228,22
Bursty,7,250,NO,0.6973684210526315,0.0,0.984,228,22
Bursty,8,250,NO,0.703862660944206,0.0,0.984,233,17
Bursty,9,250,NO,0.7212389380530974,0.0,0.976,226,24
