channel,n_tasks,hc_count,lc_count,hc_miss,lc_miss,hc_miss_rate,lc_miss_rate,p99_latency_ms,n_channels,seed
0,1000,114,886,0,886,0.0,1.0,75.0323767780736,1,0
0,1000,114,886,0,886,0.0,1.0,74.30471059433876,1,1
0,1000,114,886,0,886,0.0,1.0,75.6622794049886,1,2
0,1000,114,886,0,886,0.0,1.0,75.0323767780736,4,0
1,1000,100,900,0,900,0.0,1.0,74.90482533664357,4,0
2,1000,110,890,0,890,0.0,1.0,74.71913218921742,4,0
3,1000,96,904,0,904,0.0,1.0,74.74631842456851,4,0
0,1000,114,886,0,886,0.0,1.0,74.30471059433876,4,1
1,1000,100,900,0,900,0.0,1.0,74.0529628218379,4,1
2,1000,110,890,0,890,0.0,1.0,75.49116098437987,4,1
3,1000,96,904,0,904,0.0,1.0,72.39142331755924,4,1
0,1000,114,886,0,886,0.0,1.0,75.6622794049886,4,2
1,1000,100,900,0,900,0.0,1.0,76.51214952732967,4,2
2,1000,110,890,0,890,0.0,1.0,72.64970726341303,4,2
3,1000,96,904,0,904,0.0,1.0,73.41890213480553,4,2
0,1000,114,886,0,886,0.0,1.0,75.0323767780736,16,0
1,1000,100,900,0,900,0.0,1.0,74.90482533664357,16,0
2,1000,110,890,0,890,0.0,1.0,74.71913218921742,16,0
3,1000,96,904,0,904,0.0,1.0,74.74631842456851,16,0
4,1000,85,915,0,915,0.0,1.0,73.770123617897,16,0
5,1000,98,902,0,902,0.0,1.0,73.83783687155653,16,0
6,1000,108,892,0,892,0.0,1.0,72.60192389079465,16,0
7,1000,109,891,0,891,0.0,1.0,75.21220547803473,16,0
8,1000,95,905,0,905,0.0,1.0,72.07258200464177,16,0
9,1000,90,910,0,910,0.0,1.0,76.23647501690887,16,0
10,1000,88,912,0,912,0.0,1.0,76.06752037171293,16,0
11,1000,107,893,0,893,0.0,1.0,73.38308944222086,16,0
12,1000,96,904,0,904,0.0,1.0,73.86580945374449,16,0
13,1000,115,885,0,885,0.0,1.0,76.09725032976492,16,0
14,1000,99,901,0,901,0.0,1.0,73.94294637295391,16,0
