workload,trial,tps,n_tasks,hc_count,lc_count,hc_miss_rate,lc_miss_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,p999_latency_ms,mean_latency_ms
asset_transfer,0,100,360000,36233,323767,0.0,1.0,47.10576588719955,65.96487086864265,74.5292312981629,84.29382122370983,47.51526000667318
asset_transfer,1,100,360000,36629,323371,8.190231783559475e-05,1.0,47.07446780095262,65.95361479792268,74.36991736950188,84.30126708750295,47.48083539291286
asset_transfer,2,100,360000,36069,323931,0.0,1.0,47.074832613030175,65.85800869070263,74.34261999234928,84.5771914685918,47.485448563809236
asset_transfer,3,100,360000,36266,323734,0.0,1.0,47.0699897509586,65.90601010381988,74.52290327177585,84.89976981162116,47.50133257152649
asset_transfer,4,100,360000,35943,324057,2.7821829007038923e-05,1.0,47.10437021626508,66.01120267865122,74.48518469849938,84.51285799671466,47.51830846141998
smallbank,0,50,180000,18104,161896,0.0,1.0,94.21125218052151,131.87032754479026,148.93080541678145,168.68680878152068,95.03328850639646
smallbank,1,50,180000,18416,161584,0.0,1.0,94.2002242872664,131.7377641200376,148.69746329404242,167.80025529905552,94.98079666762888
smallbank,2,50,180000,18017,161983,0.0,1.0,94.10050131272027,131.59862616900392,148.61032586145626,168.37688296636995,94.89627440016655
smallbank,3,50,180000,18253,161747,0.0,1.0,94.25383785070409,131.93611022319595,148.79549321094424,169.52778482049675,95.06009839664112
smallbank,4,50,180000,17843,162157,0.0,1.0,94.09637592729592,131.98501379154027,149.1211226143892,169.6529624176694,94.98200513661698
marbles02,0,20,72000,7250,64750,0.0,1.0,188.42207313208468,278.07849486098235,318.9871697928607,368.7480776212964,190.17193048927655
marbles02,1,20,72000,7371,64629,0.0,1.0,188.08728977911298,277.8946962567752,318.3139098495748,364.59127559589444,189.88917241116513
marbles02,2,20,72000,7225,64775,0.0,1.0,187.9197466824752,277.6269572603679,318.8237438073054,365.7086644326814,189.58412114637045
marbles02,3,20,72000,7240,64760,0.0,1.0,188.2936785545043,278.9666521929873,318.3447535625506,369.7660893780717,190.1888791202848
marbles02,4,20,72000,7218,64782,0.0,1.0,187.74148463348882,278.52889201956276,318.5150041526107,363.66846145246365,189.78345635652394
