duration,duration_rounds,trial,recovery_p50,recovery_p99
short_30s,30,0,0.0,0.0
short_30s,30,1,0.0,0.0
short_30s,30,2,0.0,0.0
short_30s,30,3,0.0,0.0
short_30s,30,4,0.0,0.0
short_30s,30,5,0.0,0.0
short_30s,30,6,0.0,0.0
short_30s,30,7,0.0,0.0
medium_5m,300,0,0.0,0.0
medium_5m,300,1,0.0,0.0
medium_5m,300,2,0.0,0.0
medium_5m,300,3,0.0,0.0
medium_5m,300,4,0.0,0.0
medium_5m,300,5,0.0,0.0
medium_5m,300,6,0.0,0.0
medium_5m,300,7,0.0,0.0
long_30m,1800,0,0.0,0.0
long_30m,1800,1,0.0,0.0
long_30m,1800,2,0.0,0.0
long_30m,1800,3,0.0,0.0
long_30m,1800,4,0.0,0.0
long_30m,1800,5,0.0,0.0
long_30m,1800,6,0.0,0.0
long_30m,1800,7,0.0,0.0
