seed,tau,alpha
0,0.0,1.8515489561603282
0,0.05,1.8554794068217373
0,0.1,1.823867790291432
0,0.2,2.2502916135775117
0,0.3,2.781305281059922
0,0.5,2.96827441471321
0,0.8,4.068513711191516
0,1.0,4.419275280609571
1,0.0,1.7844533199388468
1,0.05,1.8179729734634495
1,0.1,1.8447847993130555
1,0.2,2.198942033890272
1,0.3,2.5279025552387693
1,0.5,3.3298317275665017
1,0.8,3.7748479013828824
1,1.0,4.499420433881608
2,0.0,1.8882152384618043
2,0.05,1.8870086687768088
2,0.1,1.9306153538190458
2,0.2,2.179872650377084
2,0.3,2.601115879239031
2,0.5,3.1920882585453465
2,0.8,3.780142332228338
2,1.0,4.037934063278067
3,0.0,1.863896780703794
3,0.05,1.967387592016751
3,0.1,1.9485955150835983
3,0.2,2.144346499055654
3,0.3,2.717202882385581
3,0.5,3.476455287943631
3,0.8,4.154327985420487
3,1.0,4.179544504161271
4,0.0,1.984995043065574
4,0.05,1.9195124824666114
4,0.1,1.935487610013882
4,0.2,2.1271854840671462
4,0.3,2.7946252732978856
4,0.5,2.9046846998348803
4,0.8,4.020674305790064
4,1.0,4.279032991747356
5,0.0,1.8758962306168143
5,0.05,1.8177504055799283
5,0.1,1.7863116071797682
5,0.2,2.375357189789343
5,0.3,2.538815808041618
5,0.5,3.2493889129429943
5,0.8,3.9856444238371385
5,1.0,4.6460837207063745
6,0.0,1.7543503182964189
6,0.05,1.8478682840544616
6,0.1,1.8468208603776497
6,0.2,2.1241582929858964
6,0.3,2.780808417541993
6,0.5,3.671196641367632
6,0.8,3.8513500197507113
6,1.0,4.307533956412847
7,0.0,1.9068271420015783
7,0.05,1.8562381796044471
7,0.1,1.859898174313548
7,0.2,2.0694963393254073
7,0.3,2.6609497654182888
7,0.5,3.217436906595637
7,0.8,4.078571289490482
7,1.0,4.435964982273892
8,0.0,1.818497877459338
8,0.05,1.893236585529485
8,0.1,1.8499304882254917
8,0.2,2.160407241685469
8,0.3,2.5016654478701104
8,0.5,3.365728992631147
8,0.8,4.117095187701345
8,1.0,4.1853411815248425
9,0.0,1.8069001290092217
9,0.05,1.7867478923571378
9,0.1,1.8952312565460627
9,0.2,2.2105693246455793
9,0.3,2.738341216758162
9,0.5,3.0410657834454686
9,0.8,3.7191625366105
9,1.0,4.123472241850654
10,0.0,1.7826760950393121
10,0.05,1.8548668432244673
10,0.1,1.8479459833790293
10,0.2,2.1630392246084322
10,0.3,2.703633902497268
10,0.5,3.507412600701161
10,0.8,3.870300004467494
10,1.0,4.38220807712314
11,0.0,1.8874450041738144
11,0.05,1.862947434588841
11,0.1,1.873008024797586
11,0.2,2.1256626400756327
11,0.3,2.4850057815083724
11,0.5,3.408192779635536
11,0.8,3.823580449576333
11,1.0,4.142368825964488
12,0.0,1.904753155818244
12,0.05,1.905644688908743
12,0.1,1.9034549424513554
12,0.2,2.1090056204157115
12,0.3,2.5475689773533343
12,0.5,3.190408197985852
12,0.8,3.809156770911311
12,1.0,4.041656664945006
13,0.0,1.9884980559275507
13,0.05,1.9110663114478892
13,0.1,1.9261304488758235
13,0.2,2.2635409891239577
13,0.3,2.544148149134021
13,0.5,3.4056186623577602
13,0.8,4.085453852988707
13,1.0,4.078265325577597
14,0.0,1.75560813624255
14,0.05,1.833215611119395
14,0.1,1.8923764666487282
14,0.2,2.076910040566563
14,0.3,2.6053047734289816
14,0.5,3.404582052354886
14,0.8,3.828050225858811
