trial,scheduler,hc_miss_rate,lc_miss_rate,total_misses
0,EDF (baseline),0.9134615384615384,0.952020202020202,472
0,LST,0.9903846153846154,0.9823232323232324,492
0,EQDF,1.0,0.9974747474747475,499
0,PSR (primary),0.0,1.0,396
0,PSR (slack-aware),0.0,1.0,396
1,EDF (baseline),0.9900990099009901,0.9298245614035088,471
1,LST,1.0,0.9874686716791979,495
1,EQDF,0.9900990099009901,0.9298245614035088,471
1,PSR (primary),0.0,1.0,399
1,PSR (slack-aware),0.0,1.0,399
2,EDF (baseline),0.9583333333333334,0.943069306930693,473
2,LST,1.0,0.9777227722772277,491
2,EQDF,0.9583333333333334,0.9455445544554455,474
2,PSR (primary),0.0,1.0,404
2,PSR (slack-aware),0.0,1.0,404
3,EDF (baseline),0.9824561403508771,0.9507772020725389,479
3,LST,1.0,0.9792746113989638,492
3,EQDF,0.9824561403508771,0.9455958549222798,477
3,PSR (primary),0.02631578947368421,1.0,389
3,PSR (slack-aware),0.03508771929824561,1.0,390
4,EDF (baseline),0.9807692307692307,0.9419191919191919,475
4,LST,0.9903846153846154,0.9797979797979798,491
4,EQDF,0.9807692307692307,0.9393939393939394,474
4,PSR (primary),0.0,1.0,396
4,PSR (slack-aware),0.0,1.0,396
5,EDF (baseline),0.9387755102040817,0.945273631840796,472
5,LST,0.9897959183673469,0.9875621890547264,494
5,EQDF,0.9387755102040817,0.9427860696517413,471
5,PSR (primary),0.0,1.0,402
5,PSR (slack-aware),0.0,1.0,402
6,EDF (baseline),0.9278350515463918,0.9553349875930521,475
6,LST,0.9690721649484536,0.9950372208436724,495
6,EQDF,0.9278350515463918,0.9578163771712159,476
6,PSR (primary),0.0,1.0,403
6,PSR (slack-aware),0.0,1.0,403
7,EDF (baseline),0.9345794392523364,0.9414758269720102,470
7,LST,0.9813084112149533,0.9923664122137404,495
7,EQDF,0.9345794392523364,0.9465648854961832,472
7,PSR (primary),0.0,1.0,393
7,PSR (slack-aware),0.0,1.0,393
8,EDF (baseline),0.9587628865979382,0.9454094292803971,474
8,LST,0.979381443298969,0.9900744416873449,494
8,EQDF,0.9587628865979382,0.9454094292803971,474
8,PSR (primary),0.0,1.0,403
8,PSR (slack-aware),0.0,1.0,403
9,EDF (baseline),0.9156626506024096,0.9448441247002398,470
9,LST,1.0,0.9832134292565947,493
9,EQDF,0.9156626506024096,0.9496402877697842,472
9,PSR (primary),0.0,1.0,417
9,PSR (slack-aware),0.0,1.0,417
