workload,hc_frac,trial,scheduler,hc_miss_rate,lc_miss_rate
asset_transfer,0.1,0,EDF (baseline),0.8571428571428571,0.9279279279279279
asset_transfer,0.1,0,LST,0.9821428571428571,0.9842342342342343
asset_transfer,0.1,0,EQDF,1.0,0.9932432432432432
asset_transfer,0.1,0,PSR (primary),0.0,1.0
asset_transfer,0.1,0,PSR (slack-aware),0.0,1.0
asset_transfer,0.1,1,EDF (baseline),0.8333333333333334,0.8946188340807175
asset_transfer,0.1,1,LST,1.0,0.9932735426008968
asset_transfer,0.1,1,EQDF,1.0,0.9932735426008968
asset_transfer,0.1,1,PSR (primary),0.0,1.0
asset_transfer,0.1,1,PSR (slack-aware),0.0,1.0
asset_transfer,0.1,2,EDF (baseline),0.9,0.8777777777777778
asset_transfer,0.1,2,LST,1.0,0.9911111111111112
asset_transfer,0.1,2,EQDF,1.0,0.9933333333333333
asset_transfer,0.1,2,PSR (primary),0.0,1.0
asset_transfer,0.1,2,PSR (slack-aware),0.0,1.0
asset_transfer,0.1,3,EDF (baseline),0.8775510204081632,0.893569844789357
asset_transfer,0.1,3,LST,0.9795918367346939,0.9889135254988913
asset_transfer,0.1,3,EQDF,0.9795918367346939,0.9955654101995566
asset_transfer,0.1,3,PSR (primary),0.0,1.0
asset_transfer,0.1,3,PSR (slack-aware),0.0,1.0
asset_transfer,0.1,4,EDF (baseline),0.9772727272727273,0.9320175438596491
asset_transfer,0.1,4,LST,1.0,0.9824561403508771
asset_transfer,0.1,4,EQDF,1.0,0.9912280701754386
asset_transfer,0.1,4,PSR (primary),0.0,1.0
asset_transfer,0.1,4,PSR (slack-aware),0.0,1.0
asset_transfer,0.1,5,EDF (baseline),0.8301886792452831,0.9149888143176734
asset_transfer,0.1,5,LST,1.0,0.9731543624161074
asset_transfer,0.1,5,EQDF,1.0,0.9955257270693513
asset_transfer,0.1,5,PSR (primary),0.0,1.0
asset_transfer,0.1,5,PSR (slack-aware),0.0,1.0
asset_transfer,0.1,6,EDF (baseline),0.8852459016393442,0.876993166287016
asset_transfer,0.1,6,LST,0.9836065573770492,0.979498861047836
asset_transfer,0.1,6,EQDF,1.0,0.9931662870159453
asset_transfer,0.1,6,PSR (primary),0.0,1.0
asset_transfer,0.1,6,PSR (slack-aware),0.0,1.0
asset_transfer,0.1,7,EDF (baseline),0.9607843137254902,0.9064587973273942
asset_transfer,0.1,7,LST,1.0,0.9933184855233853
asset_transfer,0.1,7,EQDF,1.0,0.9933184855233853
asset_transfer,0.1,7,PSR (primary),0.0,1.0
asset_transfer,0.1,7,PSR (slack-aware),0.0,1.0
asset_transfer,0.1,8,EDF (baseline),0.9375,0.8672566371681416
asset_transfer,0.1,8,LST,1.0,0.9845132743362832
asset_transfer,0.1,8,EQDF,1.0,0.9933628318584071
asset_transfer,0.1,8,PSR (primary),0.0,1.0
asset_transfer,0.1,8,PSR (slack-aware),0.0,1.0
asset_transfer,0.1,9,EDF (baseline),0.9245283018867925,0.8993288590604027
asset_transfer,0.1,9,LST,0.9811320754716981,0.9843400447427293
asset_transfer,0.1,9,EQDF,0.9811320754716981,0.9932885906040269
asset_transfer,0.1,9,PSR (primary),0.0,1.0
asset_transfer,0.1,9,PSR (slack-aware),0.0,1.0
asset_transfer,0.2,0,EDF (baseline),0.8846153846153846,0.9292929292929293
asset_transfer,0.2,0,LST,0.9903846153846154,0.9823232323232324
asset_transfer,0.2,0,EQDF,1.0,0.9924242424242424
asset_transfer,0.2,0,PSR (primary),0.0,1.0
asset_transfer,0.2,0,PSR (slack-aware),0.0,1.0
asset_transfer,0.2,1,EDF (baseline),0.8888888888888888,0.8877551020408163
asset_transfer,0.2,1,LST,1.0,0.9923469387755102
asset_transfer,0.2,1,EQDF,0.9907407407407407,0.9948979591836735
asset_transfer,0.2,1,PSR (primary),0.0,1.0
asset_transfer,0.2,1,PSR (slack-aware),0.0,1.0
asset_transfer,0.2,2,EDF (baseline),0.8421052631578947,0.8888888888888888
asset_transfer,0.2,2,LST,1.0,0.9901234567901235
asset_transfer,0.2,2,EQDF,1.0,0.9925925925925926
asset_transfer,0.2,2,PSR (primary),0.0,1.0
asset_transfer,0.2,2,PSR (slack-aware),0.0,1.0
asset_transfer,0.2,3,EDF (baseline),0.8468468468468469,0.9048843187660668
asset_transfer,0.2,3,LST,0.990990990990991,0.987146529562982
asset_transfer,0.2,3,EQDF,0.990990990990991,0.9948586118251928
asset_transfer,0.2,3,PSR (primary),0.0,1.0
asset_transfer,0.2,3,PSR (slack-aware),0.0,1.0
asset_transfer,0.2,4,EDF (baseline),0.9405940594059405,0.9348370927318296
asset_transfer,0.2,4,LST,0.9900990099009901,0.9824561403508771
asset_transfer,0.2,4,EQDF,1.0,0.9899749373433584
asset_transfer,0.2,4,PSR (primary),0.0,1.0
asset_transfer,0.2,4,PSR (slack-aware),0.0,1.0
asset_transfer,0.2,5,EDF (baseline),0.8653846153846154,0.9166666666666666
asset_transfer,0.2,5,LST,1.0,0.9696969696969697
asset_transfer,0.2,5,EQDF,1.0,0.9949494949494949
asset_transfer,0.2,5,PSR (primary),0.0,1.0
asset_transfer,0.2,5,PSR (slack-aware),0.0,1.0
asset_transfer,0.2,6,EDF (baseline),0.8828828828828829,0.8766066838046273
asset_transfer,0.2,6,LST,0.990990990990991,0.9768637532133676
asset_transfer,0.2,6,EQDF,1.0,0.9922879177377892
asset_transfer,0.2,6,PSR (primary),0.0,1.0
asset_transfer,0.2,6,PSR (slack-aware),0.0,1.0
asset_transfer,0.2,7,EDF (baseline),0.9333333333333333,0.9073170731707317
asset_transfer,0.2,7,LST,1.0,0.9926829268292683
asset_transfer,0.2,7,EQDF,1.0,0.9926829268292683
asset_transfer,0.2,7,PSR (primary),0.0,1.0
asset_transfer,0.2,7,PSR (slack-aware),0.0,1.0
asset_transfer,0.2,8,EDF (baseline),0.8526315789473684,0.8790123456790123
asset_transfer,0.2,8,LST,0.9894736842105263,0.9851851851851852
asset_transfer,0.2,8,EQDF,1.0,0.9925925925925926
asset_transfer,0.2,8,PSR (primary),0.0,1.0
asset_transfer,0.2,8,PSR (slack-aware),0.0,1.0
asset_transfer,0.2,9,EDF (baseline),0.9354838709677419,0.8943488943488943
asset_transfer,0.2,9,LST,0.978494623655914,0.9852579852579852
asset_transfer,0.2,9,EQDF,0.978494623655914,0.995085995085995
asset_transfer,0.2,9,PSR (primary),0.0,1.0
asset_transfer,0.2,9,PSR (slack-aware),0.0,1.0
asset_transfer,0.3,0,EDF (baseline),0.8920863309352518,0.9307479224376731
asset_transfer,0.3,0,LST,0.9928057553956835,0.9806094182825484
asset_transfer,0.3,0,EQDF,1.0,0.9916897506925207
asset_transfer,0.3,0,PSR (primary),0.0,1.0
asset_transfer,0.3,0,PSR (slack-aware),0.0,1.0
asset_transfer,0.3,1,EDF (baseline),0.9036144578313253,0.8802395209580839
asset_transfer,0.3,1,LST,0.9939759036144579,0.9940119760479041
asset_transfer,0.3,1,EQDF,0.9879518072289156,0.9970059880239521
asset_transfer,0.3,1,PSR (primary),0.0,1.0
asset_transfer,0.3,1,PSR (slack-aware),0.0,1.0
asset_transfer,0.3,2,EDF (baseline),0.8543046357615894,0.8911174785100286
asset_transfer,0.3,2,LST,1.0,0.9885386819484241
asset_transfer,0.3,2,EQDF,1.0,0.9914040114613181
