k_instances,oracle_quality,seq_alpha,seq_beta,seq_gamma,par_alpha,par_beta,par_gamma
2,0.5,2.1214,3.6595,2.3505,1.4607,1.913,1.5376
2,0.7,1.6228,3.6595,1.7981,1.2764,1.913,1.3436
2,0.9,1.1909,3.6595,1.3196,1.0921,1.913,1.1496
2,1.0,1.0,3.6595,1.108,1.0,1.913,1.0526
3,0.5,3.0943,7.0162,3.609,1.4607,1.9144,1.5376
3,0.7,2.0694,7.0162,2.4136,1.2764,1.9144,1.3436
3,0.9,1.3002,7.0162,1.5165,1.0921,1.9144,1.1496
3,1.0,1.0,7.0162,1.1664,1.0,1.9144,1.0526
5,0.5,6.6156,25.9828,8.5497,1.4625,1.9184,1.5395
5,0.7,3.3763,25.9828,4.3633,1.2775,1.9184,1.3447
5,0.9,1.5517,25.9828,2.0053,1.0925,1.9184,1.15
5,1.0,1.0,25.9828,1.2924,1.0,1.9184,1.0526
10,0.5,43.9539,679.5061,73.411,1.4662,1.9197,1.5434
10,0.7,11.4326,679.5061,19.0945,1.2797,1.9197,1.3471
10,0.9,2.4104,679.5061,4.0258,1.0932,1.9197,1.1508
10,1.0,1.0,679.5061,1.6702,1.0,1.9197,1.0526
