T,seed,ECE,Brier
0.5,0,0.6704802867092273,0.5205700622089284
0.5,1,0.675911036575444,0.5233371240702216
0.5,2,0.6717071508419343,0.5208974829347267
0.5,3,0.6736231005650892,0.5224525935273087
0.5,4,0.6727685912668406,0.5227022165023735
1.0,0,0.7230851254275302,0.5858542097121224
1.0,1,0.7271851401147091,0.5882103449914111
1.0,2,0.7234780643047952,0.5861510914586159
1.0,3,0.7253589865340132,0.5874667325443875
1.0,4,0.7241523417164643,0.5862821315109991
2.0,0,0.7677413375813021,0.6509521487842417
2.0,1,0.7711733908827498,0.6530561476935223
2.0,2,0.767471409162394,0.6505051379565593
2.0,3,0.7695370397913438,0.6520274027274281
2.0,4,0.7682087717149835,0.6505212207285024
5.0,0,0.80853813111406,0.7150469745164111
5.0,1,0.8118679416003689,0.7174331763926907
5.0,2,0.8081575771749507,0.714435047777519
5.0,3,0.8101175955194236,0.7159408484979325
5.0,4,0.8091845483573363,0.7149667895957845
10.0,0,0.8253447613427474,0.7425506364979707
10.0,1,0.8287137026453787,0.7451414073260001
10.0,2,0.825109085761799,0.7421632196256104
10.0,3,0.8269783462329717,0.7436262852753737
10.0,4,0.8262488029814448,0.742949027299879
