model,trial,decision,decision_int
periodic,0,YES,1
periodic,1,YES,1
periodic,2,YES,1
periodic,3,YES,1
periodic,4,YES,1
periodic,5,YES,1
periodic,6,YES,1
periodic,7,YES,1
periodic,8,NO,0
periodic,9,YES,1
periodic,10,YES,1
periodic,11,YES,1
periodic,12,YES,1
periodic,13,YES,1
periodic,14,NO,0
periodic,15,YES,1
periodic,16,YES,1
periodic,17,YES,1
periodic,18,NO,0
periodic,19,NO,0
sporadic,0,NO,0
sporadic,1,NO,0
sporadic,2,NO,0
sporadic,3,NO,0
sporadic,4,NO,0
sporadic,5,NO,0
sporadic,6,NO,0
sporadic,7,NO,0
sporadic,8,NO,0
sporadic,9,NO,0
sporadic,10,NO,0
sporadic,11,NO,0
sporadic,12,NO,0
sporadic,13,NO,0
sporadic,14,NO,0
sporadic,15,NO,0
sporadic,16,NO,0
sporadic,17,NO,0
sporadic,18,NO,0
sporadic,19,NO,0
