epsilon,precommit,trial,coalition_utility,honest_utility,coalition_advantage
0.0,False,0,2.8,1.6,1.1999999999999997
0.0,False,1,2.8,1.6,1.1999999999999997
0.0,False,2,2.8,1.6,1.1999999999999997
0.0,False,3,2.8,1.6,1.1999999999999997
0.0,False,4,2.8,1.6,1.1999999999999997
0.0,False,5,2.8,1.6,1.1999999999999997
0.0,False,6,2.8,1.6,1.1999999999999997
0.0,False,7,2.8,1.6,1.1999999999999997
0.0,False,8,2.8,1.6,1.1999999999999997
0.0,False,9,2.8,1.6,1.1999999999999997
0.0,False,10,2.8,1.6,1.1999999999999997
0.0,False,11,2.8,1.6,1.1999999999999997
0.0,False,12,2.8,1.6,1.1999999999999997
0.0,False,13,2.8,1.6,1.1999999999999997
0.0,False,14,2.8,1.6,1.1999999999999997
0.0,False,15,2.8,1.6,1.1999999999999997
0.0,False,16,2.8,1.6,1.1999999999999997
0.0,False,17,2.8,1.6,1.1999999999999997
0.0,False,18,2.8,1.6,1.1999999999999997
0.0,False,19,2.8,1.6,1.1999999999999997
0.0,False,20,2.8,1.6,1.1999999999999997
0.0,False,21,2.8,1.6,1.1999999999999997
0.0,False,22,2.8,1.6,1.1999999999999997
0.0,False,23,2.8,1.6,1.1999999999999997
0.0,False,24,2.8,1.6,1.1999999999999997
0.0,False,25,2.8,1.6,1.1999999999999997
0.0,False,26,2.8,1.6,1.1999999999999997
0.0,False,27,2.8,1.6,1.1999999999999997
0.0,False,28,2.8,1.6,1.1999999999999997
0.0,False,29,2.8,1.6,1.1999999999999997
0.0,False,30,2.8,1.6,1.1999999999999997
0.0,False,31,2.8,1.6,1.1999999999999997
0.0,False,32,2.8,1.6,1.1999999999999997
0.0,False,33,2.8,1.6,1.1999999999999997
0.0,False,34,2.8,1.6,1.1999999999999997
0.0,False,35,2.8,1.6,1.1999999999999997
0.0,False,36,2.8,1.6,1.1999999999999997
0.0,False,37,2.8,1.6,1.1999999999999997
0.0,False,38,2.8,1.6,1.1999999999999997
0.0,False,39,2.8,1.6,1.1999999999999997
0.0,False,40,2.8,1.6,1.1999999999999997
0.0,False,41,2.8,1.6,1.1999999999999997
0.0,False,42,2.8,1.6,1.1999999999999997
0.0,False,43,2.8,1.6,1.1999999999999997
0.0,False,44,2.8,1.6,1.1999999999999997
0.0,False,45,2.8,1.6,1.1999999999999997
0.0,False,46,2.8,1.6,1.1999999999999997
0.0,False,47,2.8,1.6,1.1999999999999997
0.0,False,48,2.8,1.6,1.1999999999999997
0.0,False,49,2.8,1.6,1.1999999999999997
0.0,True,0,2.8,1.6,1.1999999999999997
0.0,True,1,2.8,1.6,1.1999999999999997
0.0,True,2,2.8,1.6,1.1999999999999997
0.0,True,3,2.8,1.6,1.1999999999999997
0.0,True,4,2.8,1.6,1.1999999999999997
0.0,True,5,2.8,1.6,1.1999999999999997
0.0,True,6,2.8,1.6,1.1999999999999997
0.0,True,7,2.8,1.6,1.1999999999999997
0.0,True,8,2.8,1.6,1.1999999999999997
0.0,True,9,2.8,1.6,1.1999999999999997
0.0,True,10,2.8,1.6,1.1999999999999997
0.0,True,11,2.8,1.6,1.1999999999999997
0.0,True,12,2.8,1.6,1.1999999999999997
0.0,True,13,2.8,1.6,1.1999999999999997
0.0,True,14,2.8,1.6,1.1999999999999997
0.0,True,15,2.8,1.6,1.1999999999999997
0.0,True,16,2.8,1.6,1.1999999999999997
0.0,True,17,2.8,1.6,1.1999999999999997
0.0,True,18,2.8,1.6,1.1999999999999997
0.0,True,19,2.8,1.6,1.1999999999999997
0.0,True,20,2.8,1.6,1.1999999999999997
0.0,True,21,2.8,1.6,1.1999999999999997
0.0,True,22,2.8,1.6,1.1999999999999997
0.0,True,23,2.8,1.6,1.1999999999999997
0.0,True,24,2.8,1.6,1.1999999999999997
0.0,True,25,2.8,1.6,1.1999999999999997
0.0,True,26,2.8,1.6,1.1999999999999997
0.0,True,27,2.8,1.6,1.1999999999999997
0.0,True,28,2.8,1.6,1.1999999999999997
0.0,True,29,2.8,1.6,1.1999999999999997
0.0,True,30,2.8,1.6,1.1999999999999997
0.0,True,31,2.8,1.6,1.1999999999999997
0.0,True,32,2.8,1.6,1.1999999999999997
0.0,True,33,2.8,1.6,1.1999999999999997
0.0,True,34,2.8,1.6,1.1999999999999997
0.0,True,35,2.8,1.6,1.1999999999999997
0.0,True,36,2.8,1.6,1.1999999999999997
0.0,True,37,2.8,1.6,1.1999999999999997
0.0,True,38,2.8,1.6,1.1999999999999997
0.0,True,39,2.8,1.6,1.1999999999999997
0.0,True,40,2.8,1.6,1.1999999999999997
0.0,True,41,2.8,1.6,1.1999999999999997
0.0,True,42,2.8,1.6,1.1999999999999997
0.0,True,43,2.8,1.6,1.1999999999999997
0.0,True,44,2.8,1.6,1.1999999999999997
0.0,True,45,2.8,1.6,1.1999999999999997
0.0,True,46,2.8,1.6,1.1999999999999997
0.0,True,47,2.8,1.6,1.1999999999999997
0.0,True,48,2.8,1.6,1.1999999999999997
0.0,True,49,2.8,1.6,1.1999999999999997
0.1,False,0,2.8,1.6,1.1999999999999997
0.1,False,1,2.8,1.6,1.1999999999999997
0.1,False,2,2.8,1.6,1.1999999999999997
0.1,False,3,2.8,1.6,1.1999999999999997
0.1,False,4,2.8,1.6,1.1999999999999997
0.1,False,5,2.8,1.6,1.1999999999999997
0.1,False,6,2.8,1.6,1.1999999999999997
0.1,False,7,2.8,1.6,1.1999999999999997
0.1,False,8,2.8,1.6,1.1999999999999997
0.1,False,9,2.8,1.6,1.1999999999999997
0.1,False,10,2.8,1.6,1.1999999999999997
0.1,False,11,2.8,1.6,1.1999999999999997
0.1,False,12,2.8,1.6,1.1999999999999997
0.1,False,13,2.8,1.6,1.1999999999999997
0.1,False,14,2.8,1.6,1.1999999999999997
0.1,False,15,2.8,1.6,1.1999999999999997
0.1,False,16,2.8,1.6,1.1999999999999997
0.1,False,17,2.8,1.6,1.1999999999999997
0.1,False,18,2.8,1.6,1.1999999999999997
0.1,False,19,2.8,1.6,1.1999999999999997
0.1,False,20,2.8,1.6,1.1999999999999997
0.1,False,21,2.8,1.6,1.1999999999999997
0.1,False,22,2.8,1.6,1.1999999999999997
0.1,False,23,2.8,1.6,1.1999999999999997
0.1,False,24,2.8,1.6,1.1999999999999997
0.1,False,25,2.8,1.6,1.1999999999999997
0.1,False,26,2.8,1.6,1.1999999999999997
0.1,False,27,2.8,1.6,1.1999999999999997
0.1,False,28,2.8,1.6,1.1999999999999997
0.1,False,29,2.8,1.6,1.1999999999999997
0.1,False,30,2.8,1.6,1.1999999999999997
0.1,False,31,2.8,1.6,1.1999999999999997
0.1,False,32,2.8,1.6,1.1999999999999997
0.1,False,33,2.8,1.6,1.1999999999999997
0.1,False,34,2.8,1.6,1.1999999999999997
0.1,False,35,2.8,1.6,1.1999999999999997
0.1,False,36,2.8,1.6,1.1999999999999997
0.1,False,37,2.8,1.6,1.1999999999999997
0.1,False,38,2.8,1.6,1.1999999999999997
0.1,False,39,2.8,1.6,1.1999999999999997
0.1,False,40,2.8,1.6,1.1999999999999997
0.1,False,41,2.8,1.6,1.1999999999999997
0.1,False,42,2.8,1.6,1.1999999999999997
0.1,False,43,2.8,1.6,1.1999999999999997
0.1,False,44,2.8,1.6,1.1999999999999997
0.1,False,45,2.8,1.6,1.1999999999999997
0.1,False,46,2.8,1.6,1.1999999999999997
0.1,False,47,2.8,1.6,1.1999999999999997
0.1,False,48,2.8,1.6,1.1999999999999997
0.1,False,49,2.8,1.6,1.1999999999999997
0.1,True,0,2.8,1.6,1.1999999999999997
0.1,True,1,2.8,1.6,1.1999999999999997
0.1,True,2,2.8,1.6,1.1999999999999997
0.1,True,3,2.8,1.6,1.1999999999999997
0.1,True,4,2.8,1.6,1.1999999999999997
0.1,True,5,2.8,1.6,1.1999999999999997
0.1,True,6,2.8,1.6,1.1999999999999997
0.1,True,7,2.8,1.6,1.1999999999999997
0.1,True,8,2.8,1.6,1.1999999999999997
0.1,True,9,2.8,1.6,1.1999999999999997
0.1,True,10,2.8,1.6,1.1999999999999997
0.1,True,11,2.8,1.6,1.1999999999999997
0.1,True,12,2.8,1.6,1.1999999999999997
0.1,True,13,2.8,1.6,1.1999999999999997
0.1,True,14,2.8,1.6,1.1999999999999997
0.1,True,15,2.8,1.6,1.1999999999999997
0.1,True,16,2.8,1.6,1.1999999999999997
0.1,True,17,2.8,1.6,1.1999999999999997
0.1,True,18,2.8,1.6,1.1999999999999997
0.1,True,19,2.8,1.6,1.1999999999999997
0.1,True,20,2.8,1.6,1.1999999999999997
0.1,True,21,2.8,1.6,1.1999999999999997
0.1,True,22,2.8,1.6,1.1999999999999997
0.1,True,23,2.8,1.6,1.1999999999999997
0.1,True,24,2.8,1.6,1.1999999999999997
0.1,True,25,2.8,1.6,1.1999999999999997
0.1,True,26,2.8,1.6,1.1999999999999997
0.1,True,27,2.8,1.6,1.1999999999999997
0.1,True,28,2.8,1.6,1.1999999999999997
0.1,True,29,2.8,1.6,1.1999999999999997
0.1,True,30,2.8,1.6,1.1999999999999997
0.1,True,31,2.8,1.6,1.1999999999999997
0.1,True,32,2.8,1.6,1.1999999999999997
0.1,True,33,2.8,1.6,1.1999999999999997
0.1,True,34,2.8,1.6,1.1999999999999997
0.1,True,35,2.8,1.6,1.1999999999999997
0.1,True,36,2.8,1.6,1.1999999999999997
0.1,True,37,2.8,1.6,1.1999999999999997
0.1,True,38,2.8,1.6,1.1999999999999997
0.1,True,39,2.8,1.6,1.1999999999999997
0.1,True,40,2.8,1.6,1.1999999999999997
0.1,True,41,2.8,1.6,1.1999999999999997
0.1,True,42,2.8,1.6,1.1999999999999997
0.1,True,43,2.8,1.6,1.1999999999999997
0.1,True,44,2.8,1.6,1.1999999999999997
0.1,True,45,2.8,1.6,1.1999999999999997
0.1,True,46,2.8,1.6,1.1999999999999997
0.1,True,47,2.8,1.6,1.1999999999999997
0.1,True,48,2.8,1.6,1.1999999999999997
0.1,True,49,2.8,1.6,1.1999999999999997
0.5,False,0,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,1,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,2,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,3,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,4,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,5,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,6,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,7,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,8,-0.05685424949238049,1.6,-1.6568542494923806
