epsilon,precommit,trial,coordinated,coalition_utility,advantage_vs_honest
0.0,False,0,True,1.6,0.0
0.0,False,1,True,1.6,0.0
0.0,False,2,True,1.6,0.0
0.0,False,3,True,1.6,0.0
0.0,False,4,True,1.6,0.0
0.0,False,5,True,1.6,0.0
0.0,False,6,True,1.6,0.0
0.0,False,7,True,1.6,0.0
0.0,False,8,True,1.6,0.0
0.0,False,9,True,1.6,0.0
0.0,False,10,True,1.6,0.0
0.0,False,11,True,1.6,0.0
0.0,False,12,True,1.6,0.0
0.0,False,13,True,1.6,0.0
0.0,False,14,True,1.6,0.0
0.0,False,15,True,1.6,0.0
0.0,False,16,True,1.6,0.0
0.0,False,17,True,1.6,0.0
0.0,False,18,True,1.6,0.0
0.0,False,19,True,1.6,0.0
0.0,False,20,True,1.6,0.0
0.0,False,21,True,1.6,0.0
0.0,False,22,True,1.6,0.0
0.0,False,23,True,1.6,0.0
0.0,False,24,True,1.6,0.0
0.0,False,25,True,1.6,0.0
0.0,False,26,True,1.6,0.0
0.0,False,27,True,1.6,0.0
0.0,False,28,True,1.6,0.0
0.0,False,29,True,1.6,0.0
0.0,False,30,True,1.6,0.0
0.0,False,31,True,1.6,0.0
0.0,False,32,True,1.6,0.0
0.0,False,33,True,1.6,0.0
0.0,False,34,True,1.6,0.0
0.0,False,35,True,1.6,0.0
0.0,False,36,True,1.6,0.0
0.0,False,37,True,1.6,0.0
0.0,False,38,True,1.6,0.0
0.0,False,39,True,1.6,0.0
0.0,False,40,True,1.6,0.0
0.0,False,41,True,1.6,0.0
0.0,False,42,True,1.6,0.0
0.0,False,43,True,1.6,0.0
0.0,False,44,True,1.6,0.0
0.0,False,45,True,1.6,0.0
0.0,False,46,True,1.6,0.0
0.0,False,47,True,1.6,0.0
0.0,False,48,True,1.6,0.0
0.0,False,49,True,1.6,0.0
0.0,False,50,True,1.6,0.0
0.0,False,51,True,1.6,0.0
0.0,False,52,True,1.6,0.0
0.0,False,53,True,1.6,0.0
0.0,False,54,True,1.6,0.0
0.0,False,55,True,1.6,0.0
0.0,False,56,True,1.6,0.0
0.0,False,57,True,1.6,0.0
