shift_mean,variant,n_observations,cost_mean,cost_CI_lo,cost_CI_hi,vs_ISRaft_ratio,wilcoxon_p,cohen_d,sig_holm
5,Original Raft,3000,0.9759837885717113,0.9158044225651587,1.0341837519054773,1.2220892924082896,2.8704812561938055e-07,0.08411578773772861,True
5,Round-Robin,3000,1.004751373356343,0.9482806551472645,1.0624346398853135,1.2581109535725548,7.507158293242247e-12,0.10076232103012084,True
5,Fixed Subset,3000,1.0154138797977306,0.9514240016676203,1.081120908011896,1.2714621332794673,4.143498219243803e-12,0.1011461049259122,True
5,S-Raft,3000,0.7975619480422487,0.7481869536498619,0.8463238402077545,0.9986763388366592,0.28504940740261275,-0.020227008290530115,False
5,SCRaft,3000,0.7414539072463685,0.7001683950087153,0.7830772597444583,0.9284200121665216,0.027258996444446525,-0.0387369847396832,False
5,etcd-Raft,3000,0.8684749803427352,0.8168146928262109,0.9193971737120982,1.087470905387249,0.0013507446816842614,0.037854631328218355,True
5,CockroachDB-style,3000,0.745530241833354,0.7043220863330582,0.7871058792887498,0.9335242412627025,0.06187277624072243,-0.0359170300989638,False
5,TiKV-style,3000,0.9723397185769488,0.9194123288903192,1.030688236728875,1.2175263283780131,5.997448472449095e-09,0.08459040030300141,True
5,IS-Raft-MC (Mock),3000,0.7986190490617959,0.749136192186471,0.846304866030092,1.0,,,False
5,IS-Raft-MC (Perfect),3000,0.3279094885157379,0.31535548599673513,0.3402373377575043,0.41059562616363887,1.1271536755348957e-135,-0.3444194742871474,True
10,Original Raft,3000,1.0194963793801337,0.9608747968797778,1.0843945573815854,1.3872141401637221,1.1291373654658695e-22,0.13587997906155352,True
10,Round-Robin,3000,1.0122252641040204,0.948861542099032,1.073476533212393,1.3773204376162764,1.438596142296747e-16,0.12846158714396716,True
10,Fixed Subset,3000,1.019842917414824,0.9610700542636811,1.081696512626792,1.387685669510515,3.748443754177704e-24,0.1399215376061889,True
10,S-Raft,3000,0.734105592616774,0.6909005069164476,0.7811788864215136,0.9988869789517391,0.10880943004054569,-0.028125883256367657,False
10,SCRaft,3000,0.6619850775114905,0.6187416128718839,0.7110375005952024,0.9007536256868945,3.7443036639481034e-08,-0.05690157324399119,True
10,etcd-Raft,3000,0.8400534594912284,0.7872415243396841,0.893813419654844,1.1430487258897595,1.642694576944787e-05,0.059448732178810075,True
10,CockroachDB-style,3000,0.664808174297248,0.6215332722299458,0.7145646354434256,0.904594973100639,1.8116625500872364e-07,-0.05463211879993081,True
10,TiKV-style,3000,0.949381130746632,0.8981577297592594,1.0043782959701821,1.291809324302947,2.3471491310091706e-17,0.11010856485434092,True
