config,trial,scheduler,n_transitions,hc_miss,lc_miss
light_burst,0,MC,2,6,0
light_burst,0,EDF,0,6,5
light_burst,0,FIFO,0,6,0
light_burst,1,MC,2,8,0
light_burst,1,EDF,0,8,3
light_burst,1,FIFO,0,8,0
light_burst,2,MC,2,6,0
light_burst,2,EDF,0,7,4
light_burst,2,FIFO,0,6,0
light_burst,3,MC,2,7,2
light_burst,3,EDF,0,8,3
light_burst,3,FIFO,0,6,2
light_burst,4,MC,1,7,0
light_burst,4,EDF,0,8,7
light_burst,4,FIFO,0,7,1
light_burst,5,MC,1,6,0
light_burst,5,EDF,0,7,2
light_burst,5,FIFO,0,5,0
light_burst,6,MC,2,6,0
light_burst,6,EDF,0,8,4
light_burst,6,FIFO,0,6,0
light_burst,7,MC,2,5,0
light_burst,7,EDF,0,6,6
light_burst,7,FIFO,0,5,0
light_burst,8,MC,2,7,0
light_burst,8,EDF,0,8,9
light_burst,8,FIFO,0,8,0
light_burst,9,MC,3,7,1
light_burst,9,EDF,0,7,1
light_burst,9,FIFO,0,8,1
light_burst,10,MC,1,8,0
light_burst,10,EDF,0,8,5
light_burst,10,FIFO,0,8,0
light_burst,11,MC,2,7,1
light_burst,11,EDF,0,8,8
light_burst,11,FIFO,0,8,1
light_burst,12,MC,2,8,0
light_burst,12,EDF,0,8,4
light_burst,12,FIFO,0,9,2
light_burst,13,MC,1,7,0
light_burst,13,EDF,0,7,3
light_burst,13,FIFO,0,7,0
light_burst,14,MC,2,6,0
light_burst,14,EDF,0,7,4
light_burst,14,FIFO,0,6,0
light_burst,15,MC,2,7,1
light_burst,15,EDF,0,7,5
light_burst,15,FIFO,0,7,1
light_burst,16,MC,2,6,0
light_burst,16,EDF,0,8,1
light_burst,16,FIFO,0,6,0
light_burst,17,MC,2,8,0
light_burst,17,EDF,0,8,6
light_burst,17,FIFO,0,6,1
light_burst,18,MC,2,6,0
light_burst,18,EDF,0,8,7
light_burst,18,FIFO,0,6,0
light_burst,19,MC,2,8,0
light_burst,19,EDF,0,8,7
light_burst,19,FIFO,0,7,2
light_burst,20,MC,2,6,0
light_burst,20,EDF,0,8,7
light_burst,20,FIFO,0,8,0
light_burst,21,MC,1,7,0
light_burst,21,EDF,0,7,2
light_burst,21,FIFO,0,5,0
light_burst,22,MC,2,7,0
light_burst,22,EDF,0,7,3
light_burst,22,FIFO,0,7,0
light_burst,23,MC,2,7,0
light_burst,23,EDF,0,7,5
light_burst,23,FIFO,0,8,0
light_burst,24,MC,2,6,0
light_burst,24,EDF,0,8,7
light_burst,24,FIFO,0,8,0
light_burst,25,MC,2,8,0
light_burst,25,EDF,0,8,3
light_burst,25,FIFO,0,6,0
light_burst,26,MC,1,8,1
light_burst,26,EDF,0,7,6
light_burst,26,FIFO,0,7,1
light_burst,27,MC,2,6,0
light_burst,27,EDF,0,8,1
light_burst,27,FIFO,0,6,0
light_burst,28,MC,2,6,0
light_burst,28,EDF,0,7,4
light_burst,28,FIFO,0,8,0
light_burst,29,MC,2,8,0
light_burst,29,EDF,0,8,6
light_burst,29,FIFO,0,8,0
light_burst,30,MC,3,7,0
light_burst,30,EDF,0,7,8
light_burst,30,FIFO,0,7,0
light_burst,31,MC,1,7,0
light_burst,31,EDF,0,7,3
light_burst,31,FIFO,0,7,0
light_burst,32,MC,1,7,0
light_burst,32,EDF,0,7,8
light_burst,32,FIFO,0,7,0
light_burst,33,MC,3,6,0
light_burst,33,EDF,0,6,3
light_burst,33,FIFO,0,6,0
light_burst,34,MC,2,6,0
light_burst,34,EDF,0,6,6
light_burst,34,FIFO,0,7,0
light_burst,35,MC,1,6,0
light_burst,35,EDF,0,8,2
light_burst,35,FIFO,0,7,0
light_burst,36,MC,2,6,0
light_burst,36,EDF,0,6,4
light_burst,36,FIFO,0,6,0
light_burst,37,MC,2,5,0
light_burst,37,EDF,0,6,5
light_burst,37,FIFO,0,5,0
light_burst,38,MC,2,7,0
light_burst,38,EDF,0,8,4
light_burst,38,FIFO,0,7,0
light_burst,39,MC,1,7,1
light_burst,39,EDF,0,7,4
light_burst,39,FIFO,0,7,1
light_burst,40,MC,2,7,1
light_burst,40,EDF,0,7,5
light_burst,40,FIFO,0,7,1
light_burst,41,MC,2,6,0
light_burst,41,EDF,0,8,2
light_burst,41,FIFO,0,5,0
light_burst,42,MC,1,7,0
light_burst,42,EDF,0,6,5
light_burst,42,FIFO,0,6,0
light_burst,43,MC,2,7,1
light_burst,43,EDF,0,8,8
light_burst,43,FIFO,0,5,1
light_burst,44,MC,1,7,0
light_burst,44,EDF,0,8,5
light_burst,44,FIFO,0,9,0
light_burst,45,MC,2,8,1
light_burst,45,EDF,0,8,2
light_burst,45,FIFO,0,6,2
light_burst,46,MC,1,7,3
light_burst,46,EDF,0,8,9
light_burst,46,FIFO,0,7,3
light_burst,47,MC,2,6,0
light_burst,47,EDF,0,7,2
light_burst,47,FIFO,0,5,1
light_burst,48,MC,3,7,0
light_burst,48,EDF,0,7,5
light_burst,48,FIFO,0,7,0
light_burst,49,MC,1,7,1
light_burst,49,EDF,0,8,7
light_burst,49,FIFO,0,8,1
medium_burst,0,MC,2,18,11
medium_burst,0,EDF,0,19,19
medium_burst,0,FIFO,0,17,12
medium_burst,1,MC,2,18,11
medium_burst,1,EDF,0,17,4
medium_burst,1,FIFO,0,17,5
medium_burst,2,MC,1,17,8
medium_burst,2,EDF,0,17,13
medium_burst,2,FIFO,0,16,9
medium_burst,3,MC,2,17,9
medium_burst,3,EDF,0,17,13
medium_burst,3,FIFO,0,17,6
medium_burst,4,MC,2,17,11
medium_burst,4,EDF,0,17,9
medium_burst,4,FIFO,0,17,7
medium_burst,5,MC,3,17,11
medium_burst,5,EDF,0,19,16
medium_burst,5,FIFO,0,16,2
medium_burst,6,MC,2,18,19
medium_burst,6,EDF,0,17,16
medium_burst,6,FIFO,0,15,12
medium_burst,7,MC,1,18,15
medium_burst,7,EDF,0,18,13
medium_burst,7,FIFO,0,16,9
medium_burst,8,MC,2,17,15
medium_burst,8,EDF,0,18,16
medium_burst,8,FIFO,0,18,7
medium_burst,9,MC,2,16,4
medium_burst,9,EDF,0,18,6
medium_burst,9,FIFO,0,16,2
medium_burst,10,MC,2,16,14
medium_burst,10,EDF,0,17,17
medium_burst,10,FIFO,0,16,11
medium_burst,11,MC,2,17,12
medium_burst,11,EDF,0,17,11
medium_burst,11,FIFO,0,16,4
medium_burst,12,MC,2,17,5
medium_burst,12,EDF,0,17,9
medium_burst,12,FIFO,0,17,10
medium_burst,13,MC,2,18,14
medium_burst,13,EDF,0,19,12
medium_burst,13,FIFO,0,16,10
medium_burst,14,MC,2,17,10
medium_burst,14,EDF,0,17,7
medium_burst,14,FIFO,0,17,3
medium_burst,15,MC,1,17,17
medium_burst,15,EDF,0,18,18
medium_burst,15,FIFO,0,16,6
medium_burst,16,MC,2,18,13
medium_burst,16,EDF,0,18,12
medium_burst,16,FIFO,0,16,6
medium_burst,17,MC,2,17,4
medium_burst,17,EDF,0,17,3
medium_burst,17,FIFO,0,15,2
medium_burst,18,MC,2,16,4
medium_burst,18,EDF,0,18,8
medium_burst,18,FIFO,0,16,3
medium_burst,19,MC,1,16,5
medium_burst,19,EDF,0,17,3
medium_burst,19,FIFO,0,17,2
medium_burst,20,MC,2,18,17
medium_burst,20,EDF,0,18,18
medium_burst,20,FIFO,0,18,10
medium_burst,21,MC,2,18,5
medium_burst,21,EDF,0,18,5
medium_burst,21,FIFO,0,17,1
medium_burst,22,MC,2,16,7
medium_burst,22,EDF,0,18,8
medium_burst,22,FIFO,0,17,3
medium_burst,23,MC,2,16,2
medium_burst,23,EDF,0,18,4
medium_burst,23,FIFO,0,17,0
medium_burst,24,MC,2,18,6
medium_burst,24,EDF,0,18,4
medium_burst,24,FIFO,0,16,4
medium_burst,25,MC,2,18,7
medium_burst,25,EDF,0,18,14
medium_burst,25,FIFO,0,16,6
medium_burst,26,MC,2,18,5
medium_burst,26,EDF,0,18,4
medium_burst,26,FIFO,0,17,2
medium_burst,27,MC,2,17,16
medium_burst,27,EDF,0,18,14
medium_burst,27,FIFO,0,17,9
medium_burst,28,MC,2,17,9
medium_burst,28,EDF,0,17,10
medium_burst,28,FIFO,0,17,4
medium_burst,29,MC,3,17,4
medium_burst,29,EDF,0,17,3
medium_burst,29,FIFO,0,17,1
medium_burst,30,MC,1,17,10
medium_burst,30,EDF,0,17,9
medium_burst,30,FIFO,0,16,8
medium_burst,31,MC,3,17,6
medium_burst,31,EDF,0,18,10
medium_burst,31,FIFO,0,16,3
medium_burst,32,MC,2,17,11
medium_burst,32,EDF,0,17,12
medium_burst,32,FIFO,0,16,2
medium_burst,33,MC,2,17,16
medium_burst,33,EDF,0,17,5
medium_burst,33,FIFO,0,18,3
medium_burst,34,MC,2,17,10
medium_burst,34,EDF,0,17,11
medium_burst,34,FIFO,0,17,7
medium_burst,35,MC,2,17,12
medium_burst,35,EDF,0,17,15
medium_burst,35,FIFO,0,15,6
medium_burst,36,MC,3,17,8
medium_burst,36,EDF,0,17,2
medium_burst,36,FIFO,0,16,4
medium_burst,37,MC,1,17,5
medium_burst,37,EDF,0,18,9
medium_burst,37,FIFO,0,15,3
medium_burst,38,MC,2,16,16
medium_burst,38,EDF,0,17,16
medium_burst,38,FIFO,0,16,12
medium_burst,39,MC,2,17,20
medium_burst,39,EDF,0,16,19
medium_burst,39,FIFO,0,16,13
medium_burst,40,MC,1,18,6
medium_burst,40,EDF,0,18,9
medium_burst,40,FIFO,0,16,4
medium_burst,41,MC,2,17,7
medium_burst,41,EDF,0,17,13
medium_burst,41,FIFO,0,19,4
medium_burst,42,MC,1,18,14
medium_burst,42,EDF,0,19,13
medium_burst,42,FIFO,0,18,12
medium_burst,43,MC,2,18,18
medium_burst,43,EDF,0,18,19
medium_burst,43,FIFO,0,16,12
medium_burst,44,MC,2,16,5
medium_burst,44,EDF,0,18,14
medium_burst,44,FIFO,0,19,5
medium_burst,45,MC,2,18,13
medium_burst,45,EDF,0,18,14
medium_burst,45,FIFO,0,16,10
medium_burst,46,MC,2,17,10
medium_burst,46,EDF,0,18,6
medium_burst,46,FIFO,0,18,4
medium_burst,47,MC,1,18,20
medium_burst,47,EDF,0,18,19
medium_burst,47,FIFO,0,16,12
medium_burst,48,MC,1,18,18
medium_burst,48,EDF,0,18,17
medium_burst,48,FIFO,0,17,8
medium_burst,49,MC,3,18,6
medium_burst,49,EDF,0,18,5
medium_burst,49,FIFO,0,17,3
heavy_burst,0,MC,2,27,39
heavy_burst,0,EDF,0,27,26
heavy_burst,0,FIFO,0,27,22
heavy_burst,1,MC,2,27,40
heavy_burst,1,EDF,0,27,36
heavy_burst,1,FIFO,0,28,33
heavy_burst,2,MC,1,28,39
heavy_burst,2,EDF,0,28,21
heavy_burst,2,FIFO,0,26,20
heavy_burst,3,MC,2,28,40
heavy_burst,3,EDF,0,28,29
heavy_burst,3,FIFO,0,26,27
heavy_burst,4,MC,2,27,40
heavy_burst,4,EDF,0,28,20
heavy_burst,4,FIFO,0,27,20
heavy_burst,5,MC,2,28,35
heavy_burst,5,EDF,0,27,21
heavy_burst,5,FIFO,0,26,17
heavy_burst,6,MC,3,27,43
heavy_burst,6,EDF,0,27,28
heavy_burst,6,FIFO,0,26,20
heavy_burst,7,MC,1,27,42
heavy_burst,7,EDF,0,28,26
heavy_burst,7,FIFO,0,26,26
heavy_burst,8,MC,3,28,42
heavy_burst,8,EDF,0,27,33
heavy_burst,8,FIFO,0,27,22
heavy_burst,9,MC,2,27,38
heavy_burst,9,EDF,0,27,22
heavy_burst,9,FIFO,0,25,22
heavy_burst,10,MC,3,28,40
heavy_burst,10,EDF,0,28,20
heavy_burst,10,FIFO,0,27,23
heavy_burst,11,MC,2,27,40
heavy_burst,11,EDF,0,27,26
heavy_burst,11,FIFO,0,26,22
heavy_burst,12,MC,2,27,34
heavy_burst,12,EDF,0,27,26
heavy_burst,12,FIFO,0,27,25
heavy_burst,13,MC,2,27,42
heavy_burst,13,EDF,0,27,32
heavy_burst,13,FIFO,0,27,22
heavy_burst,14,MC,2,26,49
heavy_burst,14,EDF,0,27,38
heavy_burst,14,FIFO,0,28,34
heavy_burst,15,MC,3,28,36
heavy_burst,15,EDF,0,28,24
heavy_burst,15,FIFO,0,26,18
heavy_burst,16,MC,1,27,38
heavy_burst,16,EDF,0,27,27
heavy_burst,16,FIFO,0,28,22
heavy_burst,17,MC,2,27,36
heavy_burst,17,EDF,0,27,23
heavy_burst,17,FIFO,0,26,22
heavy_burst,18,MC,1,27,40
heavy_burst,18,EDF,0,27,27
heavy_burst,18,FIFO,0,27,26
heavy_burst,19,MC,2,28,46
heavy_burst,19,EDF,0,28,34
heavy_burst,19,FIFO,0,27,30
heavy_burst,20,MC,2,28,46
heavy_burst,20,EDF,0,27,29
heavy_burst,20,FIFO,0,26,29
heavy_burst,21,MC,3,28,45
heavy_burst,21,EDF,0,28,30
heavy_burst,21,FIFO,0,26,33
heavy_burst,22,MC,2,27,36
heavy_burst,22,EDF,0,27,23
heavy_burst,22,FIFO,0,27,21
heavy_burst,23,MC,2,27,31
heavy_burst,23,EDF,0,27,20
heavy_burst,23,FIFO,0,26,18
heavy_burst,24,MC,2,27,30
heavy_burst,24,EDF,0,27,17
heavy_burst,24,FIFO,0,25,16
heavy_burst,25,MC,1,27,31
heavy_burst,25,EDF,0,27,21
heavy_burst,25,FIFO,0,27,19
heavy_burst,26,MC,3,27,47
heavy_burst,26,EDF,0,26,29
heavy_burst,26,FIFO,0,25,27
heavy_burst,27,MC,3,27,45
heavy_burst,27,EDF,0,27,35
heavy_burst,27,FIFO,0,27,34
heavy_burst,28,MC,2,27,43
heavy_burst,28,EDF,0,27,26
heavy_burst,28,FIFO,0,27,28
heavy_burst,29,MC,2,26,42
heavy_burst,29,EDF,0,26,29
heavy_burst,29,FIFO,0,27,24
heavy_burst,30,MC,1,27,43
heavy_burst,30,EDF,0,28,31
heavy_burst,30,FIFO,0,27,26
heavy_burst,31,MC,2,27,41
heavy_burst,31,EDF,0,28,26
heavy_burst,31,FIFO,0,27,27
heavy_burst,32,MC,1,27,45
heavy_burst,32,EDF,0,27,22
heavy_burst,32,FIFO,0,26,23
heavy_burst,33,MC,1,28,41
heavy_burst,33,EDF,0,27,26
heavy_burst,33,FIFO,0,27,22
heavy_burst,34,MC,2,28,40
heavy_burst,34,EDF,0,28,30
heavy_burst,34,FIFO,0,26,25
heavy_burst,35,MC,2,27,40
heavy_burst,35,EDF,0,27,23
heavy_burst,35,FIFO,0,27,19
heavy_burst,36,MC,2,28,40
heavy_burst,36,EDF,0,28,32
heavy_burst,36,FIFO,0,27,27
heavy_burst,37,MC,2,27,39
heavy_burst,37,EDF,0,27,28
heavy_burst,37,FIFO,0,27,27
heavy_burst,38,MC,3,27,36
heavy_burst,38,EDF,0,27,24
heavy_burst,38,FIFO,0,26,20
heavy_burst,39,MC,2,27,40
heavy_burst,39,EDF,0,27,32
heavy_burst,39,FIFO,0,27,28
heavy_burst,40,MC,2,27,41
heavy_burst,40,EDF,0,27,31
heavy_burst,40,FIFO,0,27,26
heavy_burst,41,MC,2,27,39
heavy_burst,41,EDF,0,26,26
heavy_burst,41,FIFO,0,27,24
heavy_burst,42,MC,2,28,41
heavy_burst,42,EDF,0,28,26
heavy_burst,42,FIFO,0,27,24
heavy_burst,43,MC,1,27,38
heavy_burst,43,EDF,0,27,26
heavy_burst,43,FIFO,0,27,25
heavy_burst,44,MC,2,27,43
heavy_burst,44,EDF,0,27,29
heavy_burst,44,FIFO,0,27,23
heavy_burst,45,MC,2,27,40
heavy_burst,45,EDF,0,27,23
heavy_burst,45,FIFO,0,26,25
heavy_burst,46,MC,2,28,39
heavy_burst,46,EDF,0,28,28
heavy_burst,46,FIFO,0,26,31
heavy_burst,47,MC,3,27,44
heavy_burst,47,EDF,0,27,31
heavy_burst,47,FIFO,0,28,29
heavy_burst,48,MC,1,27,38
heavy_burst,48,EDF,0,26,24
heavy_burst,48,FIFO,0,26,21
heavy_burst,49,MC,1,27,46
heavy_burst,49,EDF,0,27,32
heavy_burst,49,FIFO,0,25,32
