bootstrap_mode,seed,warmup_round,mean_cost_first_100,mean_cost_last_100
from_zero,0,203,1.5905500078688004,0.6268093468427576
from_zero,1,204,0.9167272597563674,0.7042853383244762
from_zero,2,205,0.5547819859965135,0.5978547313726555
from_zero,3,463,0.8825336592861448,0.7098646063651296
from_zero,4,50,0.5457598137326525,0.5167156288121465
from_neighbor_history,0,198,0.9278634623513783,0.8327931505534965
from_neighbor_history,1,180,0.7500966966102005,0.6146312908099372
from_neighbor_history,2,204,0.8517310464774566,0.8173879648251716
from_neighbor_history,3,270,0.7493184738741455,0.7048129768309964
from_neighbor_history,4,191,0.9413547311168814,0.5674073952876375
from_snapshot,0,681,0.9923557654285509,0.6866061348342951
from_snapshot,1,139,0.981176200507343,0.78501170758336
from_snapshot,2,49,0.635947931995338,0.6730166521154292
from_snapshot,3,92,0.7693764134006439,0.642973584064544
from_snapshot,4,248,0.7585344889520133,0.5228575199635042
